ClassParamID	Desc	Probability	Name	Item	DebtReplaceItem	OtherType	SubType	Amount	ForbidStall	Add2Auction	TimeLimit	WorldMsg	FriendMsg	KinMsg	TeamMsg	CloseWorldMsg	CloseFriendMsg	CloseKinMsg	CloseTeamMsg	DateLimit
1		0	100银两			Coin		100												
1		0	一个同伴魂石			PartnerStone	9	10												
1		5	1个红药瓶小	579				1												
1		5	2个红药瓶小	579				2												
2		0	200银两			Coin		200												
2		0	20元宝			Gold		20												
2		5	1个红药瓶小	579				1												
2		5	2个红药瓶小	579				2												
3		0	300银两			Coin		300												
3		0	30元宝			Gold		30												
3		5	1个红药瓶小	579				1												
3		5	2个红药瓶小	579				2												
749	武神黄金箱（1-39级）	95200	T2稀有项链	1133				1												
749	武神黄金箱（1-39级）	476200	T2传承项链	1621				1												
749	武神黄金箱（1-39级）	15900	魂石·杨铁心	1731				1												
749	武神黄金箱（1-39级）	14300	真气丹·小	6151				5												
749	武神黄金箱（1-39级）	28500	真气丹·中	6152				5												
749	武神黄金箱（1-39级）	74250	元气瓶（小）	4462				5												
749	武神黄金箱（1-39级）	117050	元气瓶（中）	4816				5												
749	武神黄金箱（1-39级）	178600	中级修为书	2395				5												
750	武神黄金箱（40-49级）	34300	T3稀有项链	1134				1												
750	武神黄金箱（40-49级）	250000	T3传承项链	1622				1												
750	武神黄金箱（40-49级）	15900	魂石·杨铁心	1731				1												
750	武神黄金箱（40-49级）	2400	真气丹·小	6151				5												
750	武神黄金箱（40-49级）	10700	真气丹·中	6152				5												
750	武神黄金箱（40-49级）	42700	元气瓶（小）	4462				5												
750	武神黄金箱（40-49级）	140250	元气瓶（中）	4816				5												
750	武神黄金箱（40-49级）	503750	中级修为书	2395				5												
751	武神黄金箱（50-59级）	211500	T4稀有项链碎片	2094				1												
751	武神黄金箱（50-59级）	90000	T4传承项链	1623				1												
751	武神黄金箱（50-59级）	16000	魂石·杨铁心	1731				1												
751	武神黄金箱（50-59级）	4000	真气丹·小	6151				5												
751	武神黄金箱（50-59级）	12000	真气丹·中	6152				5												
751	武神黄金箱（50-59级）	40000	元气瓶（小）	4462				5												
751	武神黄金箱（50-59级）	149500	元气瓶（中）	4816				5												
751	武神黄金箱（50-59级）	477000	中级修为书	2395				5												
752	武神黄金箱（60-69级）	96000	T5稀有项链碎片	2095				1												
752	武神黄金箱（60-69级）	200000	T5传承项链碎片	2098				1												
752	武神黄金箱（60-69级）	2000	魂石·杨瑛	2528				1												
752	武神黄金箱（60-69级）	5000	魂石·杨铁心	1731				1												
752	武神黄金箱（60-69级）	300000	2级石头	4322				1												
752	武神黄金箱（60-69级）	5000	真气丹·小	6151				5												
752	武神黄金箱（60-69级）	15000	真气丹·中	6152				5												
752	武神黄金箱（60-69级）	45000	元气瓶（小）	4462				5												
752	武神黄金箱（60-69级）	138500	元气瓶（中）	4816				5												
752	武神黄金箱（60-69级）	193500	中级修为书	2395				5												
753	武神黄金箱（70-79级）	80000	T6稀有项链碎片	2096				1												
753	武神黄金箱（70-79级）	150000	T6传承项链碎片	2099				1												
753	武神黄金箱（70-79级）	2000	魂石·杨瑛	2528				1												
753	武神黄金箱（70-79级）	5000	魂石·杨铁心	1731				1												
753	武神黄金箱（70-79级）	100000	3级石头	4323				1												
753	武神黄金箱（70-79级）	150000	2级石头	4322				1												
753	武神黄金箱（70-79级）	5000	真气丹·小	6151				5												
753	武神黄金箱（70-79级）	15000	真气丹·中	6152				5												
753	武神黄金箱（70-79级）	50000	元气瓶（小）	4462				5												
753	武神黄金箱（70-79级）	141500	元气瓶（中）	4816				5												
753	武神黄金箱（70-79级）	301500	中级修为书	2395				5												
21780	武神黄金箱（80-89级）	65000	T7稀有项链碎片	2949				1												
21780	武神黄金箱（80-89级）	120000	T7传承项链碎片	2952				1												
21780	武神黄金箱（80-89级）	2500	魂石·杨瑛	2528				1												
21780	武神黄金箱（80-89级）	5000	魂石·杨铁心	1731				1												
21780	武神黄金箱（80-89级）	125000	3级石头	4323				1												
21780	武神黄金箱（80-89级）	165000	2级石头	4322				1												
21780	武神黄金箱（80-89级）	5000	真气丹·小	6151				5												
21780	武神黄金箱（80-89级）	15000	真气丹·中	6152				5												
21780	武神黄金箱（80-89级）	45000	元气瓶（小）	4462				5												
21780	武神黄金箱（80-89级）	105400	元气瓶（中）	4816				5												
21780	武神黄金箱（80-89级）	347100	中级修为书	2395				5												
21781	武神黄金箱（90-99级）	40000	T8稀有项链碎片	2950				1												
21781	武神黄金箱（90-99级）	80000	T8传承项链碎片	2953				1												
21781	武神黄金箱（90-99级）	2500	魂石·杨瑛	2528				1												
21781	武神黄金箱（90-99级）	5000	魂石·杨铁心	1731				1												
21781	武神黄金箱（90-99级）	50000	4级石头	4324				1												
21781	武神黄金箱（90-99级）	90000	3级石头	4323				1												
21781	武神黄金箱（90-99级）	100000	2级石头	4322				1												
21781	武神黄金箱（90-99级）	5000	真气丹·小	6151				5												
21781	武神黄金箱（90-99级）	15000	真气丹·中	6152				5												
21781	武神黄金箱（90-99级）	46000	元气瓶（小）	4462				5												
21781	武神黄金箱（90-99级）	130800	元气瓶（中）	4816				5												
21781	武神黄金箱（90-99级）	435700	中级修为书	2395				5												
21782	武神黄金箱（99-109级）	30000	T9稀有项链碎片	2951				1												
21782	武神黄金箱（99-109级）	54000	T9传承项链碎片	2954				1												
21782	武神黄金箱（99-109级）	3000	魂石·杨瑛	2528				1												
21782	武神黄金箱（99-109级）	5000	魂石·杨铁心	1731				1												
21782	武神黄金箱（99-109级）	65000	4级石头	4324				1												
21782	武神黄金箱（99-109级）	100000	3级石头	4323				1												
21782	武神黄金箱（99-109级）	80000	2级石头	4322				1												
21782	武神黄金箱（99-109级）	6000	真气丹·小	6151				5												
21782	武神黄金箱（99-109级）	18000	真气丹·中	6152				5												
21782	武神黄金箱（99-109级）	50000	元气瓶（小）	4462				5												
21782	武神黄金箱（99-109级）	167000	元气瓶（中）	4816				5												
21782	武神黄金箱（99-109级）	422000	中级修为书	2395				5												
21783	武神黄金箱（109-119级）	25000	T10稀有项链碎片	3669				1												
21783	武神黄金箱（109-119级）	40000	T10传承项链碎片	3670				1												
21783	武神黄金箱（109-119级）	3000	魂石·杨瑛	2528				1												
21783	武神黄金箱（109-119级）	3000	魂石·杨铁心	1731				1												
21783	武神黄金箱（109-119级）	25000	5级石头	4325				1												
21783	武神黄金箱（109-119级）	37500	4级石头	4324				1												
21783	武神黄金箱（109-119级）	50000	3级石头	4323				1												
21783	武神黄金箱（109-119级）	80000	2级石头	4322				1												
21783	武神黄金箱（109-119级）	5000	真气丹·小	6151				5												
21783	武神黄金箱（109-119级）	15000	真气丹·中	6152				5												
21783	武神黄金箱（109-119级）	50000	元气瓶（小）	4462				5												
21783	武神黄金箱（109-119级）	130400	元气瓶（中）	4816				5												
21783	武神黄金箱（109-119级）	536100	中级修为书	2395				5												
21784	武神黄金箱（120-129级）	25000	T11稀有项链碎片	5771				1												
21784	武神黄金箱（120-129级）	40000	T11传承项链碎片	5776				1												
21784	武神黄金箱（120-129级）	3000	魂石·杨瑛	2528				1												
21784	武神黄金箱（120-129级）	3000	魂石·杨铁心	1731				1												
21784	武神黄金箱（120-129级）	25000	5级石头	4325				1												
21784	武神黄金箱（120-129级）	37500	4级石头	4324				1												
21784	武神黄金箱（120-129级）	50000	3级石头	4323				1												
21784	武神黄金箱（120-129级）	80000	2级石头	4322				1												
21784	武神黄金箱（120-129级）	5000	真气丹·小	6151				5												
21784	武神黄金箱（120-129级）	15000	真气丹·中	6152				5												
21784	武神黄金箱（120-129级）	50000	元气瓶（小）	4462				5												
21784	武神黄金箱（120-129级）	130400	元气瓶（中）	4816				5												
21784	武神黄金箱（120-129级）	536100	中级修为书	2395				5												
21785	武神黄金箱（130-139级）	25000	T12稀有项链碎片	5772				1												
21785	武神黄金箱（130-139级）	40000	T12传承项链碎片	5777				1												
21785	武神黄金箱（130-139级）	3000	魂石·杨瑛	2528				1												
21785	武神黄金箱（130-139级）	3000	魂石·杨铁心	1731				1												
21785	武神黄金箱（130-139级）	25000	5级石头	4325				1												
21785	武神黄金箱（130-139级）	37500	4级石头	4324				1												
21785	武神黄金箱（130-139级）	50000	3级石头	4323				1												
21785	武神黄金箱（130-139级）	80000	2级石头	4322				1												
21785	武神黄金箱（130-139级）	5000	真气丹·小	6151				5												
21785	武神黄金箱（130-139级）	15000	真气丹·中	6152				5												
21785	武神黄金箱（130-139级）	50000	元气瓶（小）	4462				5												
21785	武神黄金箱（130-139级）	130400	元气瓶（中）	4816				5												
21785	武神黄金箱（130-139级）	536100	中级修为书	2395				5												
21786	武神黄金箱（140-149级）	25000	T13稀有项链碎片	5773				1												
21786	武神黄金箱（140-149级）	40000	T13传承项链碎片	5778				1												
21786	武神黄金箱（140-149级）	3000	魂石·杨瑛	2528				1												
21786	武神黄金箱（140-149级）	3000	魂石·杨铁心	1731				1												
21786	武神黄金箱（140-149级）	25000	5级石头	4325				1												
21786	武神黄金箱（140-149级）	37500	4级石头	4324				1												
21786	武神黄金箱（140-149级）	50000	3级石头	4323				1												
21786	武神黄金箱（140-149级）	80000	2级石头	4322				1												
21786	武神黄金箱（140-149级）	5000	真气丹·小	6151				5												
21786	武神黄金箱（140-149级）	15000	真气丹·中	6152				5												
21786	武神黄金箱（140-149级）	50000	元气瓶（小）	4462				5												
21786	武神黄金箱（140-149级）	130400	元气瓶（中）	4816				5												
21786	武神黄金箱（140-149级）	536100	中级修为书	2395				5												
21787	武神黄金箱（150-159级）	25000	T14稀有项链碎片	5774				1												
21787	武神黄金箱（150-159级）	40000	T14传承项链碎片	5779				1												
21787	武神黄金箱（150-159级）	3000	魂石·杨瑛	2528				1												
21787	武神黄金箱（150-159级）	3000	魂石·杨铁心	1731				1												
21787	武神黄金箱（150-159级）	25000	5级石头	4325				1												
21787	武神黄金箱（150-159级）	37500	4级石头	4324				1												
21787	武神黄金箱（150-159级）	50000	3级石头	4323				1												
21787	武神黄金箱（150-159级）	80000	2级石头	4322				1												
21787	武神黄金箱（150-159级）	5000	真气丹·小	6151				5												
21787	武神黄金箱（150-159级）	15000	真气丹·中	6152				5												
21787	武神黄金箱（150-159级）	50000	元气瓶（小）	4462				5												
21787	武神黄金箱（150-159级）	130400	元气瓶（中）	4816				5												
21787	武神黄金箱（150-159级）	536100	中级修为书	2395				5												
21788	武神黄金箱（160-169级）	25000	T15稀有项链碎片	5775				1												
21788	武神黄金箱（160-169级）	40000	T15传承项链碎片	5780				1												
21788	武神黄金箱（160-169级）	3000	魂石·杨瑛	2528				1												
21788	武神黄金箱（160-169级）	3000	魂石·杨铁心	1731				1												
21788	武神黄金箱（160-169级）	25000	5级石头	4325				1												
21788	武神黄金箱（160-169级）	37500	4级石头	4324				1												
21788	武神黄金箱（160-169级）	50000	3级石头	4323				1												
21788	武神黄金箱（160-169级）	80000	2级石头	4322				1												
21788	武神黄金箱（160-169级）	5000	真气丹·小	6151				5												
21788	武神黄金箱（160-169级）	15000	真气丹·中	6152				5												
21788	武神黄金箱（160-169级）	50000	元气瓶（小）	4462				5												
21788	武神黄金箱（160-169级）	130400	元气瓶（中）	4816				5												
21788	武神黄金箱（160-169级）	536100	中级修为书	2395				5												
21789	武神黄金箱（170-179级）	25000	T16稀有项链碎片	10326				1												
21789	武神黄金箱（170-179级）	40000	T16传承项链碎片	10331				1												
21789	武神黄金箱（170-179级）	3000	魂石·杨瑛	2528				1												
21789	武神黄金箱（170-179级）	3000	魂石·杨铁心	1731				1												
21789	武神黄金箱（170-179级）	25000	5级石头	4325				1												
21789	武神黄金箱（170-179级）	37500	4级石头	4324				1												
21789	武神黄金箱（170-179级）	50000	3级石头	4323				1												
21789	武神黄金箱（170-179级）	80000	2级石头	4322				1												
21789	武神黄金箱（170-179级）	5000	真气丹·小	6151				5												
21789	武神黄金箱（170-179级）	15000	真气丹·中	6152				5												
21789	武神黄金箱（170-179级）	50000	元气瓶（小）	4462				5												
21789	武神黄金箱（170-179级）	130400	元气瓶（中）	4816				5												
21789	武神黄金箱（170-179级）	536100	中级修为书	2395				5												
44650	武神黄金箱（70-79级）	100000	T6稀有项链碎片	2096				1												
44650	武神黄金箱（70-79级）	150000	T6传承项链碎片	2099				1												
44650	武神黄金箱（70-79级）	2000	魂石·杨瑛	2528				1												
44650	武神黄金箱（70-79级）	5000	魂石·杨铁心	1731				1												
44650	武神黄金箱（70-79级）	0	3级石头	4323				1												
44650	武神黄金箱（70-79级）	300000	2级石头	4322				1												
44650	武神黄金箱（70-79级）	6000	真气丹·小	6151				5												
44650	武神黄金箱（70-79级）	20000	真气丹·中	6152				5												
44650	武神黄金箱（70-79级）	60000	元气瓶（小）	4462				5												
44650	武神黄金箱（70-79级）	198500	元气瓶（中）	4816				5												
44650	武神黄金箱（70-79级）	158500	中级修为书	2395				5												
44651	武神黄金箱（90-99级）	45000	T8稀有项链碎片	2950				1												
44651	武神黄金箱（90-99级）	80000	T8传承项链碎片	2953				1												
44651	武神黄金箱（90-99级）	2500	魂石·杨瑛	2528				1												
44651	武神黄金箱（90-99级）	5000	魂石·杨铁心	1731				1												
44651	武神黄金箱（90-99级）	0	4级石头	4324				1												
44651	武神黄金箱（90-99级）	150000	3级石头	4323				1												
44651	武神黄金箱（90-99级）	150000	2级石头	4322				1												
44651	武神黄金箱（90-99级）	6000	真气丹·小	6151				5												
44651	武神黄金箱（90-99级）	20000	真气丹·中	6152				5												
