Level	CostExp	SkillMinLevel	SkillLevelUpRate
1	20		
2	20		
3	20		
4	20		
5	20		280
6	20		
7	20		
8	20		
9	20		
10	20		280
11	40		
12	40		
13	40		
14	40		
15	40		280
16	40		
17	40		
18	40		
19	40		
20	40		280
21	60		
22	60		
23	60		
24	60		
25	60	2	280
26	60		
27	60		
28	60		
29	60		
30	60		280
31	80		
32	80		
33	80		
34	80		
35	80		280
36	80		
37	80		
38	80		
39	80		
40	80		280
41	100		
42	100		
43	100		
44	100		
45	100		280
46	100		
47	100		
48	100		
49	100		
50	100	3	280
51	100		
52	100		
53	100		
54	100		
55	100		280
56	100		
57	100		
58	100		
59	100		
60	100		280
61	120		
62	120		
63	120		
64	120		
65	120		280
66	120		
67	120		
68	120		
69	120		
70	120		280
71	140		
72	140		
73	140		
74	140		
75	140	4	280
76	140		
77	140		
78	140		
79	140		
80	140		280
81	160		
82	160		
83	160		
84	160		
85	160		280
86	160		
87	160		
88	160		
89	160		
90	160		280
91	180		
92	180		
93	180		
94	180		
95	180		280
96	180		
97	180		
98	180		
99	180		
100	1000	5	280
101	1000		
102	1000		
103	1000		
104	1000		
105	1000		
106	1000		
107	1000		
108	1000		
109	1000		
110	1250		1000
111	1250		
112	1250		
113	1250		
114	1250		
115	1250		
116	1250		
117	1250		
118	1250		
119	1250		
120	1500		1000
121	1500		
122	1500		
123	1500		
124	1500		
125	1500		
126	1500		
127	1500		
128	1500		
129	1500		
130	1750		1000
131	1750		
132	1750		
133	1750		
134	1750		
135	1750		
136	1750		
137	1750		
138	1750		
139	1750		
140	2000		1000
141	2000		
142	2000		
143	2000		
144	2000		
145	2000		
146	2000		
147	2000		
148	2000		
149	2000		
150	2000		1000
151	2500		
152	2500		
153	2500		
154	2500		
155	2500		
156	2500		
157	2500		
158	2500		
159	2500		
160	2500		1000
161	3000		
162	3000		
163	3000		
164	3000		
165	3000		
166	3000		
167	3000		
168	3000		
169	3000		
170	3000		1000
171	3500		
172	3500		
173	3500		
174	3500		
175	3500		
176	3500		
177	3500		
178	3500		
179	3500		
180	3500		1000
181	4000		
182	4000		
183	4000		
184	4000		
185	4000		
186	4000		
187	4000		
188	4000		
189	4000		
190	4000		1000
191	4500		
192	4500		
193	4500		
194	4500		
195	4500		
196	4500		
197	4500		
198	4500		
199	4500		
200	4500		1000
