Type	Faction	SkillBookID	DESC
1	1	2398	初级秘籍·野蛮冲撞
2	1	2401	初级秘籍·血战八方
3	1	2719	初级秘籍·金钟罩
4	1	2402	初级秘籍·霸王怒吼
1	2	2720	初级秘籍·江海凝波
2	2	2403	初级秘籍·天舞宝轮
3	2	2404	初级秘籍·慈航普渡
4	2	2405	初级秘籍·白露凝霜
1	3	2409	初级秘籍·飞火流星
2	3	2722	初级秘籍·九耀连珠
3	3	2410	初级秘籍·火凤燎原
4	3	2411	初级秘籍·穿云破月
1	4	2721	初级秘籍·白虹贯日
2	4	2406	初级秘籍·七探蛇盘
3	4	2407	初级秘籍·斗转星移
4	4	2408	初级秘籍·风卷残云
1	5	2412	初级秘籍·无我无剑
2	5	2414	初级秘籍·天地无极
3	5	2413	初级秘籍·坐忘无我
4	5	2723	初级秘籍·人剑合一
1	6	2724	初级秘籍·死亡回旋
2	6	2415	初级秘籍·魔焰在天
3	6	2416	初级秘籍·血月之影
4	6	2417	初级秘籍·摄魂乱心
1	7	2713	初级秘籍·降龙棍
2	7	2714	初级秘籍·大力金刚指
3	7	2715	初级秘籍·金刚伏魔
4	7	2749	初级秘籍·十二擒龙手
1	8	2716	初级秘籍·璇玑罗舞
2	8	2717	初级秘籍·雨打梨花
3	8	2718	初级秘籍·召唤啵啵
4	8	2750	初级秘籍·冰踪无影
1	9	3267	初级秘籍·缠身刺
2	9	3268	初级秘籍·暴雨梨花
3	9	3269	初级秘籍·迷影纵
4	9	3270	初级秘籍·九宫飞星
1	10	3271	初级秘籍·仙人指路
2	10	3272	初级秘籍·啸风三连击
3	10	3273	初级秘籍·混沌剑阵
4	10	3274	初级秘籍·雷动九天
1	11	4021	初级秘籍·亢龙有悔
2	11	4022	初级秘籍·困龙功
3	11	4023	初级秘籍·醉蝶狂舞
4	11	4024	初级秘籍·龙战于野
1	12	4025	初级秘籍·阴风蚀骨
2	12	4026	初级秘籍·召唤毒虫
3	12	4027	初级秘籍·迷心蛊
4	12	4028	初级秘籍·万蛊蚀心
1	13	5201	初级秘籍·断潮
2	13	5202	初级秘籍·心剑
3	13	5203	初级秘籍·玉泉鱼跃
4	13	5204	初级秘籍·峰插云景
1	14	5205	初级秘籍·平沙雁落
2	14	5206	初级秘籍·云生结海
3	14	5207	初级秘籍·清音长啸
4	14	5208	初级秘籍·江逐月天
1	15	6675	初级秘籍·飞燕凌波
2	15	6674	初级秘籍·银瓶玉碎
3	15	6676	初级秘籍·空山凝云
4	15	6677	初级秘籍·水龙吟
1	16	7520	初级秘籍·化血劫光
2	16	7521	初级秘籍·挟山超海
3	16	7522	初级秘籍·逆血截脉
4	16	7523	初级秘籍·浴血蹈锋
1	17	8445	初级秘籍·萧史乘龙
2	17	8446	初级秘籍·天绅倒悬
3	17	8447	初级秘籍·朝阳一气剑
4	17	8448	初级秘籍·风送紫霞
1	18	9879	初级秘籍·焚山噬川
2	18	9880	初级秘籍·电光石火
3	18	9881	初级秘籍·火光残影
4	18	9882	初级秘籍·毁天灭地
1	19	10537	初级秘籍·一阳指
