FightPowerID	Level	FightPowerValue
1	1	100
1	2	200
1	3	300
1	4	400
1	5	600
1	6	800
1	7	1000
1	8	1200
1	9	2000
1	10	4000
1	11	9500
1	12	11000
1	13	12500
1	14	14000
1	15	16000
1	16	24000
1	17	26500
1	18	33000
1	19	37000
1	20	41500
2	1	400
2	2	406
2	3	412
2	4	418
2	5	424
2	6	430
2	7	436
2	8	442
2	9	448
2	10	454
2	11	460
2	12	466
2	13	472
2	14	478
2	15	484
2	16	490
2	17	496
2	18	502
2	19	508
2	20	514
2	21	520
2	22	526
2	23	532
2	24	538
2	25	544
2	26	550
2	27	556
2	28	562
2	29	568
2	30	574
2	31	580
2	32	586
2	33	592
2	34	598
2	35	604
2	36	610
2	37	616
2	38	622
2	39	628
2	40	634
2	41	640
2	42	646
2	43	652
2	44	658
2	45	664
2	46	670
2	47	676
2	48	682
2	49	688
2	50	694
2	51	700
2	52	706
2	53	712
2	54	718
2	55	724
2	56	730
2	57	736
2	58	742
2	59	748
2	60	754
2	61	760
2	62	766
2	63	772
2	64	778
2	65	784
2	66	790
2	67	796
2	68	802
2	69	808
2	70	814
2	71	820
2	72	826
2	73	832
2	74	838
2	75	844
2	76	850
2	77	856
2	78	862
2	79	868
2	80	874
2	81	880
2	82	886
2	83	892
2	84	898
2	85	904
2	86	910
2	87	916
2	88	922
2	89	928
2	90	934
2	91	940
2	92	946
2	93	952
2	94	958
2	95	964
2	96	970
2	97	976
2	98	982
2	99	988
2	100	1000
2	101	1100
2	102	1200
2	103	1300
2	104	1400
2	105	1500
2	106	1600
2	107	1700
2	108	1800
2	109	1900
2	110	2000
2	111	2125
2	112	2250
2	113	2375
2	114	2500
2	115	2625
2	116	2750
2	117	2875
2	118	3000
2	119	3125
2	120	3250
2	121	3400
2	122	3550
2	123	3700
2	124	3850
2	125	4000
2	126	4150
2	127	4300
2	128	4450
2	129	4600
2	130	4750
2	131	4925
2	132	5100
2	133	5275
2	134	5450
2	135	5625
2	136	5800
2	137	5975
2	138	6150
2	139	6325
2	140	6500
2	141	6700
2	142	6900
2	143	7100
2	144	7300
2	145	7500
2	146	7700
2	147	7900
2	148	8100
2	149	8300
2	150	8500
2	151	8700
2	152	8900
2	153	9100
2	154	9300
2	155	9500
3	1	400
3	2	406
3	3	412
3	4	418
3	5	424
3	6	430
3	7	436
3	8	442
3	9	448
3	10	454
3	11	460
3	12	466
3	13	472
3	14	478
3	15	484
3	16	490
3	17	496
3	18	502
3	19	508
3	20	514
3	21	520
3	22	526
3	23	532
3	24	538
3	25	544
3	26	550
3	27	556
3	28	562
3	29	568
3	30	574
3	31	580
3	32	586
3	33	592
3	34	598
3	35	604
3	36	610
3	37	616
3	38	622
3	39	628
3	40	634
3	41	640
3	42	646
3	43	652
3	44	658
3	45	664
3	46	670
3	47	676
3	48	682
3	49	688
3	50	694
3	51	700
3	52	706
3	53	712
3	54	718
3	55	724
3	56	730
3	57	736
3	58	742
3	59	748
3	60	754
3	61	760
3	62	766
3	63	772
3	64	778
3	65	784
3	66	790
3	67	796
3	68	802
3	69	808
3	70	814
3	71	820
3	72	826
3	73	832
3	74	838
3	75	844
3	76	850
3	77	856
3	78	862
3	79	868
3	80	874
3	81	880
3	82	886
3	83	892
3	84	898
3	85	904
3	86	910
3	87	916
3	88	922
3	89	928
3	90	934
3	91	940
3	92	946
3	93	952
3	94	958
3	95	964
3	96	970
3	97	976
3	98	982
3	99	988
3	100	4000
3	101	4100
3	102	4200
3	103	4300
3	104	4400
3	105	4500
3	106	4600
3	107	4700
3	108	4800
3	109	4900
3	110	5000
3	111	5125
3	112	5250
3	113	5375
3	114	5500
3	115	5625
3	116	5750
3	117	5875
3	118	6000
3	119	6125
3	120	6250
3	121	6400
3	122	6550
3	123	6700
3	124	6850
3	125	7000
3	126	7150
3	127	7300
3	128	7450
3	129	7600
3	130	7750
3	131	7925
3	132	8100
3	133	8275
3	134	8450
3	135	8625
3	136	8800
3	137	8975
3	138	9150
3	139	9325
3	140	9500
3	141	9700
3	142	9900
3	143	10100
3	144	10300
3	145	10500
3	146	10700
3	147	10900
3	148	11100
3	149	11300
3	150	11500
3	151	11700
3	152	11900
3	153	12100
3	154	12300
3	155	12500
3	156	12700
3	157	12900
3	158	13100
3	159	13300
3	160	13500
3	161	13700
3	162	13900
3	163	14100
3	164	14300
3	165	14500
3	166	14700
3	167	14900
3	168	15100
3	169	15300
3	170	15500
3	171	15700
3	172	15900
3	173	16100
3	174	16300
3	175	16500
3	176	16700
3	177	16900
3	178	17100
3	179	17300
3	180	17500
3	181	17700
3	182	17900
3	183	18100
3	184	18300
3	185	18500
3	186	18700
3	187	18900
3	188	19100
3	189	19300
3	190	19500
3	191	19700
3	192	19900
3	193	20100
3	194	20300
3	195	20500
3	196	20700
3	197	20900
3	198	21100
3	199	21300
3	200	21500
4	1	400
4	2	406
4	3	412
4	4	418
4	5	424
4	6	430
4	7	436
4	8	442
4	9	448
4	10	454
4	11	460
4	12	466
4	13	472
4	14	478
4	15	484
4	16	490
4	17	496
4	18	502
4	19	508
4	20	514
4	21	520
4	22	526
4	23	532
4	24	538
4	25	544
4	26	550
4	27	556
4	28	562
4	29	568
4	30	574
4	31	580
4	32	586
4	33	592
4	34	598
4	35	604
4	36	610
4	37	616
4	38	622
4	39	628
4	40	634
4	41	640
4	42	646
4	43	652
4	44	658
4	45	664
4	46	670
4	47	676
4	48	682
4	49	688
4	50	694
4	51	700
4	52	706
4	53	712
4	54	718
4	55	724
4	56	730
4	57	736
4	58	742
4	59	748
4	60	754
4	61	760
4	62	766
4	63	772
4	64	778
4	65	784
4	66	790
4	67	796
4	68	802
4	69	808
4	70	814
4	71	820
4	72	826
4	73	832
4	74	838
4	75	844
4	76	850
4	77	856
4	78	862
4	79	868
4	80	874
4	81	880
4	82	886
4	83	892
4	84	898
4	85	904
4	86	910
4	87	916
4	88	922
4	89	928
4	90	934
4	91	940
4	92	946
4	93	952
4	94	958
4	95	964
4	96	970
4	97	976
4	98	982
4	99	988
4	100	4000
4	101	4100
4	102	4200
4	103	4300
4	104	4400
4	105	4500
4	106	4600
4	107	4700
4	108	4800
4	109	4900
4	110	5000
4	111	5125
4	112	5250
4	113	5375
4	114	5500
4	115	5625
4	116	5750
4	117	5875
4	118	6000
4	119	6125
4	120	6250
4	121	6400
4	122	6550
4	123	6700
4	124	6850
4	125	7000
4	126	7150
4	127	7300
4	128	7450
4	129	7600
4	130	7750
4	131	7925
4	132	8100
4	133	8275
4	134	8450
4	135	8625
4	136	8800
4	137	8975
4	138	9150
4	139	9325
4	140	9500
4	141	9700
4	142	9900
4	143	10100
4	144	10300
4	145	10500
4	146	10700
4	147	10900
4	148	11100
4	149	11300
4	150	11500
4	151	11850
4	152	12200
4	153	12550
4	154	12900
4	155	13250
4	156	13600
4	157	13950
4	158	14300
4	159	14650
4	160	15000
4	161	15350
4	162	15700
4	163	16050
4	164	16400
4	165	16750
4	166	17100
4	167	17450
4	168	17800
4	169	18150
4	170	18500
4	171	18850
4	172	19200
4	173	19550
4	174	19900
4	175	20250
4	176	20600
4	177	20950
4	178	21300
4	179	21650
4	180	22000
4	181	22350
4	182	22700
4	183	23050
4	184	23400
4	185	23750
4	186	24100
4	187	24450
4	188	24800
4	189	25150
4	190	25500
4	191	25850
4	192	26200
4	193	26550
4	194	26900
4	195	27250
4	196	27600
4	197	27950
4	198	28300
4	199	28650
4	200	29000
