PlayerLevel	MinPlayerLevel	LoseExpRate	MaxBaseExp	GetItemID	GetBaseExp	SendItemID
49	20	50	800	2900	200	3702
59	20	50	800	2901	200	3703
69	20	50	800	2902	200	3704
79	20	50	800	2903	200	3705
89	20	50	800	2904	200	3706
99	20	50	800	2905	200	3707
109	20	50	800	3691	200	3708
119	20	50	800	3724	200	3725
129	20	50	800	6098	200	6099
139	20	50	800	6993	200	6994
149	20	50	800	7497	200	7498
159	20	50	800	8321	200	8320
169	20	50	800	9785	200	9790
179	20	50	800	9786	200	9791
189	20	50	800	9787	200	9792
199	20	50	800	9788	200	9793
