TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	FightPower	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
7164	好友诀要·粗通	T1_JY_HAOYOU_Q1	37	7164	7164		JueYao	1		100000	1	1	10000	3	80		1	100	1	1	1							
7165	好友诀要·熟谙	T2_JY_HAOYOU_Q1	37	7165	7165		JueYao	1		250000	2	1	25000	3	90		1	250	2	2	2							
7166	好友诀要·了然	T3_JY_HAOYOU_Q1	37	7166	7166		JueYao	1		500000	3	1	50000	3	100		1	500	3	3	3							
7167	好友诀要·入微	T4_JY_HAOYOU_Q1	37	7167	7167		JueYao	1		750000	4	1	75000	3	110		1	750	4	4	4							
7168	好友诀要·游刃	T5_JY_HAOYOU_Q1	37	7168	7168		JueYao	1		1000000	5	1	100000	3	120		1	1000	5	5	5							
7169	好友诀要·神会	T6_JY_HAOYOU_Q1	37	7169	7169		JueYao	1		1500000	6	1	150000	3	130		1	1500	6	6	6							
7170	师徒诀要·粗通	T1_JY_SHITU_Q1	37	7170	7170		JueYao	2		100000	1	1	10000	3	80		1	100	1	1	1							
7171	师徒诀要·熟谙	T2_JY_SHITU_Q1	37	7171	7171		JueYao	2		250000	2	1	25000	3	90		1	250	2	2	2							
7172	师徒诀要·了然	T3_JY_SHITU_Q1	37	7172	7172		JueYao	2		500000	3	1	50000	3	100		1	500	3	3	3							
7173	师徒诀要·入微	T4_JY_SHITU_Q1	37	7173	7173		JueYao	2		750000	4	1	75000	3	110		1	750	4	4	4							
7174	师徒诀要·游刃	T5_JY_SHITU_Q1	37	7174	7174		JueYao	2		1000000	5	1	100000	3	120		1	1000	5	5	5							
7175	师徒诀要·神会	T6_JY_SHITU_Q1	37	7175	7175		JueYao	2		1500000	6	1	150000	3	130		1	1500	6	6	6							
7176	结拜诀要·粗通	T1_JY_JIEBAI_Q1	37	7176	7176		JueYao	3		100000	1	1	10000	3	80		1	100	1	1	1							
7177	结拜诀要·熟谙	T2_JY_JIEBAI_Q1	37	7177	7177		JueYao	3		250000	2	1	25000	3	90		1	250	2	2	2							
7178	结拜诀要·了然	T3_JY_JIEBAI_Q1	37	7178	7178		JueYao	3		500000	3	1	50000	3	100		1	500	3	3	3							
7179	结拜诀要·入微	T4_JY_JIEBAI_Q1	37	7179	7179		JueYao	3		750000	4	1	75000	3	110		1	750	4	4	4							
7180	结拜诀要·游刃	T5_JY_JIEBAI_Q1	37	7180	7180		JueYao	3		1000000	5	1	100000	3	120		1	1000	5	5	5							
7181	结拜诀要·神会	T6_JY_JIEBAI_Q1	37	7181	7181		JueYao	3		1500000	6	1	150000	3	130		1	1500	6	6	6							
7182	情缘诀要·粗通	T1_JY_QINGYUAN_Q1	37	7182	7182		JueYao	4		100000	1	1	10000	3	80		1	100	1	1	1							
7183	情缘诀要·熟谙	T2_JY_QINGYUAN_Q1	37	7183	7183		JueYao	4		250000	2	1	25000	3	90		1	250	2	2	2							
7184	情缘诀要·了然	T3_JY_QINGYUAN_Q1	37	7184	7184		JueYao	4		500000	3	1	50000	3	100		1	500	3	3	3							
7185	情缘诀要·入微	T4_JY_QINGYUAN_Q1	37	7185	7185		JueYao	4		750000	4	1	75000	3	110		1	750	4	4	4							
