nTimes	nRate1	nValue1	nRate2	nValue2	nRate3	nValue3	nRate4	nValue4	nRate5	nValue5	nRate6	nValue6	nRate7	nValue7	nRate8	nValue8	nRate9	nValue9	nRate10	nValue10	nRate11	nValue11	nRate12	nValue12	nRate13	nValue13	nRate14
0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
1	3	4	3	5	3	2	3	2	3	1	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3
2	6	12	6	15	6	6	6	7	6	5	6	6	6	7	6	7	6	7	6	7	6	7	6	7	6	7	6
3	10	24	10	30	10	12	10	14	10	11	10	12	10	14	10	15	10	15	10	15	10	15	10	15	10	15	10
4	12	40	12	50	12	21	12	24	15	19	15	21	15	24	15	26	15	26	15	26	15	26	15	26	15	26	15
5	14	48	14	60	14	25	14	29	20	28	20	32	20	36	20	39	20	39	20	39	20	39	20	39	20	39	20
6	16	56	16	71	20	29	20	34	30	38	30	43	30	48	30	52	30	52	30	52	30	52	30	52	30	52	30
7	18	64	18	81	30	42	30	49	40	57	40	64	40	72	40	79	40	79	40	79	40	79	40	79	40	79	40
8	20	73	20	91	40	63	40	74	60	76	60	86	60	96	60	105	60	105	60	105	60	105	60	105	60	105	60
9	25	81	25	101	50	85	50	99	90	115	90	129	90	144	90	158	90	158	90	158	90	158	90	158	90	158	90
10	30	101	30	126	60	106	60	124	120	172	120	194	120	216	120	237	120	237	120	237	120	237	120	237	120	237	120
11	35	121	35	152	80	127	80	149	180	230	180	259	180	288	180	316	180	316	180	316	180	316	180	316	180	316	180
12	40	142	40	177	90	170	90	198	240	345	240	388	240	432	240	475	240	475	240	475	240	475	240	475	240	475	240
13	45	162	45	203	100	191	100	223	300	460	300	518	300	576	300	633	300	633	300	633	300	633	300	633	300	633	300
14	50	182	50	228	200	213	200	248	400	576	400	648	400	720	400	792	400	792	400	792	400	792	400	792	400	792	400
15	60	203	60	253	300	426	300	497	500	768	500	864	500	960	500	1056	500	1056	500	1056	500	1056	500	1056	500	1056	500
16	100	243	100	304	400	639	400	745	600	960	600	1080	600	1200	600	1320	600	1320	600	1320	600	1320	600	1320	600	1320	600
17	200	406	200	507	600	852	600	994	700	1152	700	1296	700	1440	700	1584	700	1584	700	1584	700	1584	700	1584	700	1584	700
18	300	812	300	1015	800	1278	800	1491	850	1344	850	1512	850	1680	850	1848	850	1848	850	1848	850	1848	850	1848	850	1848	850
19	1000	1218	1000	1522	1000	1704	1000	1988	1000	1632	1000	1836	1000	2040	1000	2244	1000	2244	1000	2244	1000	2244	1000	2244	1000	2244	1000
