JingMaiId	XueWeiId	MainPos	NameLeft	NextXueWeiId
1	1	2|199	1	2
1	2	-44|161	1	3
1	3	0|118		4
1	4	-70|82	1	5
1	5	-16|46		6
1	6	-52|-8		7
1	7	-131|27	1	8
1	8	-155|-44	1	9
1	9	-82|-80	1	10
1	10	20|-99		11
1	11	-81|-146	1	12
1	12	14|-178		
2	13	2|199	1	14
2	14	39|143		15
2	15	-12|100	1	16
2	16	-70|55	1	17
2	17	-21|6	1	18
2	18	68|42		19
2	19	97|-22		20
2	20	30|-58	1	21
2	21	150|-91		22
2	22	58|-120	1	23
2	23	120|-168		24
2	24	-12|-178	1	
3	25	15|196		26
3	26	-36|155	1	27
3	27	25|131		28
3	28	-32|100	1	29
3	29	38|73		30
3	30	-24|45	1	31
3	31	42|12		32
3	32	-15|-22	1	33
3	33	45|-54		34
3	34	-4|-86	1	35
3	35	39|-130		36
3	36	-19|-165	1	
4	37	0|189	1	38
4	38	-59|155	1	39
4	39	-80|97	1	40
4	40	-18|65	1	41
4	41	-46|7	1	42
4	42	-93|-40	1	43
4	43	-80|-98	1	44
4	44	-58|-156	1	45
4	45	12|-176		46
4	46	70|-132		47
4	47	128|-98		48
4	48	111|-40		
5	49	-22|199	1	50
5	50	40|165	1	51
5	51	75|107	1	52
5	52	20|50	1	53
5	53	48|3	1	54
5	54	96|-32	1	55
5	55	84|-84	1	56
5	56	59|-131	1	57
5	57	4|-161		58
5	58	-69|-121		59
5	59	-126|-87		60
5	60	-107|-22		
6	61	27|201	1	62
6	62	-67|167	1	63
6	63	35|133	1	64
6	64	-20|102	1	65
6	65	-70|72	1	66
6	66	-10|38	1	67
6	67	-48|5	1	68
6	68	-48|-39	1	69
6	69	-12|-75		70
6	70	-11|-119		71
6	71	65|-145		72
6	72	7|-176		
