Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	HideTaskId
GateN	北城门		2788	50	1	130	11624	9405	24	-1	0	0		0	0	0	0	0	0	0	0	
GateS	南城门		2788	50	1	130	11648	5092	40	-1	0	0		0	0	0	0	0	0	0	0	
Longzhu_sun	乾清龙柱		2789	50		130	14861	10191	0	-1	0	0		0	0	0	0	0	0	0	0	
Longzhu_moon	坤宁龙柱		2790	50		130	14863	4967	0	-1	0	0		0	0	0	0	0	0	0	0	
gongjiang	工匠		2793	50	1	130	13159	7279	32	-1	0	0		0	0	0	0	0	0	0	0	
Longzhu_sun2	乾清龙柱		2797	50	1	130	14861	10191	0	-1	0	0		0	0	0	0	0	0	0	0	
Longzhu_moon2	坤宁龙柱		2798	50	1	130	14863	4967	0	-1	0	0		0	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	11269	10092	26	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	11157	10014	27	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	11085	9866	13	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	11305	9933	46	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	11470	9909	12	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	11401	9791	64	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	11209	9731	59	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	10941	9794	64	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	10847	9662	44	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	11040	9677	5	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	11013	9514	20	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	10652	9478	55	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	10823	9361	29	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	10935	9222	21	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	11073	9210	34	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	11588	9746	41	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	11473	9587	59	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	11248	9584	40	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	11097	9427	32	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	11266	9364	26	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	10829	9511	12	-1	0	0		-1	0	0	0	0	0	0	0	
jinbing_1	攻城金兵		2791	50		100	10930	5085	46	-1	0	0		-1	0	0	0	0	0	0	0	
