Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme		HideTaskId
yewai_60_3	神秘刺客		1036	50		70	13048	12922	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	6791	13361	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	7165	13292	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	6329	12625	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	6894	13125	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	6944	12768	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	7158	12932	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	7308	12496	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	7401	12789	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	6465	13268	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	6286	12947	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	7387	13104	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	8794	11394	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	7019	12467	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	6619	13030	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	6670	12734	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	6633	12474	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	9367	13575	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	9490	13994	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	9216	13904	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	9386	14287	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	9733	14191	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	8981	13871	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_60_3	神秘刺客		1036	50		70	9024	13551	0	-1	0	0		-1	0	0	0	0	0	0	0		
