Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme		HideTaskId
weibing	严家军亲卫		1111	50		50	8570	7800	43	-1	0	0		-1	0	0	0	0	0	0	0		325
weibing	严家军亲卫		1111	50		50	8540	7180	39	-1	0	0		-1	0	0	0	0	0	0	0		325
weibing	严家军亲卫		1111	50		50	8520	9150	48	-1	0	0		-1	0	0	0	0	0	0	0		325
weibing	严家军亲卫		1111	50		50	9570	7060	30	-1	0	0		-1	0	0	0	0	0	0	0		325
weibing	严家军亲卫		1111	50		50	7010	6430	45	-1	0	0		-1	0	0	0	0	0	0	0		325
weibing	严家军亲卫		1111	50		50	6470	8360	45	-1	0	0		-1	0	0	0	0	0	0	0		325
yewai_40_5	茅山道士		1026	50		50	4043	13476	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	4324	14172	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	4658	13988	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	4570	14187	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	3620	13884	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	3728	13546	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	4316	13498	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	4577	13505	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	4631	13723	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	4384	13734	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	4280	13981	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	4166	13809	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	3944	13745	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	3934	14013	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	3766	14159	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	2140	13317	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	2413	13398	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	2073	13062	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	2381	12595	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	2576	13143	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	2084	12423	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	1970	12811	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	2331	13085	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	2836	13081	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	3610	10673	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	3913	10704	0	-1	0	0		-1	0	0	0	0	0	0	0		
yewai_40_5	茅山道士		1026	50		50	4347	10445	0	-1	0	0		-1	0	0	0	0	0	0	0		
