Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme
yewai_70_pk_1	强盗		1851	50		80	5072	8944	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5660	8952	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5003	9628	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5066	8689	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5397	8677	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5514	9084	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5671	8759	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5171	9526	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5885	8930	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5445	9318	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5951	9150	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5924	9427	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5704	9309	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	4799	9420	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	4784	9135	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5035	9193	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5758	9598	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5528	9732	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5504	9525	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5265	9724	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5230	9301	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5268	9097	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	5373	8922	0	-1	0	0		-1	0	0	0	0	0	0	0
yewai_70_pk_1	强盗		1851	50		80	4854	8869	0	-1	0	0		-1	0	0	0	0	0	0	0
