Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme
WallGuard	征战营地障碍		104	50		1	5869	10179	40	-1	0	0		0	0	0	0	0	0	0	0
WallGuard	征战营地障碍		104	50		1	5241	9549	40	-1	0	0		0	0	0	0	0	0	0	0
WallGuard	征战营地障碍		104	50		1	5554	9857	40	-1	0	0		0	0	0	0	0	0	0	0
WallGuard	征战营地障碍		104	50		1	5449	4405	27	-1	0	0		0	0	0	0	0	0	0	0
WallGuard	征战营地障碍		104	50		1	5668	4014	27	-1	0	0		0	0	0	0	0	0	0	0
WallGuard	征战营地障碍		104	50		1	5228	4877	27	-1	0	0		0	0	0	0	0	0	0	0
TrapToKing	临安王城		8002	50	1	0	18692	11131	27	-1	0	0		0	0	0	0	0	0	0	0
gate_n	北城门		8002	50	1	0	11593	9426	27	-1	0	0		0	0	0	0	0	0	0	0
gate_s	南城门		8002	50	1	0	11622	5054	27	-1	0	0		0	0	0	0	0	0	0	0
longzhu1	北龙柱		8002	50	1	0	14861	10191	27	-1	0	0		0	0	0	0	0	0	0	0
longzhu2	中龙柱		8002	50	1	0	13159	7279	27	-1	0	0		0	0	0	0	0	0	0	0
longzhu3	南龙柱		8002	50	1	0	14863	4967	27	-1	0	0		0	0	0	0	0	0	0	0
