Info	Type	Item	Count	SSS	SS	S	A	B	C	D	Addition	Other	SendWorld
钱袋		1224	1	170000	171700	133400	93900	27200	3700	0	170000	100000	
200凌绝荣誉	HonorRandomFuben		200	146000	151200	144000	180000	204000	176400	0	105000	75000	
300凌绝荣誉	HonorRandomFuben		300	38500	67200	57600	48000	27300	0	0	60000	75000	
500凌绝荣誉	HonorRandomFuben		500	23000	40200	34500	14400	4200	0	0	36000	75000	
1000凌绝荣誉	HonorRandomFuben		1000	11500	20100	14400	2400	0	0	0	18000	60000	
宝箱钥匙		785	1	158800	140000	120000	100000	85000	0		125000	100000	
藏宝图		787	1	0	0	189000	209300	221000	379700	0	166800	80000	
修炼丹		764	1	128000	134300	120000	100000	76500	104200	0	125000	75000	
1级生命宝石		230	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
1级攻击宝石		240	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
1级抗性宝石		250	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
1级忽抗宝石		260	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
1级闪避宝石		270	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
1级忽闪宝石		280	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
1级会心宝石		290	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
1级抗会心宝石		300	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
1级效果宝石		310	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
1级减效果宝石		320	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
2级生命宝石		231	1	6500	3700	3200	700	0	0	0	3300	8000	
2级攻击宝石		241	1	6500	3700	3200	700	0	0	0	3300	8000	
2级抗性宝石		251	1	6500	3700	3200	700	0	0	0	3300	8000	
2级忽抗宝石		261	1	6500	3700	3200	700	0	0	0	3300	8000	
2级闪避宝石		271	1	6500	3700	3200	700	0	0	0	3300	8000	
2级忽闪宝石		281	1	6500	3700	3200	700	0	0	0	3300	8000	
2级会心宝石		291	1	6500	3700	3200	700	0	0	0	3300	8000	
2级抗会心宝石		301	1	6500	3700	3200	700	0	0	0	3300	8000	
2级效果宝石		311	1	6500	3700	3200	700	0	0	0	3300	8000	
2级减效果宝石		321	1	6500	3700	3200	700	0	0	0	3300	8000	
小块的水晶		212	1	0	0	40000	100000	226600	280000	0	41700	60000	
破损的水晶		222	1	67200	47400	27000	20000	15000	0	0	27800	50000	
破损的神秘矿石		213	1	64000	55900	40100	25000	11200	0	0	41700	50000	
