szKey	nReqLevel	szUiName	szTitle	nShowPriority	szContent	szTimeFunc	szTimeParam1	szTimeParam2	szClickFunc	szBtnName	szBtnTrap	nBtnCloseWnd	szTimeFrameLimit1	szTimeFrameLimit2
FactionBattleTips	20		第一届门派竞技		[FFFE0D]事件背景[-]\n    诸位同门袍泽，如今我派愈发繁荣，门下精英辈出，故师尊欲举行同门之间切磋之盛举——门派竞技，但凡我派弟子均可参与，先以混战形式交手，剩余的十六位门派精英将进行一对一单挑，最终胜者将荣获本派「新人王」称号。诸位同门，施展浑身手段，展现习武成果，一展我辈武人风范的时候来了，努力为此荣耀战斗吧！\n\n[FFFE0D]活动简介[-]\n    门派竞技是门派间最热血沸腾的盛事，同门派所有等级≥30级以上的弟子均可参与，通过若干次两方混战及一对一选拔，最终角逐门派第一人的盛举！\n\n[FFFE0D]比赛规则[-]\n    1、报名后，经过一定准备时间将进入混战阶段，所有参与比赛的角色将[FFFE0D]随机分为两队[-]进行混战，[FFFE0D]击败对手[-]将获得[FFFE0D]积分[-]，被击败后等待一段时间将自动复活，最终积分[FFFE0D]前十六[-]的门派弟子进入单挑赛。\n    2、前十六名玩家将进行[FFFE0D] 一对一 [-]的比试，经过八强赛、四强赛、准决赛、决赛，最终胜者将荣获本届[FFFE0D]「新人王」[-]的称号；\n    3、活动名次越好，奖励越高！除了稀有魂石外，还将获得门派武功秘籍！快来参加吧！	fnOpenServer	OpenLevel39|3	OpenLevel39|5						
Spokesman	15		终于等到你		[FFFE0D]事件背景[-]\n    挺哥自小长于武当山，但自上月与诸派师兄师姐一同搜索五色教余孽，遇峨眉小缘师姐，便觉她清纯脱俗，美若天仙，实乃超出人之想象般的存在。后回到武当山，常茶饭不思，对小缘师姐念念不忘，希望珍惜她、保护她、待她如家人一般。\n    经过多方求探，听闻小缘师姐极为喜食又缘糕，便托名厨兔小灰、兔小白费尽心力做出独一无二的又缘糕。不想半途被寂寞双煞劫走，现逃窜于野外。\n    现听闻小缘师姐已来到襄阳，但我因走火入魔难以行动，还望少侠帮我夺回又缘糕，送至小缘师姐处。我的终生幸福便托付与少侠了！\n\n[FFFE0D]活动内容[-]\n    前往襄阳城寻找[47f005][url=npc:NPC挺哥, 1666, 10][-]接取任务，根据任务提示完成步骤后即可。   	fnSpecialTime	2016/5/10	2016/6/12						
WhiteTigerTips	20		白虎堂		[FFFE0D]事件背景[-]\n    江南白虎堂，一入一魂殇。\n    雷氏家族掌控的白虎堂，是江湖中最为凶险的地方之一，无数人觊觎其中的宝物，在其中除了要应付雷氏家族，更要小心那些同样以夺宝为目的而来的家族，最终存活者方有机会击败白虎堂主雷震天夺得高额奖励。\n\n[FFFE0D]玩法规则[-]\n   1、白虎堂是凶险异常的争夺之地，角色等级≥30级可以参与，进入白虎堂将自动切换为[FFFE0D] 家族模式[-]，每个侠士[FFFE0D] 只有一次机会[-]，一旦重伤就将出场，活得越久夺得最终大宝藏的机会就越大！\n   2、白虎堂共有八个入口，选择进入同一入口进入的侠士将直接进行对决，而不同入口的侠士将在不同阶段相遇，展开争斗，同队伍的成员注意选择[FFFE0D] 同一个入口 [-]进入，避免分散！\n   3、白虎堂共分为四层，每层时间结束后都将[FFFE0D] 刷新首领 [-]，击败首领时，输出最高的几支队伍均可获得奖励，同时开启下层入口，与另一侧入口获胜的队伍不期而遇。\n   4、与[FFFE0D] 家族成员 [-]结成队伍一同前往将增加生存几率！有时候不幸遇见过于强大的队伍，暂时避其锋芒等待时机也是不错的选择！	fnOpenServer	OpenLevel39|2	OpenLevel39|3						
OpenLevel49	10		49级等级上限		[FFFE0D]49级即将开放[-]\n\n    诸位侠士，江湖即将开放49级等级上限，诸位可做好历练准备，争取早日名动武林。	fnOpenServer	OpenLevel49|-1	OpenLevel49|2						
OpenLevel59	10		59级等级上限		[FFFE0D]59级即将开放[-]\n    诸位侠士，江湖即将开放59级等级上限，诸位可做好历练准备，争取早日名动武林。开放59级上限后，武林各大活动将会有更多稀有物品掉落！\n\n[FFFE0D]新增活动奖励[-]\n   [FFFE0D]开放家园系统（1级、2级）、家族攻城战、师徒系统。[-]\n   [FFFE0D]可装备并修炼第二本门派秘籍。[-]\n   武林盟主：[ff8f06] [url=openwnd:4阶稀有衣服碎片, ItemTips, "Item", nil, 2124, me.nFaction] [-] [11adf6] [url=openwnd:名将令, ItemTips, "Item", nil, 1394] [-] [11adf6] [url=openwnd:铜锭, ItemTips, "Item", nil, 4307] [-]\n   英雄挑战：[ff8f06] [url=openwnd:4阶稀有腰带碎片, ItemTips, "Item", nil, 2136, me.nFaction] [-]\n   野外首领：[ff8f06] [url=openwnd:4阶稀有护身符碎片, ItemTips, "Item", nil, 2112, me.nFaction] [-]\n   历代名将：[ff8f06] [url=openwnd:4阶稀有武器碎片, ItemTips, "Item", nil, 2088, me.nFaction] [-] [11adf6] [url=openwnd:名将令, ItemTips, "Item", nil, 1394] [-][11adf6] [url=openwnd:羊皮, ItemTips, "Item", nil, 4317] [-]\n   组队秘境：[ff8f06] [url=openwnd:4阶稀有帽子碎片, ItemTips, "Item", nil, 2118, me.nFaction] [-]\n   惩恶任务：[ff8f06] [url=openwnd:4阶稀有护腕碎片, ItemTips, "Item", nil, 2130, me.nFaction] [-]\n   商会任务：[ff8f06] [url=openwnd:4阶稀有玉佩碎片, ItemTips, "Item", nil, 2106, me.nFaction] [-]\n   宋金战场：[ff8f06] [url=openwnd:4阶稀有戒指碎片, ItemTips, "Item", nil, 2100, me.nFaction] [-] [aa62fc] [url=openwnd:4阶传承戒指碎片, ItemTips, "Item", nil, 2103, me.nFaction] [-]\n   通天塔：   [ff8f06] [url=openwnd:4阶稀有鞋子碎片, ItemTips, "Item", nil, 2142, me.nFaction] [-]\n   武神殿：   [ff8f06] [url=openwnd:4阶稀有项链碎片, ItemTips, "Item", nil, 2094, me.nFaction] [-]\n   攻城战：   [ff578c] [url=openwnd:乌云踏雪, EquipTips, nil, 2400, me.nFaction] [-] [11adf6] [url=openwnd:名将令, ItemTips, "Item", nil, 1394] [-] [11adf6] [i]3级魂石[/i] [-]\n   黄金宝箱：[aa62fc] [i]4阶传承装备碎片[/i] [-] [11adf6] [url=openwnd:蓝水晶, ItemTips, "Item", nil, 223] [-]\n   1元超值礼包：[ff8f06] [i]4阶稀有装备[/i] [-] [11adf6] [url=openwnd:名将令, ItemTips, "Item", nil, 1394] [-]\n   3元超值礼包：[ff8f06] [i]4阶稀有装备[/i] [-] [11adf6] [url=openwnd:名将令, ItemTips, "Item", nil, 1394] [-]\n   6元超值礼包：[ff8f06] [i]4阶稀有装备[/i] [-] [11adf6] [url=openwnd:名将令, ItemTips, "Item", nil, 1394] [-]\n   除以上特殊奖励外，其他活动的奖励也将整体提升！备战武林，好奖相迎！	fnOpenServer	OpenLevel59|-3	OpenLevel59|2						
OpenLevel69	10		69级等级上限		[FFFE0D]69级即将开放[-]\n    诸位侠士，江湖即将开放69级等级上限，诸位可做好历练准备，争取早日名动武林。开放69级上限后，武林各大活动将会有更多稀有物品掉落！\n\n[FFFE0D]新增活动奖励[-]\n   [FFFE0D]开放婚姻系统、华山论剑、凌绝峰·噩梦难度副本。[-]\n   [FFFE0D]可装备并修炼第三本门派秘籍。[-]\n   武林盟主：[ff8f06] [url=openwnd:5阶稀有衣服碎片, ItemTips,  "Item", nil, 2125, me.nFaction] [-] [aa62fc] [url=openwnd:初级魂石·独孤剑, StoneTipsPanel, nil, 2668] [-]\n   英雄挑战：[ff8f06] [url=openwnd:5阶稀有腰带碎片, ItemTips,  "Item", nil, 2137, me.nFaction] [-] [aa62fc] [url=openwnd:初级魂石·祝子虚, StoneTipsPanel, nil, 2530] [-]\n   60级野外首领：[ff8f06] [url=openwnd:5阶稀有护身符碎片, ItemTips,  "Item", nil, 2113, me.nFaction] [-] [aa62fc] [url=openwnd: 初级魂石·定海金刚(唯一), StoneTipsPanel, nil, 1757] [-] [aa62fc] [url=openwnd: 初级魂石·金翅鹏皇(唯一), StoneTipsPanel, nil,  1758] [-] [aa62fc] [url=openwnd: 初级魂石·银角犀皇(唯一), StoneTipsPanel, nil,  1759] [-] [11adf6] [url=openwnd:名将令, ItemTips, "Item", nil, 1394] [-]\n   历代名将：[ff8f06] [url=openwnd:5阶稀有武器碎片, ItemTips,  "Item", nil, 2089, me.nFaction] [-] [aa62fc] [url=openwnd:逐鹿令, ItemTips, "Item", nil, 1395] [-]\n   组队秘境：[ff8f06] [url=openwnd:5阶稀有帽子碎片, ItemTips,  "Item", nil, 2119, me.nFaction] [-] [ff8f06] [i]甲级同伴[/i] [-] [11adf6] [i]3级魂石[/i] [-]\n   惩恶任务：[ff8f06] [url=openwnd:5阶稀有护腕碎片, ItemTips,  "Item", nil, 2131, me.nFaction] [-]\n   商会任务：[ff8f06] [url=openwnd:5阶稀有玉佩碎片, ItemTips,  "Item", nil, 2107, me.nFaction] [-]\n   宋金战场：[ff8f06] [url=openwnd:5阶稀有戒指碎片, ItemTips,  "Item", nil, 2101, me.nFaction] [-] [aa62fc] [url=openwnd:5阶传承戒指碎片, ItemTips, "Item", nil, 2104, me.nFaction] [-] [aa62fc] [url=openwnd:初级魂石·徒单克宁, StoneTipsPanel, nil, 2536] [aa62fc] [url=openwnd:初级魂石·李显忠, StoneTipsPanel, nil, 2535] [-] [-]\n   通天塔：   [ff8f06] [url=openwnd:5阶稀有鞋子碎片, ItemTips,  "Item", nil, 2143, me.nFaction] [-] [aa62fc] [url=openwnd:初级魂石·端木睿, StoneTipsPanel, nil, 2533] [-]\n   武神殿：   [ff8f06] [url=openwnd:5阶稀有项链碎片, ItemTips,  "Item", nil, 2095, me.nFaction] [-] [aa62fc] [url=openwnd:初级魂石·杨瑛, StoneTipsPanel, nil, 2528] [-] [11adf6] [url=openwnd:花岗岩, ItemTips, "Item", nil, 4322] [-]\n   门派竞技：[aa62fc] [url=openwnd:初级魂石·孟知秋, StoneTipsPanel, nil, 2534] [-] [11adf6] [url=openwnd:蓝水晶, ItemTips, "Item", nil, 223] [-]\n   藏宝图：   [11adf6] [url=openwnd:蓝水晶, ItemTips, "Item", nil, 223] [-]\n   白虎堂：   [11adf6] [url=openwnd:蓝水晶, ItemTips, "Item", nil, 223] [-]\n   家族试炼：[aa62fc] [url=openwnd:初级魂石·黄玉英, StoneTipsPanel, nil, 2531] [-]\n   攻城战：   [ff8f06] [i]地级本命武器[/i] [-] [aa62fc] [url=openwnd:初级魂石·完颜洪烈, StoneTipsPanel, nil, 2696] [-] [aa62fc] [url=openwnd:逐鹿令, ItemTips, "Item", nil, 1395] [-] [11adf6] [url=openwnd:琉璃, ItemTips, "Item", nil, 4312] [-] [11adf6] [url=openwnd:府绸, ItemTips, "Item", nil, 4302] [-]\n   华山论剑：[aa62fc] [url=openwnd:初级魂石·道一真人, StoneTipsPanel, nil, 2532] [-] [aa62fc] [url=openwnd:紫水晶, ItemTips, "Item", nil, 224] [-] [11adf6] [url=openwnd:蓝水晶, ItemTips, "Item", nil, 223] [-] [11adf6] [url=openwnd:武林秘籍·中卷, ItemTips, "Item", nil, 1431] [-]\n   黄金宝箱：[aa62fc] [i]5阶传承装备碎片[/i] [-]\n   1元超值礼包：[ff8f06] [i]5阶稀有装备[/i] [-]\n   3元超值礼包：[ff8f06] [i]5阶稀有装备[/i] [-] [11adf6] [url=openwnd:元气瓶（小）, ItemTips, "Item", nil, 4462] [-]\n   6元超值礼包：[ff8f06] [i]5阶稀有装备[/i] [-]\n   除以上特殊奖励外，其他活动的奖励也将整体提升！备战武林，好奖相迎！	fnOpenServer	OpenLevel69|-3	OpenLevel69|2						
OpenLevel79	10		79级等级上限		[FFFE0D]79级即将开放[-]\n    诸位侠士，江湖即将开放79级等级上限，诸位可做好历练准备，争取早日名动武林。开放79级上限后，武林各大活动将会有更多稀有物品掉落！\n\n[FFFE0D]新增活动奖励[-]\n   [FFFE0D]开放3级家园系统。提升周卡、月卡每日领取额度（周卡每日200元宝、月卡每日160元宝）。[-]\n   [FFFE0D]可装备并修炼第四本门派秘籍。[-]\n   武林盟主：[ff8f06] [url=openwnd:6阶稀有衣服碎片, ItemTips,  "Item", nil, 2126, me.nFaction] [-] [ff8f06] [url=openwnd:同伴·南宫飞云, ItemTips,  "Item", nil, 2253] [-] [aa62fc] [url=openwnd:初级魂石·南宫飞云, StoneTipsPanel, nil, 2880] [-] [aa62fc] [url=openwnd:逐鹿令, ItemTips, "Item", nil, 1395] [-]\n   英雄挑战：[ff8f06] [url=openwnd:6阶稀有腰带碎片, ItemTips,  "Item", nil, 2138, me.nFaction] [-]\n   野外首领：[ff8f06] [url=openwnd:6阶稀有护身符碎片, ItemTips,  "Item", nil, 2114, me.nFaction] [-]\n   历代名将：[ff8f06] [url=openwnd:6阶稀有武器碎片, ItemTips,  "Item", nil, 2090, me.nFaction] [-]\n   组队秘境：[ff8f06] [url=openwnd:6阶稀有帽子碎片, ItemTips,  "Item", nil, 2120, me.nFaction] [-]\n   惩恶任务：[ff8f06] [url=openwnd:6阶稀有护腕碎片, ItemTips,  "Item", nil, 2132, me.nFaction] [-]\n   商会任务：[ff8f06] [url=openwnd:6阶稀有玉佩碎片, ItemTips,  "Item", nil, 2108, me.nFaction] [-]\n   宋金战场：[ff8f06] [url=openwnd:6阶稀有戒指碎片, ItemTips,  "Item", nil, 2102, me.nFaction] [-] [aa62fc] [url=openwnd:6阶传承戒指碎片, ItemTips, "Item", nil, 2105, me.nFaction] [-]\n   通天塔：   [ff8f06] [url=openwnd:6阶稀有鞋子碎片, ItemTips,  "Item", nil, 2144, me.nFaction] [-]\n   武神殿：   [ff8f06] [url=openwnd:6阶稀有项链碎片, ItemTips,  "Item", nil, 2096, me.nFaction] [-] [aa62fc] [url=openwnd:大理石, ItemTips, "Item", nil, 4323] [-]\n   藏宝图：   [aa62fc] [url=openwnd:紫水晶, ItemTips, "Item", nil, 224] [-] [11adf6] [url=openwnd:无暇的神秘矿石, ItemTips, "Item", nil, 215] [-]\n   攻城战：   [aa62fc] [url=openwnd:珍珠, ItemTips, "Item", nil, 4313] [-][aa62fc] [url=openwnd:素软缎, ItemTips, "Item", nil, 4303] [-]\n   黄金宝箱：[aa62fc] [i]6阶传承装备碎片[/i] [-] [11adf6] [i]3级魂石[/i] [-]\n   1元超值礼包：[ff8f06] [i]6阶稀有装备[/i] [-] [aa62fc] [url=openwnd:逐鹿令, ItemTips, "Item", nil, 1395] [-]\n   3元超值礼包：[ff8f06] [i]6阶稀有装备[/i] [-] [aa62fc] [url=openwnd:逐鹿令, ItemTips, "Item", nil, 1395] [-]\n   6元超值礼包：[ff8f06] [i]6阶稀有装备[/i] [-] [aa62fc] [url=openwnd:逐鹿令, ItemTips, "Item", nil, 1395] [-] [11adf6] [url=openwnd:蓝水晶, ItemTips, "Item", nil, 223] [-] [11adf6] [url=openwnd:元气瓶（小）, ItemTips, "Item", nil, 4462] [-]\n   除以上特殊奖励外，其他活动的奖励也将整体提升！备战武林，好奖相迎！	fnOpenServer	OpenLevel79|-3	OpenLevel79|2						
OpenLevel89	10		89级等级上限		[FFFE0D]89级即将开放[-]\n    诸位侠士，江湖即将开放89级等级上限，诸位可做好历练准备，争取早日名动武林。开放89级上限后，武林各大活动将会有更多稀有物品掉落！\n\n[FFFE0D]新增活动奖励[-]\n   [FFFE0D]开放4级家园系统。提升周卡、月卡每日领取额度（周卡每日220元宝、月卡每日170元宝）。[-]\n   武林盟主：[ff8f06] [url=openwnd:7阶稀有衣服碎片, ItemTips,  "Item", nil, 2979, me.nFaction] [-] [ff8f06] [url=openwnd:和氏璧, ItemTips, "Item", nil, 2804] [-] [ff8f06] [url=openwnd:同伴·杨影枫, ItemTips,  "Item",  nil, 2254] [-] [ff8f06] [url=openwnd: 赤金驭天绳碎片, ItemTips,  "Item", nil, 3462] [-] [ff578c] [url=openwnd: 苍虹降龙绳碎片, ItemTips, "Item", nil, 3461] [-] [aa62fc] [url=openwnd:初级魂石·杨影枫, StoneTipsPanel, nil, 2881] [-]\n   英雄挑战：[ff8f06] [url=openwnd:7阶稀有腰带碎片, ItemTips,  "Item", nil, 2991, me.nFaction] [-]\n   80级野外首领：[ff8f06] [url=openwnd:7阶稀有护身符碎片, ItemTips,  "Item", nil, 2967, me.nFaction] [-] [aa62fc] [url=openwnd:逐鹿令, ItemTips, "Item", nil, 1395] [-] [aa62fc] [url=openwnd: 初级魂石·赤睛虎皇(唯一), StoneTipsPanel, nil, 1754] [-] [aa62fc] [url=openwnd: 初级魂石·撼天熊皇(唯一), StoneTipsPanel, nil, 1755] [-] [aa62fc] [url=openwnd: 初级魂石·紫背鳄皇(唯一), StoneTipsPanel, nil, 1756] [-]\n   历代名将：[ff8f06] [url=openwnd:7阶稀有武器碎片, ItemTips,  "Item", nil, 2943, me.nFaction] [-]\n   组队秘境：[ff8f06] [url=openwnd:7阶稀有帽子碎片, ItemTips,  "Item", nil, 2973, me.nFaction] [-]\n   惩恶任务：[ff8f06] [url=openwnd:7阶稀有护腕碎片, ItemTips,  "Item", nil, 2985, me.nFaction] [-]\n   商会任务：[ff8f06] [url=openwnd:7阶稀有玉佩碎片, ItemTips,  "Item", nil, 2961, me.nFaction] [-]\n   宋金战场：[ff8f06] [url=openwnd:7阶稀有戒指碎片, ItemTips,  "Item", nil, 2955, me.nFaction] [-] [ff8f06] [url=openwnd: 赤金驭天蹬碎片, ItemTips,  "Item", nil, 3476, me.nFaction] [-] [ff578c] [url=openwnd: 苍虹降龙蹬碎片, ItemTips,  "Item", nil, 3475] [-] [aa62fc] [url=openwnd:7阶传承戒指碎片, ItemTips, "Item", nil, 2958, me.nFaction] [-]\n   通天塔：   [ff8f06] [url=openwnd:7阶稀有鞋子碎片, ItemTips,  "Item", nil, 2997, me.nFaction] [-]\n   武神殿：   [ff8f06] [url=openwnd:7阶稀有项链碎片, ItemTips,  "Item", nil, 2949, me.nFaction] [-]\n   门派竞技：[aa62fc] [url=openwnd:紫水晶, ItemTips, "Item", nil, 224] [-]\n   白虎堂：   [aa62fc] [url=openwnd:紫水晶, ItemTips, "Item", nil, 224] [-]\n   攻城战：   [ff578c] [url=openwnd:帝皇令, ItemTips, "Item", nil, 1396] [-]\n   山贼秘窟：[11adf6] [url=openwnd:蓝水晶, ItemTips, "Item", nil, 223]  [-]\n   高级藏宝图：[aa62fc] [url=openwnd: 初级魂石·唐仇(唯一), StoneTipsPanel, nil, 3856] [-] [aa62fc] [i]4级魂石[/i] [-] [11adf6] [url=openwnd:武林秘籍（中卷）, ItemTips, "Item", nil, 1431] [-]\n   华山论剑：[ff8f06] [url=openwnd: 赤金驭天蹬碎片, ItemTips,  "Item", nil, 3476] [-] [ff578c] [url=openwnd: 苍虹降龙蹬碎片, ItemTips, "Item", nil, 3475] [-] [aa62fc] [url=openwnd: 紫电凌云蹬碎片, ItemTips, "Item", nil, 3474] [-]\n   黄金宝箱：[aa62fc] [i]7阶传承装备碎片[/i] [-] [aa62fc] [url=openwnd: 紫电凌云绳碎片, ItemTips, "Item", nil, 3460] [-]\n   1元超值礼包：[ff8f06] [i]7阶稀有装备[/i] [-] [aa62fc] [i]4级魂石[/i] [-]\n   3元超值礼包：[ff8f06] [i]7阶稀有装备[/i] [-] [aa62fc] [i]4级魂石[/i] [-]\n   6元超值礼包：[ff8f06] [i]7阶稀有装备[/i] [-] [aa62fc] [i]4级魂石[/i] [-]\n   除以上特殊奖励外，其他活动的奖励也将整体提升！备战武林，好奖相迎！ 	fnOpenServer	OpenLevel89|-3	OpenLevel89|2						
OpenLevel99	10		99级等级上限		[FFFE0D]99级即将开放[-]\n    诸位侠士，江湖即将开放99级等级上限，诸位可做好历练准备，争取早日名动武林。开放99级上限后，武林各大活动将会有更多稀有物品掉落！\n\n[FFFE0D]新增活动奖励[-]\n   [FFFE0D]开放5级家园系统、凌绝峰·地狱难度副本。提升周卡、月卡每日领取额度（周卡每日240元宝、月卡每日180元宝）。[-]\n   武林盟主：[ff8f06] [url=openwnd:8阶稀有衣服碎片, ItemTips,  "Item", nil, 2980, me.nFaction] [-]\n   英雄挑战： [ff8f06] [url=openwnd:8阶稀有腰带碎片, ItemTips,  "Item", nil, 2992, me.nFaction] [-]\n   野外首领：[ff8f06] [url=openwnd:8阶稀有护身符碎片, ItemTips,  "Item", nil, 2968, me.nFaction] [-]\n   历代名将：[ff8f06] [url=openwnd:8阶稀有武器碎片, ItemTips,  "Item", nil, 2944, me.nFaction] [-]\n   组队秘境：[ff8f06] [url=openwnd:8阶稀有帽子碎片, ItemTips,  "Item", nil, 2974, me.nFaction] [-]\n   惩恶任务：[ff8f06] [url=openwnd:8阶稀有护腕碎片, ItemTips,  "Item", nil, 2986, me.nFaction] [-]\n   商会任务：[ff8f06] [url=openwnd:8阶稀有玉佩碎片, ItemTips,  "Item", nil, 2962, me.nFaction] [-]\n   宋金战场：[ff8f06] [url=openwnd:8阶稀有戒指碎片, ItemTips,  "Item", nil, 2956, me.nFaction] [-] [aa62fc] [url=openwnd:8阶传承戒指碎片, ItemTips, "Item", nil, 2959, me.nFaction] [-]\n   通天塔：   [ff8f06] [url=openwnd:8阶稀有鞋子碎片, ItemTips,  "Item", nil, 2998, me.nFaction] [-]\n   武神殿：   [ff8f06] [url=openwnd:8阶稀有项链碎片, ItemTips,  "Item", nil, 2950, me.nFaction] [-] [ff578c] [url=openwnd:雨花石, ItemTips,  "Item", nil, 4324] [-]\n   门派竞技：[11adf6] [i]2级家园材料[/i] [-]\n   心魔幻境：[ff8f06] [url=openwnd:8阶稀有戒指碎片, ItemTips,  "Item", nil, 2956, me.nFaction] [-] [aa62fc] [url=openwnd: 初级魂石·黑面郎君(唯一) , StoneTipsPanel, nil, 3854] [-]\n   藏宝图：   [11adf6] [i]2级家园材料[/i] [-]\n   黄金宝箱：[aa62fc] [i]8阶传承装备碎片[/i] [-] [aa62fc] [i]4级魂石[/i] [-] [11adf6] [i]2级家园材料[/i] [-]\n   1元超值礼包：[ff8f06] [i]8阶稀有装备[/i] [-]\n   3元超值礼包：[ff8f06] [i]8阶稀有装备[/i] [-]\n   6元超值礼包：[ff8f06] [i]8阶稀有装备[/i] [-]\n   除以上特殊奖励外，其他活动的奖励也将整体提升！备战武林，好奖相迎！ 	fnOpenServer	OpenLevel99|-3	OpenLevel99|2						
OpenLevel109	10		109级等级上限		[FFFE0D]109级即将开放[-]\n    诸位侠士，江湖即将开放109级等级上限，诸位可做好历练准备，争取早日名动武林。开放109级上限后，武林各大活动将会有更多稀有物品掉落！\n\n[FFFE0D]新增活动奖励[-]\n   [FFFE0D]开放6级家园系统。提升周卡、月卡每日领取额度（周卡每日260元宝、月卡每日190元宝）。[-]\n   武林盟主：[ff8f06] [url=openwnd:9阶稀有衣服碎片, ItemTips,  "Item", nil, 2981, me.nFaction] [-] [ff578c] [url=openwnd:帝皇令, ItemTips, "Item", nil, 1396] [-]\n   英雄挑战：[ff8f06] [url=openwnd:9阶稀有腰带碎片, ItemTips,  "Item", nil, 2993, me.nFaction] [-]\n   100级野外首领：[ff8f06] [url=openwnd:9阶稀有护身符碎片, ItemTips,  "Item", nil, 2969, me.nFaction] [-] [aa62fc] [url=openwnd: 初级魂石·冰鳞蜥皇(唯一), StoneTipsPanel, nil, 4540] [-] [aa62fc] [url=openwnd: 初级魂石·银钩蝎皇(唯一), StoneTipsPanel, nil, 4541] [-] [aa62fc] [url=openwnd: 初级魂石·狂鬃獒皇(唯一), StoneTipsPanel, nil, 4542] [-]\n   历代名将：[ff8f06] [url=openwnd:9阶稀有武器碎片, ItemTips,  "Item", nil, 2945, me.nFaction] [-]\n   组队秘境：[ff8f06] [url=openwnd:9阶稀有帽子碎片, ItemTips,  "Item", nil, 2975, me.nFaction] [-] [aa62fc] [i]4级魂石[/i] [-]\n   惩恶任务：[ff8f06] [url=openwnd:9阶稀有护腕碎片, ItemTips,  "Item", nil, 2987, me.nFaction] [-]\n   商会任务：[ff8f06] [url=openwnd:9阶稀有玉佩碎片, ItemTips,  "Item", nil, 2963, me.nFaction] [-]\n   宋金战场：[ff8f06] [url=openwnd:9阶稀有戒指碎片, ItemTips,  "Item", nil, 2957, me.nFaction] [-] [aa62fc] [url=openwnd:9阶传承戒指碎片, ItemTips, "Item", nil, 2960, me.nFaction] [-]\n   通天塔：   [ff8f06] [url=openwnd:9阶稀有鞋子碎片, ItemTips,  "Item", nil, 2999, me.nFaction] [-]\n   武神殿：   [ff8f06] [url=openwnd:9阶稀有项链碎片, ItemTips,  "Item", nil, 2951, me.nFaction] [-]\n   心魔幻境：[ff8f06] [url=openwnd:9阶稀有戒指碎片, ItemTips,  "Item", nil, 2957, me.nFaction] [-]\n   白虎堂5层： [ff578c] [url=openwnd: 初级魂石·唐晓(唯一), StoneTipsPanel, nil, 4849] [-]\n   高级藏宝图：[11adf6] [url=openwnd: 武林秘籍（下卷）, ItemTips, "Item", nil, 1432] [-]\n   华山论剑：[11adf6] [url=openwnd: 武林秘籍（下卷）, ItemTips, "Item", nil, 1432] [-]\n   黄金宝箱：[aa62fc] [i]9阶传承装备碎片[/i] [-]\n   1元超值礼包：[ff8f06] [i]9阶稀有装备[/i] [-] [ff578c] [url=openwnd:帝皇令, ItemTips, "Item", nil, 1396] [-]\n   3元超值礼包：[ff8f06] [i]9阶稀有装备[/i] [-] [ff578c] [url=openwnd:帝皇令, ItemTips, "Item", nil, 1396] [-]\n   6元超值礼包：[ff8f06] [i]9阶稀有装备[/i] [-] [ff578c] [url=openwnd:帝皇令, ItemTips, "Item", nil, 1396] [-]\n   除以上特殊奖励外，其他活动的奖励也将整体提升！备战武林，好奖相迎！ 	fnOpenServer	OpenLevel109|-3	OpenLevel109|2						
