Desc	ActEventID	EventType	Frame	EventName	EventParam1	EventParam2	EventParam3	EventParam4	EventParam5	EventParamStr
CastSkill通用0帧	1	1		CastSkill						
CastSkill通用0帧	1	1		PlayEffect						
CastSkill通用1帧	6001	2	1	CastSkill						
CastSkill通用1帧	6001	2	1	PlayEffect						
CastSkill通用2帧	6002	2	2	CastSkill						
CastSkill通用2帧	6002	2	2	PlayEffect						
CastSkill通用3帧	6003	2	3	CastSkill						
CastSkill通用3帧	6003	2	3	PlayEffect						
CastSkill通用4帧	6004	2	4	CastSkill						
CastSkill通用4帧	6004	2	4	PlayEffect						
CastSkill通用5帧	6005	2	5	CastSkill						
CastSkill通用5帧	6005	2	5	PlayEffect						
CastSkill通用6帧	6006	2	6	CastSkill						
CastSkill通用6帧	6006	2	6	PlayEffect						
CastSkill通用7帧	6007	2	7	CastSkill						
CastSkill通用7帧	6007	2	7	PlayEffect						
CastSkill通用8帧	6008	2	8	CastSkill						
CastSkill通用8帧	6008	2	8	PlayEffect						
CastSkill通用9帧	6009	2	9	CastSkill						
CastSkill通用9帧	6009	2	9	PlayEffect						
CastSkill通用10帧	6010	2	10	CastSkill						
CastSkill通用10帧	6010	2	10	PlayEffect						
通用动作融合	1000	3		CrossFade	1					
特殊死亡_击飞_近	80001	1		CrossFade	1					
特殊死亡_击飞_近	80001	1		ChangeAct	20	18				
特殊死亡_击飞_近	80001	1		MoveBack	150	40				
特殊死亡_击飞_远	80002	1		CrossFade	1					
特殊死亡_击飞_远	80002	1		ChangeAct	20	18				
特殊死亡_击飞_远	80002	1		MoveBack	350	50				
特殊死亡_冰冻	80003	1		PlayEffect	9001					
特殊死亡_冰冻	80003	1		UseLastAct	1					
特殊死亡_冰冻	80003	3		PlaySceneEffect	9003					
特殊死亡_冰冻	80003	3		UseLastAct	0					
特殊死亡_冰冻	80003	3		ClearEffect	9001					
光墙消失	80004	1		PlayEffect	9020					
光墙消失	80004	1		BodyVisable						
Npc出场（通用站立）	900000	1		ChangeAct	1	4				
Npc出场（通用站立）	900000	1		Protected	1					
Npc出场（通用站立）	900000	1		HeadUIVisable	0					
Npc出场（通用站立）	900000	3		Protected	0					
Npc出场（通用站立）	900000	3		HeadUIVisable	1					
Npc出场（通用飞入）	900001	1		ChangeAct	6					
Npc出场（通用飞入）	900001	1		CrossFade	1					
Npc出场（通用飞入）	900001	1		Protected	1					
Npc出场（通用飞入）	900001	1		HeadUIVisable	0					
Npc出场（通用飞入）	900001	3		Protected	0					
Npc出场（通用飞入）	900001	3		HeadUIVisable	1					
Npc出场（通用飞入）	900001	3		CrossFade	1					
Npc出场（通用出水）	900004	1		ChangeAct	6					
Npc出场（通用出水）	900004	1		CrossFade	1					
Npc出场（通用出水）	900004	1		Protected	1					
Npc出场（通用出水）	900004	1		HeadUIVisable	0					
Npc出场（通用出水）	900004	1		PlayEffect	9021					
Npc出场（通用出水）	900004	3		Protected	0					
Npc出场（通用出水）	900004	3		HeadUIVisable	1					
Npc出场（通用出水）	900004	3		CrossFade	1					
Npc出场（龙战天）	900002	1		ChangeAct	6					
Npc出场（龙战天）	900002	1		CrossFade	1					
Npc出场（龙战天）	900002	1		Protected	1					
Npc出场（龙战天）	900002	1		HeadUIVisable	0					
Npc出场（龙战天）	900002	2	4	Protected	0					
Npc出场（龙战天）	900002	2	5	PlayShake	150	100	1	1	1	
Npc出场（龙战天）	900002	2	5	PlayEffect	9015					
Npc出场（龙战天）	900002	2	5	CastSkill	1515	1				
Npc出场（龙战天）	900002	3		HeadUIVisable	1					
Npc出场（龙战天）	900002	3		CrossFade	1					
Npc出场（七煞使）	900003	1		ChangeAct	6					
Npc出场（七煞使）	900003	1		CrossFade	1					
