AwardType	AwardValue1	AwardValue2	AwardValue3	RandRate	WorldNotify	Name
item	212	1		520000		白水晶
item	222	1		50000		绿水晶
Coin	10			8500		银两10
Coin	20			8500		银两20
Coin	30			8500		银两30
Coin	40			8500		银两40
Coin	50			8500		银两50
Coin	60			8500		银两60
Coin	70			8500		银两70
Coin	80			8500		银两80
Coin	90			8500		银两90
Coin	100			8500		银两100
Coin	110			8500		银两110
Coin	120			8500		银两120
Coin	130			8500		银两130
Coin	140			8500		银两140
Coin	150			8500		银两150
Coin	160			8500		银两160
Coin	170			8500		银两170
Coin	180			8500		银两180
Coin	190			8500		银两190
Coin	200			8500		银两200
Coin	210			8500		银两210
Coin	220			8500		银两220
Coin	230			8500		银两230
Coin	240			8500		银两240
