FaceId	Atlas	Sprite	Desc
1	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_076	紫衣妹子
2	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_064	丝巾妹子
3	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_005b	白衣女子
4	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_027	赵无双
5	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_018	月明瑶
6	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_007	无想
7	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_nil_002	白发杨瑛
8	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_002	李恬儿
9	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_092	蓝色桃花
10	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_boss111	秦沐白
11	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_nil_003	家族管理员
12	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_npc_002	曲霞
13	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_077	纳兰真
14	UI/Atlas/Head/Partner/Partner_Others.prefab	Head_pet_008	峨嵋大师姐
15	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_005a	何暮雪
16	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_pet_001	黄暮云
17	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_041	杨瑛
18	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_003	蔷薇
19	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_033	苏墨芸
20	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_031	紫轩
21	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_058	秋依水
22	UI/Atlas/Head/Partner/Partner_Female_01.prefab	Head_npc_102	月眉儿
23	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead23	新峨嵋
24	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead24	新翠烟
25	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead25	新昆仑
26	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead26	新桃花
27	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead27	新天忍
28	UI/Atlas/Head/Partner/Partner_Female_02.prefab	FemaleHead28	颖宝宝
29	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_npc_210	颖宝宝-天山
30	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_npc_211	公测头像-女
31	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_npc_213	颖宝宝明星头像
32	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_Act_FeMale_1	元宵节头像-女
33	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_Act_FeMale_2	妇女节头像-女
34	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_Act_FeMale_3	好声音娓娓动听
35	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_Act_FeMale_4	好声音本服十强
36	UI/Atlas/Head/Partner/Partner_Female_02.prefab	Head_Act_FeMale_5	好声音复赛前三
37	UI/Atlas/Head/Partner/Partner_Female_03.prefab	Head_Act_FeMale_6	好声音全服十强
38	UI/Atlas/Head/Partner/Partner_Female_03.prefab	Head_Act_FeMale_7	好声音全服冠军
39	UI/Atlas/Head/Partner/Partner_Female_03.prefab	FemaleHead29	越土之魂萝莉
