Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	DefaultDialog	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	SyncFirst	IsNotBYStealLife	Sex
Fb_Protect_1	71	白衣女子	0	0	FubenDeath		105	3	103			205	57	1					560	980	Setting/Npc/Ai/CommonActive2.ini			1	20																			
Fb_Protect_2	72	红缨侍	0	1	FubenDeath		108					201	21	1					560	980	Setting/Npc/Ai/CommonActive.ini			1	15	1					900000													
chuansong	73	传送门	4	0			8					1							560	980				1	15																			
chuansong_X	3677	传送门	4	0			3677					1							560	980				1	15																			
chuansong_X1	3683	传送门	4	0			3683					1							560	980				1	15																			
Changjing_hehua	232	荷花	5	0			355					1																																
qinggong	74	上升气流	4	0			361					1							560	980				1	15																	1		
Task_xs_1	75	纳兰真	2	1			177	13	113	这是默认对话		1							560	980				1	17	1																		
Task_xs_2	76	纳兰潜凛	2	1			21	210	310			1							560	980				1	17	1																		
Test_muzhuang	81	木桩-稳如泰山	0	1			11					100							560	980				1	15	1	1																	
Test_muzhuang_1	244	木桩	0	1			11					100							560	980				1	15	1																		
Test13	82	被动怪	0	1	FubenDeath		11					1	21	1					560	980	Setting/Npc/Ai/CommonPassive.ini			1	15	1																		
Test14	83	主动怪	0	1	FubenDeath		11					1	38	1					560	980	Setting/Npc/Ai/ComboTest.ini			1	15	1																		
Test_combo	84	测试AI连招	0	1			1				10	2	201	1	202	1	203	1	560	980	Setting/Npc/Ai/CommonActive.ini			1	15	1																		
test_damo	3745	达摩	0	1			1267					611	166	1	200	1			600	600	Setting/Npc/Ai/CommonPassive.ini	1	Setting/Npc/DropFile/yewai/yewai_100.tab	1	18	1							1			16								
Test_pt1	85	不是我的伙伴	3	1			11												560	980	Setting/Npc/Ai/partner/FellowCommon.ini			1	15	1																		
Test_pt2	86	不是你的伙伴	3	1			13						201	1					560	980	Setting/Npc/Ai/partner/FellowCommon.ini			1	17	1																		
Test_pt3	87	不是他的伙伴	3	1			103						501	1					560	980	Setting/Npc/Ai/partner/FellowCommon.ini			1	17	1																		
City_touxian	88	独孤剑	2	1	ZhenFaTaskNpc		32	210	310	一人之力，终究难以回天！早些团结周围的力量，组成联盟，方能长盛不衰！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	17	1																		
City_jingjichang	89	南宫飞云	2	1			5027	207	307			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_huodongjieyin	90	活动接引人	2	1	ActivityNpc		177	13	113			1	35	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_lingtuzhan	91	刘云	2	1			107	213	313			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_shiliangu	92	张风	2	1			1119	15	115			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	17	1																		
City_jiazu	93	家族管理员	2	1			11	226	326			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_qianghua	94	强化	2	1			139	203	303			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_shanghui	95	小紫烟	2	1			191	802	802	这位客官好俊呐，可打算与心仪之人登上小楼听雨舫？若未获得船票，可从我这儿直接购买哦！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_chiyoumu	96	蚩尤墓	2	1			115	214	314			1	22	1							Setting/Npc/Ai/CommonActive.ini			0	18	1																		
City_butou	97	月眉儿	2	1			1102	22	122	哼！敢跟我们飞龙堡作对！看来这些小贼是活得太轻松了！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_jiayuan	98	卫兵	2	1			150	11	111	誓守临安，以死卫城！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	17	1																		
City_jiulou	99	公孙惜花	2	1	ActivityQuestion		189	5	105	听闻从前有个「百晓生」什么都知道，今后我这「隐香楼」的老板娘便要超过他！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_tiejiang	100	孟知秋	2	1			156	203	303	手中无剑，心中有剑，人即是剑，无坚不摧！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc1	620	唐影	2	1			119	201	301	也许吧……不知何时，才能找到那个懂我的人……		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc2	621	张琳心	2	1			1100	996	997			1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc3	622	紫轩	2	1			131	20	120	我是选美大会的司仪，负责大会的报名和投票事宜。		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc4	623	殷方	2	1			125	208	308	（偷偷摸摸）那个拿着折扇的青年看上去武功很高！就决定是他了！		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc5	624	杨影枫	2	1			1101	225	325	「武道德经」……么？若是能将此物拿到手，兴许爹爹的愿望就能完成了……		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc6	625	张如梦	2	1			193	214	314	时光不可追溯，只可一路向前……		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc7	626	玄天道人	2	1			5016	211	311	道可道，非常道，名可名，非恒名。		1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc8	627	家族总管	2	1			107	19	119			1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc9	629	纳兰潜凛	2	1	SwornFriendsNpc1		187	212	312	人在江湖，身不由己。		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc10	630	陆文龙	2	1			144	205	305			1	56	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc11	631	燕若雪	2	1	LoverNpc		1129	727	727			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc12	632	蔷薇	2	1			103	18	118	爹爹真是老糊涂了！卓非凡那家伙有什么好的？哼！		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc13	633	杨瑛	2	1			141	17	117			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc14	693	腾云	4	1			426	999				1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc15	694	秋依水	2	1			158	218	318	「武道德经」出世，只怕武林又要掀起一场腥风血雨……		1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc16	699	驾雾	4	1			427	999				1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc17	1350	柴嵩	2	1			132	999				1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
City_npc18	2752	龙五	2	1			658	999				1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
TianWang_Master	1527	杨瑛	2	1			141	17	117			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
XiaoYao_Master	1528	祝子虚	2	1			214	216	316			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
Emei_Master	1529	清晓师太	2	1			185	2	102			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
TaoHua_Master	1530	黄暮云	2	1	CardPickHelper		209	16	116			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
TianRen_Master	1531	道一真人	2	1			1116	999	999			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
WuDang_Master	1532	端木睿	2	1			1122	999	999			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
ShaoLin_Master	2659	玄因	2	1			1132	999	999			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
CuiYan_Master	2660	秋依水	2	1			1153	999	999			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
TangMen_Master	2661	唐仇	2	1			1175	999	999			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
KunLun_Master	2662	璇玑子	2	1			1150	999	999			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
GaiBang_Master	2663	石轩辕	2	1			1168	999	999			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
WuDu_Master	2664	黑面郎君	2	1			1167	999	999			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
CangJian_Master	2665	叶无心	2	1			1217	999	999			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
ChangGe_Master	2666	萧玉竹	2	1			1219	999	999			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
TianShan_Master	2667	天音	2	1			1231	999	999			1	21	1							Setting/Npc/Ai/CommonActive.ini			0	15	1																		
