Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	AuraSkillId	AuraSkillLevel	StartActEvent	TitleID	BigFaceID	Tag	DropType	DefaultDialog	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	IsNotShowShadow	FixExperience	SyncFirst	IsNotBYStealLife	Sex
JZ_A_1_enemy_1	3467	蒙面刺客	0	1	FubenDeath		174	200		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1								1	
JZ_A_1_enemy_2	3468	泼皮	0	1	FubenDeath		173	200		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1								1	
JZ_A_1_enemy_3	3469	刺客	0	1	FubenDeath		124	200		314	40	1	91	1			550	850	Setting/Npc/Ai/RangeActive.ini			1	18	1											1								1	
JZ_A_1_enemy_fanshegh	3470	旗帜	0	1	FubenDeath		466	200		345	22	1	91	1	2398	1						1	18	2	1				3004		NoTurn				3								1	
JZ_A_1_npc_1	3471	紫轩	0	0	FubenDeath		131	200		331	40	1	52	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	20	1											4								1	
JZ_A_2_enemy_1	3472	疯和尚	0	1	FubenDeath		163	200		314	1874	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1								1	
JZ_A_2_enemy_2	3473	降头术士	0	1	FubenDeath		137	200		314	40	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss22.ini			1	18	1											3								1	
JZ_A_2_Leader_1	3474	无相	0	1	FubenDeath		451	200		331	2925	1	2439	1	91	1	1500	1500	Setting/Npc/Ai/random/wuxiang.ini	3		1	20	2								1			5								1	
JZ_A_2_npc_1	3475	陆文龙	0	1	FubenDeath		617	200		332	2924	1	2486	1	91	1	1000	1000	Setting/Npc/Ai/CommonSkill.ini	3		1	18	2								1			4								1	
JZ_A_3_enemy_1	3476	猛虎	0	1	FubenDeath		114	200		313	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1								1	
JZ_A_3_enemy_2	3477	猛虎·精英	0	1	FubenDeath		114	200		322	22	1	2443	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2		1535	1		3000						3								1	
JZ_A_3_enemy_3	3478	火狐	0	1	FubenDeath		110	200		312	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	20	1											1								1	
JZ_A_3_enemy_gongjigh	3479	火狐·精英	0	1	FubenDeath		110	200		314	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	20	2		1503	4		3002						3								1	
JZ_A_3_enemy_huifugh	3480	蝎子	0	1	FubenDeath		109	200		312	22	1	91	1	2418	3	1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1					3003						1								1	
JZ_A_3_enemy_shibao	3481	蝎子·精英	0	1	FubenDeath		109	200		321	22	1	2418	3	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2					3003						3								1	
JZ_A_3_npc_1	3482	赵无双	0	0	FubenDeath		127	200		323	39	1	44	1			1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	1											4								1	
JZ_A_3_npc_gouhuo	3483	篝火	6	0	FubenDeath		380	200															0																				1	
JZ_A_4_Elite_1	3484	无忧教头目	0	1	FubenDeath		365	200		332	1811	3	91	1			15000	15000	Setting/Npc/Ai/fuben/Boss18.ini			1	18	2											5								1	
JZ_A_4_enemy_1	3485	飞龙堡叛徒	0	1	FubenDeath		174	200		314	21	1	91	1			15000	15000	Setting/Npc/Ai/CommonActive.ini			1	11	1											1								1	
JZ_A_4_enemy_2	3486	无忧教精英	0	1	FubenDeath		124	200		323	21	1	2383	1	91	1	15000	15000	Setting/Npc/Ai/CommonSkill.ini			1	11	2											3								1	
JZ_A_4_Xiyou_1	3487	何暮雪	0	0	FubenDeath		105	200		331	55	1	2391	1	43	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2								1	
JZ_A_5_Elite_1	3488	刺客头目	0	1	FubenDeath		365	200		332	1811	1	91	1			1500	1500	Setting/Npc/Ai/fuben/Boss18.ini			1	18	2											5								1	
JZ_A_5_enemy_1	3489	蒙面刺客	0	1	FubenDeath		174	200		314	21	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1											1								1	
JZ_A_5_enemy_2	3490	刺客精英	0	1	FubenDeath		124	200		323	21	1	2383	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	18	2											3								1	
JZ_A_5_npc_1	3491	纳兰真	0	0	FubenDeath		616	200		341	39	1	2391	1	2382	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini			1	30	1											2								1	
JZ_A_6_enemy_1	3492	金兵	0	1	FubenDeath		180	200		355	21	1	91	1			800	800	Setting/Npc/Ai/CommonActive.ini			1	20	1										20	1								1	
JZ_A_6_enemy_2	3493	十夫长	0	1	FubenDeath		181	200		356	167	1	2360	1	91	1	800	800	Setting/Npc/Ai/CommonSkill.ini			1	20	1										20	3								1	
JZ_A_6_enemy_3	3494	放技能	6	1	FubenDeath		469	200		341							1000	1000	Setting/Npc/Ai/random/D2_Yunshi.ini			1	0	1											1					1			1	
JZ_A_6_huopao	3495	炮车	0	1	FubenDeath		378	200		355	91	1					1000	1000	Setting/Npc/Ai/random/D2_Yunshi.ini			1	0	1							NoTurn				1								1	
JZ_A_6_jiutan	3496	酒坛	0	1	FubenDeath		468	200		345												1	0	1	1						NoTurn				1								1	
JZ_A_6_Leader_1	3497	邵骑风	0	1	FubenDeath		460	200		331	2929	1	2382	1	91	1	1500	1500	Setting/Npc/Ai/CommonSkill.ini	4		1	18	2								1			5								1	
