Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	AuraSkillId	AuraSkillLevel	ForbitMove	StartActEvent	TitleID	DropType	Tag	DefaultDialog	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	WalkSpeed	IsNotShowShadow	FixExperience	IsNotBYStealLife	SyncFirst	Sex
Guest_SSS_1	2978	蚩尤	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_SSS_2	2979	后羿	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_SSS_3	2980	苏妲己	0	0	PartnerCardHouseNpc		5131	802	997									3000					2	10	3														10					
Guest_SSS_4	2981	鬼谷子	0	0	PartnerCardHouseNpc		6171	666	999									3000					2	10	3														10					
Guest_SSS_5	2982	项羽	0	0	PartnerCardHouseNpc		6173	665	999									3000					2	10	3														10					
Guest_SSS_6	2983	秦始皇	0	0	PartnerCardHouseNpc		6136	660	999									3000					2	10	3														10					
Guest_SSS_7	2984	武则天	0	0	PartnerCardHouseNpc		6205	722	999									3000					2	10	3														10					
Guest_SSS_8	2985	吕洞宾	0	0	PartnerCardHouseNpc		1	801	999									3000					2	10	3														10					
Guest_SSS_9	2986	张三丰	0	0	PartnerCardHouseNpc		6172	801	999									3000					2	10	3														10					
Guest_SSS_10	2987	西施	0	0	PartnerCardHouseNpc		5103	802	997									3000					2	10	3														10					
Guest_SSS_11	2988	完颜洪烈	0	0	PartnerCardHouseNpc		5031	653	999									3000					2	10	3														10					
Guest_SS_1	2989	独孤剑	0	0	PartnerCardHouseNpc		5032	654	304									3000					2	10	3														10					
Guest_SS_1_show	3365	独孤剑	0	0			5032	654	304									3000					2	10	3							NoTurn							10					
Guest_SS_2	2990	南宫飞云	0	0	PartnerCardHouseNpc		5027	610	307									3000					2	10	3														10					
Guest_SS_2_show	3366	南宫飞云	0	0			5027	610	307									3000					2	10	3							NoTurn							10					
