AniName	AniPath	TimeFrame
stpf	Player/Doodads/Cloak/Cloak01/F1/F1_D/stpf.anim	30
stpf01	Player/Doodads/Cloak/Cloak01/F1/F1_D/stpf01.anim	50
brun	Player/Doodads/Cloak/Cloak01/F1/F1_D/brun.anim	0
bst	Player/Doodads/Cloak/Cloak01/F1/F1_D/bst.anim	30
crun	Player/Doodads/Cloak/Cloak01/F1/F1_D/crun.anim	0
cst	Player/Doodads/Cloak/Cloak01/F1/F1_D/cst.anim	30
erun	Player/Doodads/Cloak/Cloak01/F1/F1_D/erun.anim	0
est	Player/Doodads/Cloak/Cloak01/F1/F1_D/est.anim	30
hrun	Player/Doodads/Cloak/Cloak01/F1/F1_D/hrun.anim	0
hst	Player/Doodads/Cloak/Cloak01/F1/F1_D/hst.anim	30
wrun	Player/Doodads/Cloak/Cloak01/F1/F1_D/wrun.anim	0
wst	Player/Doodads/Cloak/Cloak01/F1/F1_D/wst.anim	24
zstpf	Player/Doodads/Cloak/Cloak01/F1/F1_D/zstpf.anim	30
zxpf	Player/Doodads/Cloak/Cloak01/F1/F1_D/zxpf.anim	15
arun	Player/Doodads/Cloak/Cloak01/F1/F1_D/arun.anim	0
ast	Player/Doodads/Cloak/Cloak01/F1/F1_D/ast.anim	30
crrun	Player/Doodads/Cloak/Cloak01/F1/F1_D/crrun.anim	0
crst	Player/Doodads/Cloak/Cloak01/F1/F1_D/crst.anim	30
