AniName	AniPath	TimeFrame
st	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/st.anim	30
sta	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/sta.anim	20
at01	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/at01.anim	11
at02	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/at02.anim	12
at03	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/at03.anim	10
at04	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/at04.anim	12
bat	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/bat.anim	6
bq01	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/bq01.anim	51
bq02	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/bq02.anim	52
bq03	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/bq03.anim	42
bq04	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/bq04.anim	13
bq05	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/bq05.anim	40
bq06	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/bq06.anim	43
bq08	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/bq08.anim	20
die	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/die.anim	20
jf	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/jf.anim	35
jfd	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/jfd.anim	18
jn01	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/jn01.anim	10
jn02	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/jn02.anim	18
jn03	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/jn03.anim	15
jn04	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/jn04.anim	15
jn05	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/jn05.anim	40
jsrun	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/jsrun.anim	9
jt	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/jt.anim	15
qg	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/qg.anim	25
qg01	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/qg01.anim	18
qg02	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/qg02.anim	7
run	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/run.anim	12
sit	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/sit.anim	30
st01	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/st01.anim	54
bq07	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/bq07.anim	117
stpf	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/stpf.anim	30
stpf01	Player/Characters/F1/Characteristic/F1_GB_Body/F1_GB001_Body/stpf01.anim	50
