AniName	AniPath	TimeFrame
at01	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/at01.anim	8
at02	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/at02.anim	9
at03	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/at03.anim	10
at04	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/at04.anim	15
bat	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/bat.anim	6
bq01	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/bq01.anim	45
bq02	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/bq02.anim	57
bq03	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/bq03.anim	47
bq04	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/bq04.anim	15
bq05	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/bq05.anim	36
bq06	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/bq06.anim	42
bq07	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/bq07.anim	82
bq08	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/bq08.anim	20
die	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/die.anim	20
jf	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/jf.anim	35
jfd	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/jfd.anim	17
jn01	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/jn01.anim	5
jn02	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/jn02.anim	9
jn03	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/jn03.anim	12
jn04	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/jn04.anim	15
jn05	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/jn05.anim	36
jsrun	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/jsrun.anim	9
jt	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/jt.anim	13
qg	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/qg.anim	25
qg01	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/qg01.anim	18
qg02	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/qg02.anim	7
run	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/run.anim	12
sit	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/sit.anim	30
st	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/st.anim	30
st01	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/st01.anim	55
sta	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/sta.anim	20
stpf	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/stpf.anim	30
stpf01	Player/Characters/F2/Characteristic/F2_KL_Body/F2_KL001_Body/stpf01.anim	65
