AniName	AniPath	TimeFrame
at01	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/at01.anim	10
at02	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/at02.anim	10
at03	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/at03.anim	12
at04	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/at04.anim	11
bat	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/bat.anim	9
bq01	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/bq01.anim	47
bq02	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/bq02.anim	57
bq03	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/bq03.anim	43
bq04	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/bq04.anim	15
bq05	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/bq05.anim	60
bq06	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/bq06.anim	60
bq07	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/bq07.anim	105
bq08	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/bq08.anim	20
die	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/die.anim	22
jf	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/jf.anim	35
jfd	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/jfd.anim	21
jn01	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/jn01.anim	12
jn02	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/jn02.anim	14
jn03	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/jn03.anim	15
jn04	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/jn04.anim	15
jn05	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/jn05.anim	30
jsrun	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/jsrun.anim	9
jt	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/jt.anim	12
qg	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/qg.anim	25
qg01	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/qg01.anim	18
qg02	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/qg02.anim	7
run	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/run.anim	12
sit	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/sit.anim	30
st	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/st.anim	30
st01	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/st01.anim	51
sta	Player/Characters/F2/Characteristic/F2_TR_Head/F2_TR001_Head/sta.anim	20
