AniName	AniPath	TimeFrame
at01	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/at01.anim	10
at02	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/at02.anim	10
at03	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/at03.anim	15
at04	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/at04.anim	15
bat	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/bat.anim	6
bq01	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/bq01.anim	40
bq02	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/bq02.anim	54
bq03	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/bq03.anim	42
bq04	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/bq04.anim	16
bq05	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/bq05.anim	50
bq06	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/bq06.anim	49
bq07	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/bq07.anim	104
bq08	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/bq08.anim	20
die	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/die.anim	20
jf	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/jf.anim	35
jfd	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/jfd.anim	15
jsrun	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/jsrun.anim	9
jt	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/jt.anim	12
qg	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/qg.anim	25
qg01	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/qg01.anim	18
qg02	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/qg02.anim	6
run	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/run.anim	12
sit	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/sit.anim	30
st	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/st.anim	30
sta	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/sta.anim	20
jn01	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/jn01.anim	15
jn02	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/jn02.anim	15
jn03	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/jn03.anim	15
jn04	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/jn04.anim	20
jn05	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/jn05.anim	40
st01	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/st01.anim	55
stpf	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/stpf.anim	30
stpf01	Player/Characters/F2/Characteristic/F2_TS_Body/F2_TS001_Body/stpf01.anim	65
