AniName	AniPath	TimeFrame
at01	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/at01.anim	10
at02	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/at02.anim	10
at03	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/at03.anim	15
at04	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/at04.anim	15
bat	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/bat.anim	6
bq01	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/bq01.anim	40
bq02	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/bq02.anim	54
bq03	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/bq03.anim	42
bq04	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/bq04.anim	16
bq05	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/bq05.anim	50
bq06	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/bq06.anim	49
bq07	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/bq07.anim	104
bq08	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/bq08.anim	20
die	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/die.anim	20
jn01	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/jn01.anim	15
jn02	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/jn02.anim	15
jn03	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/jn03.anim	15
jn04	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/jn04.anim	20
jn05	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/jn05.anim	40
jf	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/jf.anim	35
jfd	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/jfd.anim	15
jsrun	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/jsrun.anim	9
qg	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/qg.anim	25
qg01	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/qg01.anim	18
qg02	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/qg02.anim	6
run	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/run.anim	12
sit	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/sit.anim	30
st	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/st.anim	30
sta	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/sta.anim	20
jt	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/jt.anim	12
st01	Player/Characters/F2/Characteristic/F2_TS_Head/F2_TS001_Head/st01.anim	55
