AniName	AniPath	TimeFrame
st	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/st.anim	30
run	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/run.anim	12
run_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/run_g.anim	12
sta_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/sta_g.anim	20
bat	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/bat.anim	6
bq01	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/bq01.anim	37
bq02	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/bq02.anim	61
bq03	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/bq03.anim	33
bq04	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/bq04.anim	19
bq05	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/bq05.anim	38
bq06	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/bq06.anim	50
bq08	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/bq08.anim	20
die	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/die.anim	20
jf	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jf.anim	35
jfd	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jfd.anim	16
jsrun	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jsrun.anim	9
jt	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jt.anim	15
qg	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/qg.anim	25
qg01	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/qg01.anim	18
qg02	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/qg02.anim	7
sit	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/sit.anim	30
st01	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/st01.anim	49
sta	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/sta.anim	20
stpf01	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/stpf01.anim	65
stpf	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/stpf.anim	30
bat_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/bat_g.anim	6
jfd_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jfd_g.anim	17
jf_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jf_g.anim	39
jsrun_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jsrun_g.anim	9
jt_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jt_g.anim	15
qg01_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/qg01_g.anim	18
qg02_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/qg02_g.anim	7
qg_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/qg_g.anim	25
at01_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/at01_g.anim	10
at02_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/at02_g.anim	11
at03_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/at03_g.anim	11
at04_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/at04_g.anim	17
jn01_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jn01_g.anim	20
jn02_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jn02_g.anim	16
jn03_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jn03_g.anim	16
jn04_g	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jn04_g.anim	6
jn01	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jn01.anim	17
jn02	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jn02.anim	13
jn03	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jn03.anim	13
jn04	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jn04.anim	7
at01	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/at01.anim	11
at02	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/at02.anim	14
at03	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/at03.anim	15
at04	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/at04.anim	12
jn05	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/jn05.anim	34
bq07	Player/Characters/F2/Characteristic/F2_YM_Body/F2_YM001_Body/bq07.anim	111
