AniName	AniPath	TimeFrame
at01	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/at01.anim	9
at02	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/at02.anim	8
at03	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/at03.anim	10
at04	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/at04.anim	15
bat	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/bat.anim	6
bq01	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/bq01.anim	32
bq02	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/bq02.anim	47
bq03	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/bq03.anim	21
bq04	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/bq04.anim	15
bq05	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/bq05.anim	45
bq06	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/bq06.anim	40
bq07	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/bq07.anim	90
bq08	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/bq08.anim	20
die	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/die.anim	20
jf	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/jf.anim	35
jfd	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/jfd.anim	17
jn01	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/jn01.anim	13
jn02	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/jn02.anim	17
jn03	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/jn03.anim	12
jn04	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/jn04.anim	17
jn05	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/jn05.anim	63
jsrun	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/jsrun.anim	9
jt	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/jt.anim	13
qg	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/qg.anim	25
qg01	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/qg01.anim	19
qg02	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/qg02.anim	5
run	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/run.anim	12
sit	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/sit.anim	30
st	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/st.anim	30
st01	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/st01.anim	45
sta	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/sta.anim	20
stpf01	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/stpf01.anim	57
stpf	Player/Characters/M1/Characteristic/M1_CJ_Body/M1_CJ001_Body/stpf.anim	30
