AniName	AniPath	TimeFrame
st	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/st.anim	30
run	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/run.anim	12
jn01	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/jn01.anim	12
jn02	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/jn02.anim	8
jn03	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/jn03.anim	13
jn04	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/jn04.anim	16
at01	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/at01.anim	13
at02	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/at02.anim	10
at03	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/at03.anim	13
at04	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/at04.anim	10
sta	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/sta.anim	20
jn05	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/jn05.anim	47
st01	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/st01.anim	45
bat	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/bat.anim	9
bq01	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/bq01.anim	33
bq02	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/bq02.anim	42
bq03	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/bq03.anim	45
bq04	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/bq04.anim	15
bq05	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/bq05.anim	46
bq06	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/bq06.anim	52
bq07	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/bq07.anim	97
bq08	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/bq08.anim	20
die	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/die.anim	20
jf	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/jf.anim	30
jfd	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/jfd.anim	18
jsrun	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/jsrun.anim	9
jt	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/jt.anim	15
qg	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/qg.anim	25
qg01	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/qg01.anim	18
qg02	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/qg02.anim	7
sit	Player/Characters/M1/Characteristic/M1_HS_Head/M1_HS001_Head/sit.anim	30
