AniName	AniPath	TimeFrame
bat	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/bat.anim	6
bq01	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/bq01.anim	32
bq02	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/bq02.anim	44
bq03	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/bq03.anim	41
bq04	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/bq04.anim	15
bq05	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/bq05.anim	38
bq06	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/bq06.anim	43
bq07	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/bq07.anim	52
bq08	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/bq08.anim	20
die	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/die.anim	20
jf	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/jf.anim	30
jfd	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/jfd.anim	16
jsrun	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/jsrun.anim	9
jt	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/jt.anim	13
qg	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/qg.anim	25
qg01	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/qg01.anim	20
qg02	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/qg02.anim	5
run	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/run.anim	12
sit	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/sit.anim	30
st	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/st.anim	30
st01	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/st01.anim	57
sta	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/sta.anim	20
at01	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/at01.anim	10
at02	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/at02.anim	10
at03	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/at03.anim	15
at04	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/at04.anim	15
jn01	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/jn01.anim	15
jn02	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/jn02.anim	15
jn03	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/jn03.anim	15
jn04	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/jn04.anim	20
jn05	Player/Characters/M1/Characteristic/M1_TS_Head/M1_TS001_Head/jn05.anim	40
