AniName	AniPath	TimeFrame
run	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/run.anim	12
st	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/st.anim	30
at01	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/at01.anim	12
at02	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/at02.anim	12
at03	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/at03.anim	15
at04	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/at04.anim	15
bat	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/bat.anim	6
bq01	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/bq01.anim	50
bq02	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/bq02.anim	45
bq03	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/bq03.anim	48
bq04	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/bq04.anim	15
bq05	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/bq05.anim	35
bq06	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/bq06.anim	57
bq07	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/bq07.anim	83
bq08	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/bq08.anim	20
die	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/die.anim	19
jf	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/jf.anim	35
jfd	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/jfd.anim	21
jn01	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/jn01.anim	22
jn02	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/jn02.anim	5
jn02a	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/jn02a.anim	6
jn02b	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/jn02b.anim	7
jn03	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/jn03.anim	7
jn04	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/jn04.anim	27
jn05	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/jn05.anim	30
jsrun	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/jsrun.anim	9
jt	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/jt.anim	13
qg	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/qg.anim	25
qg01	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/qg01.anim	18
qg02	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/qg02.anim	5
sit	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/sit.anim	30
st01	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/st01.anim	57
sta	Player/Characters/M1/Characteristic/M1_XY_Head/M1_XY001_Head/sta.anim	20
