AniName	AniPath	TimeFrame
f1baost	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f1baost.anim	30
f1baowlk	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f1baowlk.anim	16
f1bbaost	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f1bbaost.anim	30
f1bbaowlk	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f1bbaowlk.anim	16
f1bqst	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f1bqst.anim	30
f1bqwlk	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f1bqwlk.anim	16
f1hrun	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f1hrun.anim	10
f1hst	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f1hst.anim	30
f1qst	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f1qst.anim	30
f1qwlk	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f1qwlk.anim	16
f1yb	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f1yb.anim	10
f1ybst	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f1ybst.anim	30
f2baost	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f2baost.anim	30
f2baowlk	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f2baowlk.anim	16
f2bbaost	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f2bbaost.anim	30
f2bbaowlk	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f2bbaowlk.anim	16
f2bqst	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f2bqst.anim	30
f2bqwlk	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f2bqwlk.anim	16
f2hrun	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f2hrun.anim	10
f2hst	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f2hst.anim	30
f2qst	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f2qst.anim	30
f2qwlk	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f2qwlk.anim	16
f2yb	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f2yb.anim	10
f2ybst	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/f2ybst.anim	30
m1baost	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/m1baost.anim	30
m1baowlk	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/m1baowlk.anim	16
m1bbaost	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/m1bbaost.anim	30
m1bbaowlk	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/m1bbaowlk.anim	16
m1bqst	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/m1bqst.anim	30
m1bqwlk	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/m1bqwlk.anim	16
m1hrun	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/m1hrun.anim	10
m1hst	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/m1hst.anim	30
m1qst	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/m1qst.anim	30
m1qwlk	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/m1qwlk.anim	16
m1yb	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/m1yb.anim	10
m1ybst	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/m1ybst.anim	30
m2baost	Player/Characters/M2/General/M2_D_Body/M2_D001_Body/m2baost.anim	30
