AniName	AniPath	TimeFrame
f1baost	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f1baost.anim	30
f1baowlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f1baowlk.anim	16
f1bbaost	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f1bbaost.anim	30
f1bbaowlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f1bbaowlk.anim	16
f1bqst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f1bqst.anim	30
f1bqwlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f1bqwlk.anim	16
f1hrun	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f1hrun.anim	10
f1hst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f1hst.anim	30
f1qst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f1qst.anim	30
f1qwlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f1qwlk.anim	16
f1yb	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f1yb.anim	10
f1ybst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f1ybst.anim	30
f2baost	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f2baost.anim	30
f2baowlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f2baowlk.anim	16
f2bbaost	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f2bbaost.anim	30
f2bbaowlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f2bbaowlk.anim	16
f2bqst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f2bqst.anim	30
f2bqwlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f2bqwlk.anim	16
f2hrun	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f2hrun.anim	10
f2hst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f2hst.anim	30
f2qst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f2qst.anim	30
f2qwlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f2qwlk.anim	16
f2yb	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f2yb.anim	10
f2ybst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f2ybst.anim	30
m1baost	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m1baost.anim	30
m1baowlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m1baowlk.anim	16
m1bbaost	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m1bbaost.anim	30
m1bbaowlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m1bbaowlk.anim	16
m1bqst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m1bqst.anim	30
m1bqwlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m1bqwlk.anim	16
m1hrun	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m1hrun.anim	10
m1hst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m1hst.anim	30
m1qst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m1qst.anim	30
m1qwlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m1qwlk.anim	16
m1yb	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m1yb.anim	10
m1ybst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m1ybst.anim	30
m2baost	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2baost.anim	30
m2baowlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2baowlk.anim	16
m2bbaost	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2bbaost.anim	30
m2bbaowlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2bbaowlk.anim	16
m2bqst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2bqst.anim	30
m2bqwlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2bqwlk.anim	16
m2hrun	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2hrun.anim	10
m2hrun01	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2hrun01.anim	10
m2hst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2hst.anim	30
m2hst01	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2hst01.anim	30
m2qst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2qst.anim	30
m2qwlk	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2qwlk.anim	16
m2yb	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2yb.anim	10
m2yb01	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2yb01.anim	10
m2ybst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2ybst.anim	30
m2ybst01	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/m2ybst01.anim	30
dz	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/dz.anim	30
hrun	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/hrun.anim	10
hst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/hst.anim	30
zst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/zst.anim	30
zx	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/zx.anim	15
dance	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/dance.anim	92
wrun	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/wrun.anim	8
wst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/wst.anim	24
dance01	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/dance01.anim	150
erun	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/erun.anim	10
est	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/est.anim	30
dance03	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/dance03.anim	123
dance02	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/dance02.anim	146
dance04	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/dance04.anim	119
brun	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/brun.anim	10
bst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/bst.anim	30
crun	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/crun.anim	10
cst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/cst.anim	30
dance05	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/dance05.anim	102
f1dance01	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f1dance01.anim	11
f1dance02	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f1dance02.anim	156
f2dance01	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f2dance01.anim	11
f2dance02	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/f2dance02.anim	150
tst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/tst.anim	30
tx	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/tx.anim	36
diaoyu	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/diaoyu.anim	30
shanggou	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/shanggou.anim	40
shuaigan	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/shuaigan.anim	29
stpf	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/stpf.anim	30
stpf01	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/stpf01.anim	46
zstpf	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/zstpf.anim	30
arun	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/arun.anim	9
ast	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/ast.anim	30
crrun	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/crrun.anim	9
crst	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/crst.anim	30
dance07	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/dance07.anim	119
dance06	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/dance06.anim	223
zxpf	Player/Characters/M2/General/M2_D_Head/M2_D001_Head/zxpf.anim	15
