AniName	AniPath	TimeFrame
at01	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/at01.anim	11
at02	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/at02.anim	12
at03	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/at03.anim	12
at04	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/at04.anim	12
bat	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/bat.anim	6
bq01	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/bq01.anim	35
bq02	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/bq02.anim	42
bq03	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/bq03.anim	62
bq04	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/bq04.anim	14
bq05	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/bq05.anim	35
bq06	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/bq06.anim	70
bq07	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/bq07.anim	81
bq08	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/bq08.anim	20
die	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/die.anim	20
jf	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/jf.anim	35
jfd	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/jfd.anim	19
jn01	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/jn01.anim	10
jn02	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/jn02.anim	19
jn03	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/jn03.anim	15
jn04	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/jn04.anim	15
jn05	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/jn05.anim	40
jsrun	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/jsrun.anim	9
jt	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/jt.anim	20
qg	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/qg.anim	25
qg01	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/qg01.anim	19
qg02	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/qg02.anim	5
run	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/run.anim	12
sit	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/sit.anim	30
st	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/st.anim	30
st01	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/st01.anim	70
sta	Player/Characters/M2/Characteristic/M2_GB_Head/M2_GB001_Head/sta.anim	20
