AniName	AniPath	TimeFrame
run	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/run.anim	16
st	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/st.anim	30
at01	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/at01.anim	15
at02	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/at02.anim	14
at03	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/at03.anim	12
at04	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/at04.anim	15
bat	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/bat.anim	10
bq01	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/bq01.anim	35
bq02	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/bq02.anim	42
bq03	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/bq03.anim	47
bq04	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/bq04.anim	15
bq05	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/bq05.anim	32
bq06	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/bq06.anim	55
bq07	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/bq07.anim	74
bq08	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/bq08.anim	20
die	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/die.anim	19
jf	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/jf.anim	35
jfd	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/jfd.anim	21
jn01	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/jn01.anim	17
jn02	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/jn02.anim	20
jn03	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/jn03.anim	5
jn04	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/jn04.anim	20
jn05	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/jn05.anim	60
jsrun	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/jsrun.anim	12
jt	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/jt.anim	13
qg	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/qg.anim	25
qg01	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/qg01.anim	19
qg02	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/qg02.anim	6
sit	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/sit.anim	30
st01	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/st01.anim	52
sta	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/sta.anim	30
stpf	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/stpf.anim	30
stpf01	Player/Characters/M2/Characteristic/M2_TW_Body/M2_TW001_Body/stpf01.anim	46
