ResPath	AniFile	MainFile
Player/Npcs/Prefabs/npc_149.prefab	npc_149_ani	
Player/Npcs/Prefabs/npc_150.prefab	npc_150_ani	
Player/Npcs/Prefabs/npc_152.prefab	npc_152_ani	
Player/Npcs/Prefabs/npc_161.prefab	npc_161_ani	
Player/Npcs/Prefabs/boss027.prefab	boss027_ani	
Player/Npcs/Prefabs/boss029.prefab	boss029_ani	
Player/Npcs/Prefabs/boss031.prefab	boss031_ani	
Player/Npcs/Prefabs/f5_001_npc.prefab	f5_001_ani	
Player/Npcs/Prefabs/m5_001_npc.prefab	m5_001_ani	
Player/Npcs/Prefabs/npc_190.prefab	npc_190_ani	
Player/Npcs/Prefabs/npc_151.prefab	npc_151_ani	
Player/Npcs/Prefabs/npc_165.prefab	npc_165_ani	
Player/Npcs/Prefabs/npc_166.prefab	npc_166_ani	
Player/Npcs/Prefabs/npc_167.prefab	npc_167_ani	
Player/Npcs/Prefabs/npc_168.prefab	npc_168_ani	
Player/Npcs/Prefabs/npc_169.prefab	npc_169_ani	
Player/Npcs/Prefabs/npc_170.prefab	npc_170_ani	
Player/Npcs/Prefabs/npc_171.prefab	npc_171_ani	
Player/Npcs/Prefabs/npc_172.prefab	npc_172_ani	
Player/Npcs/Prefabs/npc_173.prefab	npc_173_ani	
Player/Npcs/Prefabs/npc_175.prefab	npc_175_ani	
Player/Npcs/Prefabs/npc_174.prefab	npc_174_ani	
Player/Npcs/Prefabs/npc_176A.prefab	npc_176A_ani	
Player/Npcs/Prefabs/npc_176B.prefab	npc_176B_ani	
Player/Npcs/Prefabs/npc_176C.prefab	npc_176C_ani	
Player/Npcs/Prefabs/npc_176D.prefab	npc_176D_ani	
Player/Npcs/Prefabs/npc_176E.prefab	npc_176E_ani	
Player/Npcs/Prefabs/npc_177.prefab	npc_177_ani	
Player/Npcs/Prefabs/boss032.prefab	boss032_ani	
Player/Npcs/Prefabs/boss033.prefab	boss033_ani	
Player/Npcs/Prefabs/boss034.prefab	boss034_ani	
Player/Horse/Prefabs/Horse10.prefab	Horse01_ani	
Player/Horse/Prefabs/Horse11.prefab	Horse01_ani	
Player/Npcs/Prefabs/npc_113.prefab	npc_113_ani	
Player/Npcs/Prefabs/npc_132.prefab	npc_132_ani	
Player/Npcs/Prefabs/npc_162.prefab	npc_162_ani	
Player/Npcs/Prefabs/npc_163.prefab	npc_163_ani	
Player/Npcs/Prefabs/npc_164.prefab	npc_164_ani	
Player/Horse/Prefabs/Horse07.prefab	Horse01_ani	
Player/Horse/Prefabs/Horse09.prefab	Horse01_ani	
Player/Horse/Prefabs/Horse09_a.prefab	Horse01_ani	
Player/Horse/Prefabs/Horse10_a.prefab	Horse01_ani	
Player/Horse/Prefabs/Horse11_a.prefab	Horse01_ani	
Player/Npcs/Prefabs/f6_001_npc.prefab	f6_001_ani	
Player/Npcs/Prefabs/m6_001_npc.prefab	m6_001_ani	
Player/Npcs/Prefabs/f7_001_npc.prefab	f7_001_ani	
Player/Npcs/Prefabs/m7_001_npc.prefab	m7_001_ani	
Player/Characters/Prefabs/tang.prefab	m3_001_ani	
Player/Characters/Prefabs/Horse01.prefab	Horse01_ani	
Player/Npcs/Prefabs/npc_178.prefab	npc_178_ani	
Player/Npcs/Prefabs/npc_179.prefab	npc_179_ani	
Player/Characters/Prefabs/m7_001.prefab	m7_001_ani	
Player/Horse/Prefabs/Horse15.prefab	Horse01_ani	
Player/Horse/Prefabs/Horse16.prefab	Horse01_ani	
Player/Npcs/Prefabs/npc_180.prefab	npc_180_ani	
Player/Npcs/Prefabs/npc_180B.prefab	npc_180B_ani	
Player/Npcs/Prefabs/npc_181.prefab	npc_181_ani	
Player/Horse/Prefabs/Horse17.prefab	Horse01_ani	
Player/Npcs/Prefabs/npc_202.prefab	npc_202_ani	
Player/Npcs/Prefabs/npc_183b.prefab	npc_183b_ani	
Player/Npcs/Prefabs/npc_184b.prefab	npc_184b_ani	
Player/Npcs/Prefabs/npc_185b.prefab	npc_185b_ani	
Player/Npcs/Prefabs/npc_184c.prefab	npc_184b_ani	
Player/Npcs/Prefabs/npc_185c.prefab	npc_185b_ani	
Player/Npcs/Prefabs/npc_203.prefab	npc_203_ani	
