FactionID	AniFile
0	F1_D001_Body_ani
1	F1_WD001_Body_ani
2	F1_WD001_Body_ani
3	F1_WD001_Body_ani
4	F1_WD001_Body_ani
5	F1_WD001_Body_ani
6	F1_WD001_Body_ani
7	F1_WD001_Body_ani
8	F1_WD001_Body_ani
9	F1_WD001_Body_ani
10	F1_WD001_Body_ani
11	F1_WD001_Body_ani
12	F1_WD001_Body_ani
13	F1_WD001_Body_ani
14	F1_WD001_Body_ani
15	F1_WD001_Body_ani
16	F1_WD001_Body_ani
17	F1_WD001_Body_ani
18	F1_WD001_Body_ani
19	F1_WD001_Body_ani
20	F1_WD001_Body_ani
21	F1_WD001_Body_ani
22	F1_WD001_Body_ani
23	F1_WD001_Body_ani
24	F1_WD001_Body_ani
25	F1_WD001_Body_ani
26	F1_WD001_Body_ani
27	F1_WD001_Body_ani
28	F1_WD001_Body_ani
29	F1_WD001_Body_ani
30	F1_WD001_Body_ani
31	F1_WD001_Body_ani
32	F1_WD001_Body_ani
33	F1_WD001_Body_ani
34	F1_WD001_Body_ani
35	F1_WD001_Body_ani
36	F1_WD001_Body_ani
37	F1_WD001_Body_ani
38	F1_WD001_Body_ani
39	F1_WD001_Body_ani
40	F1_WD001_Body_ani
