AniName	AniPath	TimeFrame
at01	Player/Characters/f3/f3_001/at01.anim	10
at02	Player/Characters/f3/f3_001/at02.anim	10
at03	Player/Characters/f3/f3_001/at03.anim	12
at04	Player/Characters/f3/f3_001/at04.anim	11
bat	Player/Characters/f3/f3_001/bat.anim	9
die	Player/Characters/f3/f3_001/die.anim	20
dz	Player/Characters/f3/f3_001/dz.anim	30
bq01	Player/Characters/f3/f3_001/bq01.anim	47
bq02	Player/Characters/f3/f3_001/bq02.anim	57
bq03	Player/Characters/f3/f3_001/bq03.anim	43
bq04	Player/Characters/f3/f3_001/bq04.anim	15
bq05	Player/Characters/f3/f3_001/bq05.anim	60
bq06	Player/Characters/f3/f3_001/bq06.anim	60
bq07	Player/Characters/f3/f3_001/bq07.anim	105
bq08	Player/Characters/f3/f3_001/bq08.anim	20
hrun	Player/Characters/f3/f3_001/hrun.anim	10
hst	Player/Characters/f3/f3_001/hst.anim	30
jf	Player/Characters/f3/f3_001/jf.anim	35
jfd	Player/Characters/f3/f3_001/jfd.anim	21
jn01	Player/Characters/f3/f3_001/jn01.anim	12
jn02	Player/Characters/f3/f3_001/jn02.anim	14
jn03	Player/Characters/f3/f3_001/jn03.anim	15
jn04	Player/Characters/f3/f3_001/jn04.anim	15
jn05	Player/Characters/f3/f3_001/jn05.anim	30
jsrun	Player/Characters/f3/f3_001/jsrun.anim	9
jt	Player/Characters/f3/f3_001/jt.anim	12
qg	Player/Characters/f3/f3_001/qg.anim	25
qg01	Player/Characters/f3/f3_001/qg01.anim	18
qg02	Player/Characters/f3/f3_001/qg02.anim	6
run	Player/Characters/f3/f3_001/run.anim	12
st	Player/Characters/f3/f3_001/st.anim	30
st01	Player/Characters/f3/f3_001/st01.anim	51
sta	Player/Characters/f3/f3_001/sta.anim	20
zst	Player/Characters/f3/f3_001/zst.anim	30
zx	Player/Characters/f3/f3_001/zx.anim	15
sit	Player/Characters/f3/f3_001/sit.anim	30
