AniName	AniPath	TimeFrame
at01	Player/Characters/f3/f3_w_002/at01.anim	10
at02	Player/Characters/f3/f3_w_002/at02.anim	10
at03	Player/Characters/f3/f3_w_002/at03.anim	13
at04	Player/Characters/f3/f3_w_002/at04.anim	13
bat	Player/Characters/f3/f3_w_002/bat.anim	9
die	Player/Characters/f3/f3_w_002/die.anim	20
dz	Player/Characters/f3/f3_w_002/dz.anim	30
bq01	Player/Characters/f3/f3_w_002/bq01.anim	47
bq02	Player/Characters/f3/f3_w_002/bq02.anim	57
bq03	Player/Characters/f3/f3_w_002/bq03.anim	43
bq04	Player/Characters/f3/f3_w_002/bq04.anim	15
bq05	Player/Characters/f3/f3_w_002/bq05.anim	60
bq06	Player/Characters/f3/f3_w_002/bq06.anim	60
bq07	Player/Characters/f3/f3_w_002/bq07.anim	105
bq08	Player/Characters/f3/f3_w_002/bq08.anim	20
hrun	Player/Characters/f3/f3_w_002/hrun.anim	10
hst	Player/Characters/f3/f3_w_002/hst.anim	30
jf	Player/Characters/f3/f3_w_002/jf.anim	35
jfd	Player/Characters/f3/f3_w_002/jfd.anim	21
jn01	Player/Characters/f3/f3_w_002/jn01.anim	12
jn02	Player/Characters/f3/f3_w_002/jn02.anim	14
jn03	Player/Characters/f3/f3_w_002/jn03.anim	15
jn04	Player/Characters/f3/f3_w_002/jn04.anim	15
jn05	Player/Characters/f3/f3_w_002/jn05.anim	30
jsrun	Player/Characters/f3/f3_w_002/jsrun.anim	9
jt	Player/Characters/f3/f3_w_002/jt.anim	12
qg	Player/Characters/f3/f3_w_002/qg.anim	25
qg01	Player/Characters/f3/f3_w_002/qg01.anim	25
qg02	Player/Characters/f3/f3_w_002/qg02.anim	6
run	Player/Characters/f3/f3_w_002/run.anim	12
st	Player/Characters/f3/f3_w_002/st.anim	30
sta	Player/Characters/f3/f3_w_002/sta.anim	20
zst	Player/Characters/f3/f3_w_002/zst.anim	30
zx	Player/Characters/f3/f3_w_002/zx.anim	15
st01	Player/Characters/f3/f3_w_002/st01.anim	51
sit	Player/Characters/f3/f3_w_002/sit.anim	30
