AniName	AniPath	TimeFrame
at01	Player/Characters/m2/m2_w_002/at01.anim	15
at02	Player/Characters/m2/m2_w_002/at02.anim	14
at03	Player/Characters/m2/m2_w_002/at03.anim	12
at04	Player/Characters/m2/m2_w_002/at04.anim	15
bat	Player/Characters/m2/m2_w_002/bat.anim	10
die	Player/Characters/m2/m2_w_002/die.anim	19
dz	Player/Characters/m2/m2_w_002/dz.anim	30
hrun	Player/Characters/m2/m2_w_002/hrun.anim	10
hst	Player/Characters/m2/m2_w_002/hst.anim	30
jf	Player/Characters/m2/m2_w_002/jf.anim	35
jfd	Player/Characters/m2/m2_w_002/jfd.anim	22
jn01	Player/Characters/m2/m2_w_002/jn01.anim	17
jn02	Player/Characters/m2/m2_w_002/jn02.anim	20
jn03	Player/Characters/m2/m2_w_002/jn03.anim	5
jn04	Player/Characters/m2/m2_w_002/jn04.anim	20
jn05	Player/Characters/m2/m2_w_002/jn05.anim	60
jsrun	Player/Characters/m2/m2_w_002/jsrun.anim	12
jt	Player/Characters/m2/m2_w_002/jt.anim	13
bq01	Player/Characters/m2/m2_w_002/bq01.anim	35
bq02	Player/Characters/m2/m2_w_002/bq02.anim	42
bq03	Player/Characters/m2/m2_w_002/bq03.anim	47
bq04	Player/Characters/m2/m2_w_002/bq04.anim	15
bq05	Player/Characters/m2/m2_w_002/bq05.anim	32
bq06	Player/Characters/m2/m2_w_002/bq06.anim	55
bq07	Player/Characters/m2/m2_w_002/bq07.anim	74
bq08	Player/Characters/m2/m2_w_002/bq08.anim	20
qg	Player/Characters/m2/m2_w_002/qg.anim	25
qg01	Player/Characters/m2/m2_w_002/qg01.anim	19
qg02	Player/Characters/m2/m2_w_002/qg02.anim	6
run	Player/Characters/m2/m2_w_002/run.anim	16
st	Player/Characters/m2/m2_w_002/st.anim	30
sta	Player/Characters/m2/m2_w_002/sta.anim	30
zst	Player/Characters/m2/m2_w_002/zst.anim	30
zx	Player/Characters/m2/m2_w_002/zx.anim	15
st01	Player/Characters/m2/m2_w_002/st01.anim	52
sit	Player/Characters/m2/m2_w_002/sit.anim	30
