AniName	AniPath	TimeFrame
at01	Player/Characters/m7/m7_001/at01.anim	9
at02	Player/Characters/m7/m7_001/at02.anim	8
at03	Player/Characters/m7/m7_001/at03.anim	10
at04	Player/Characters/m7/m7_001/at04.anim	15
bat	Player/Characters/m7/m7_001/bat.anim	6
bq01	Player/Characters/m7/m7_001/bq01.anim	32
bq02	Player/Characters/m7/m7_001/bq02.anim	47
bq03	Player/Characters/m7/m7_001/bq03.anim	21
bq04	Player/Characters/m7/m7_001/bq04.anim	15
bq05	Player/Characters/m7/m7_001/bq05.anim	45
bq06	Player/Characters/m7/m7_001/bq06.anim	40
bq07	Player/Characters/m7/m7_001/bq07.anim	90
bq08	Player/Characters/m7/m7_001/bq08.anim	20
die	Player/Characters/m7/m7_001/die.anim	20
dz	Player/Characters/m7/m7_001/dz.anim	30
hrun	Player/Characters/m7/m7_001/hrun.anim	10
hst	Player/Characters/m7/m7_001/hst.anim	30
jf	Player/Characters/m7/m7_001/jf.anim	35
jfd	Player/Characters/m7/m7_001/jfd.anim	17
jn01	Player/Characters/m7/m7_001/jn01.anim	13
jn02	Player/Characters/m7/m7_001/jn02.anim	17
jn03	Player/Characters/m7/m7_001/jn03.anim	12
jn04	Player/Characters/m7/m7_001/jn04.anim	17
jsrun	Player/Characters/m7/m7_001/jsrun.anim	9
jt	Player/Characters/m7/m7_001/jt.anim	13
qg	Player/Characters/m7/m7_001/qg.anim	25
qg01	Player/Characters/m7/m7_001/qg01.anim	19
qg02	Player/Characters/m7/m7_001/qg02.anim	5
run	Player/Characters/m7/m7_001/run.anim	12
st	Player/Characters/m7/m7_001/st.anim	30
st01	Player/Characters/m7/m7_001/st01.anim	45
sta	Player/Characters/m7/m7_001/sta.anim	20
zst	Player/Characters/m7/m7_001/zst.anim	30
zx	Player/Characters/m7/m7_001/zx.anim	15
sit	Player/Characters/m7/m7_001/sit.anim	30
jn05	Player/Characters/m7/m7_001/jn05.anim	63
