Index	Prefab
1	Player/Characters/F1/Prefab/F1_DB_Body.prefab
2	Player/Characters/F2/Prefab/F2_DB_Body.prefab
3	Player/Characters/M1/Prefab/M1_DB_Body.prefab
4	Player/Characters/M2/Prefab/M2_DB_Body.prefab
101	Player/Characters/F1/Prefab/F1_DB_Head.prefab
102	Player/Characters/F2/Prefab/F2_DB_Head.prefab
103	Player/Characters/M1/Prefab/M1_DB_Head.prefab
104	Player/Characters/M2/Prefab/M2_DB_Head.prefab
201	Player/Doodads/weapons/Prefabs/f13_DB_w.prefab
301	Player/Doodads/Cloak/Prefabs/Cloak01_f2_db.prefab
302	Player/Doodads/Cloak/Prefabs/Cloak01_f1_db.prefab
303	Player/Doodads/Cloak/Prefabs/Cloak01_m1_db.prefab
304	Player/Doodads/Cloak/Prefabs/Cloak01_m2_db.prefab
