NpcResId	Height	Height1	Height2	Height3	Height4	Height5	Height6	Width	hst_frame	hst_cross	hrun_frame	hrun_cross	wst_frame	wst_cross	wrun_frame	wrun_cross	est_frame	est_cross	erun_frame	erun_cross	bst_frame	bst_cross	brun_frame	brun_cross	cst_frame	cst_cross	crun_frame	crun_cross	crst_frame	crst_cross	crrun_frame	crrun_cross	ast_frame	ast_cross	arun_frame	arun_cross
1	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
2	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
3	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
4	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
5	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
6	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
9	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
10	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1001	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1002	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1003	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1004	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1005	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1006	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1007	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1008	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1009	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1010	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1011	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1012	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1013	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1014	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1015	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1016	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1017	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1018	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1019	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1020	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1021	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1022	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1023	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
1024	2.5	2.5	3.1	2.5	2.5	2.5	3.1	0.5	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1	30	0.1	25	0.1
