ResId	ResFile	ResAttribID	ResSlot	Desc	Desc2	Desc3	Scale	IsOrgColorValue	MinCastValue	SlotName1	SlotGray1	SlotMinCast1	Slot1Color1	Slot1Light1	Slot1Color2	Slot1Light2	Slot1Color3	Slot1Light3	SlotName2	SlotGray2	SlotMinCast2	Slot2Color1	Slot2Light1	Slot2Color2	Slot2Light2	Slot2Color3	Slot2Light3	SlotName3	SlotGray3	SlotMinCast3	Slot3Color1	Slot3Light1	Slot3Color2	Slot3Light2	Slot3Color3	Slot3Light3	DynamicBoneIndex
1	Player/Characters/M2/Prefab/M2_TW002_Body.prefab		B_Hs	天王新手-男																																	4
2	Player/Characters/F1/Prefab/F1_TW001_Body.prefab		B_Hs	天王新手-女																																	1
3	Player/Characters/M1/Prefab/M1_XY001_Body.prefab		B_Hs	峨眉新手-男（暂无）																																	3
4	Player/Characters/F2/Prefab/F2_EM001_Body.prefab		B_Hs	峨眉新手-女																																	2
5	Player/Characters/M1/Prefab/M1_XY001_Body.prefab		B_Hs	桃花新手-男（暂无）																																	3
6	Player/Characters/F1/Prefab/F1_TH001_Body.prefab		B_Hs	桃花新手-女																																	1
7	Player/Characters/M1/Prefab/M1_XY001_Body.prefab		B_Hs	逍遥新手-男																																	3
8	Player/Characters/F2/Prefab/F2_XY001_Body.prefab		B_Hs	逍遥新手-女																																	2
9	Player/Characters/M1/Prefab/M1_WD002_Body.prefab		B_Hs	武当新手-男																																	3
10	Player/Characters/F2/Prefab/F2_WD002_Body.prefab		B_Hs	武当新手-女																																	2
11	Player/Characters/M1/Prefab/M1_TR001_Body.prefab		B_Hs	天忍新手-男																																	3
12	Player/Characters/F2/Prefab/F2_EM001_Body.prefab		B_Hs	天忍新手-女																																	2
13	Player/Characters/M2/Prefab/M2_SL001_Body.prefab		B_Hs	少林新手-男																																	4
14	Player/Characters/F2/Prefab/F2_EM001_Body.prefab		B_Hs	少林新手-女（暂无）																																	2
15	Player/Characters/M1/Prefab/M1_WD001_Body.prefab		B_Hs	翠烟新手-男（暂无）																																	3
16	Player/Characters/F2/Prefab/F2_CY001_Body.prefab		B_Hs	翠烟新手-女																																	2
17	Player/Characters/M1/Prefab/M1_TM002_Body.prefab		B_Hs	唐门新手-男																																	3
18	Player/Characters/F2/Prefab/F2_EM001_Body.prefab		B_Hs	唐门新手-女（暂无）																																	2
19	Player/Characters/M1/Prefab/M1_TM002_Body.prefab		B_Hs	昆仑新手-男（暂无）																																	3
20	Player/Characters/F2/Prefab/F2_KL001_Body.prefab		B_Hs	昆仑新手-女																																	2
21	Player/Characters/M2/Prefab/M2_GB001_Body.prefab		B_Hs	丐帮新手-男																																	4
22	Player/Characters/F1/Prefab/F1_GB001_Body.prefab		B_Hs	丐帮新手-女				1		F1_GB001_Body	0		255|255|255|169	1	251|251|251|64	1.1	247|247|247|139	1																			2
23	Player/Characters/M1/Prefab/M1_TM002_Body.prefab		B_Hs	五毒新手-男（暂无）																																	3
24	Player/Characters/F1/Prefab/F1_WD001_Body.prefab		B_Hs	五毒新手-女																																	1
25	Player/Characters/M1/Prefab/M1_XY001_Body.prefab		B_Hs	藏剑新手-男																																	3
26	Player/Characters/F2/Prefab/F2_CY001_Body.prefab		B_Hs	藏剑新手-女（暂无）																																	2
27	Player/Characters/M1/Prefab/M1_XY001_Body.prefab		B_Hs	长歌新手-男（暂无）																																	3
28	Player/Characters/F2/Prefab/F2_EM001_Body.prefab		B_Hs	长歌新手-女																																	2
29	Player/Characters/M1/Prefab/M1_TS003_Body.prefab		B_Hs	天山新手-男																																	3
30	Player/Characters/F2/Prefab/F2_TS003_Body.prefab		B_Hs	天山新手-女																																	2
31	Player/Characters/M2/Prefab/M2_BD001_Body.prefab		B_Hs	霸刀新手-男																																	4
32	Player/Characters/F1/Prefab/F1_BD001_Body.prefab		B_Hs	霸刀新手-女																																	1
1001	Player/Characters/M1/Prefab/M1_D001_Body.prefab	51001	B_Hs	M1标男等级装T1																																	3
1002	Player/Characters/M1/Prefab/M1_D004_Body.prefab	51002	B_Hs	M1标男等级装T2																																	3
1003	Player/Characters/M1/Prefab/M1_D003_Body.prefab	51003	B_Hs	M1标男等级装T3																																	3
1004	Player/Characters/M1/Prefab/M1_D006_Body.prefab	51004	B_Hs	M1标男等级装T4																																	3
1005	Player/Characters/M1/Prefab/M1_D011_Body.prefab	51005	B_Hs	M1标男等级装T5																																	3
1006	Player/Characters/M1/Prefab/M1_D010_Body.prefab	51006	B_Hs	M1标男等级装T6																																	3
1007	Player/Characters/M1/Prefab/M1_D009_Body.prefab	51007	B_Hs	M1标男等级装T7																																	3
1008	Player/Characters/M1/Prefab/M1_D005_Body.prefab	51008	B_Hs	M1标男等级装T8																																	3
1009	Player/Characters/M1/Prefab/M1_D012_Body.prefab	51009	B_Hs	M1标男等级装T9																																	3
1010	Player/Characters/M1/Prefab/M1_D008_Body.prefab	51010	B_Hs	M1标男等级装T10																																	3
1011	Player/Characters/M1/Prefab/M1_D002_Body.prefab	51011	B_Hs	M1标男等级装T11																																	3
1012	Player/Characters/M1/Prefab/M1_D007_Body.prefab	51012	B_Hs	M1标男等级装T12																																	3
1013	Player/Characters/M1/Prefab/M1_D013_Body.prefab	51013	B_Hs	M1标男等级装T13																																	3
1014	Player/Characters/M1/Prefab/M1_D014_Body.prefab		B_Hs	M1标男等级装T14				1		M1_D014_Body	0		255|231|181|131	1	208|228|234|15	1	63|183|255|0	1																			3
1015	Player/Characters/M1/Prefab/M1_D015_Body.prefab		B_Hs	M1标男等级装T15				1		M1_D015_Body	0		255|234|168|153	1	251|210|210|92	1	255|255|255|16	1																			3
1016	Player/Characters/M1/Prefab/M1_D016_Body.prefab		B_Hs	M1标男等级装T16				1		M1_D016_Body	0		255|255|255|80	1	225|225|225|62	1	234|234|234|43	1																			3
1017	Player/Characters/M1/Prefab/M1_D017_Body.prefab		B_Hs	M1标男等级装T17						M1_D017_Body	1		243|208|155|120	1	149|230|241|94	1.13	249|245|255|64	1																			3
1018	Player/Characters/M1/Prefab/M1_D018_Body.prefab		B_Hs	M1标男等级装T18				1		M1_D018_Body	0		255|255|255|34	1	255|255|255|62	1	54|54|54|190	1																			3
1019	Player/Characters/M1/Prefab/M1_D019_Body.prefab		B_Hs	M1标男等级装T19				1		M1_D019_Body	0		255|255|255|61	1	255|255|255|42	1	255|255|255|29	1																			3
1020	Player/Characters/M1/Prefab/M1_D016_Body.prefab		B_Hs	M1标男等级装T20																																	3
1101	Player/Characters/M1/Prefab/M1_D010_Body.prefab	51101	B_Hs	M1标男等级装T6·黄金装																																	3
