AttribID	Desc	Scale	IsOrgColorValue	MinCastValue	SlotName1	SlotGray1	SlotMinCast1	Slot1Color1	Slot1Light1	Slot1Color2	Slot1Light2	Slot1Color3	Slot1Light3	SlotName2	SlotGray2	SlotMinCast2	Slot2Color1	Slot2Light1	Slot2Color2	Slot2Light2	Slot2Color3	Slot2Light3	SlotName3	SlotGray3	SlotMinCast3	Slot3Color1	Slot3Light1	Slot3Color2	Slot3Light2	Slot3Color3	Slot3Light3
1			1		m2_w_001	0								m2_w_001_1	0																
2		1|1|1		0.5	m2_w_001	4	0.5	255|255|255|255	0	118|153|236|117	2.74	145|184|212|255	-1	m2_w_001_1	4	0.5	96|137|218|209	-1	206|228|240|219	0	204|171|98|83	0									
3		1|1|1		0.183	m2_w_001	4	0.183	84|84|84|255	0	197|195|195|164	1	255|255|255|255	-1	m2_w_001_1	4	0.183	92|91|91|117	-1	133|133|133|255	-1	255|208|105|255	0									
4		1|1|1		0.5	m2_w_001	4	0.5	229|186|94|255	-1	255|236|236|88	2.8	195|165|99|255	7.92	m2_w_001_1	4	0.5	71|71|71|81	0	218|186|115|255	0	255|255|255|166	-7.83									
5		1|1|1	1	0.55	m2_w_002	0	0.55	236|241|241|255	0	255|255|255|255	0	255|255|255|255	0																		
6		1|1|1		0.51	m2_w_002	4	0.51	142|29|29|219	4.11	56|56|56|255	5.01	193|151|99|255	4.2																		
7		1|1|1		0.5	m2_w_002	4	0.5	184|196|165|255	3.7	79|112|68|255	6.29	150|170|95|255	3.75																		
8		1|1|1		0.6	m2_w_002	4	0.6	82|76|76|255	1.87	50|46|52|255	9.2	178|167|18|255	3.34																		
9		1|1|1		0.45	m2_w_002	4	0.45	86|51|51|255	2.62	127|52|69|190	4.05	238|208|221|255	3.41																		
10		1|1|1		0.5	m2_w_002	4	0.5	221|166|97|255	4.26	255|146|88|255	6.29	255|225|187|255	3.75																		
11		1|1|1	1		f2_w_001	0																									
12		1|1|1		0.8	f2_w_001	4	0.8	126|164|255|0	2.69	156|193|236|91	0	255|255|255|177	0																		
13		1|1|1		0.28	f2_w_001	4	0.28	111|103|103|225	0	103|91|64|137	0	255|193|99|117	0																		
14		1|1|1		0.51	f2_w_001	4	0.51	255|243|238|213	0	255|244|214|228	0	255|201|120|111	3.8																		
15		1|1|1	1	0.41	f2_w_002	0	0.41	210|255|255|230	3.79	255|255|255|255	3.7	255|255|255|255	3.72																		
16		1|1|1		0.41	f2_w_002	4	0.41	249|216|174|177	3.45	149|41|57|190	4.15	255|187|187|255	3.77																		
17		1|1|1		0.41	f2_w_002	4	0.41	227|197|243|209	4.16	250|236|255|255	3.82	255|255|255|255	3.77																		
18		1|1|1		0.41	f2_w_002	4	0.41	255|238|212|137	0	255|165|165|213	3.9	255|255|255|255	3.77																		
19		1|1|1		0.41	f2_w_002	4	0.41	255|250|243|196	3.91	237|213|255|166	3.31	252|255|240|255	3.72																		
