szTimeFrame	szLimitRate	szAdditionRate
OpenLevel39	0.7	1
OpenLevel39	0.8	1
OpenLevel39	0.85	1
OpenLevel39	0.9	1
OpenLevel39	0.95	1
OpenLevel39	1	1
OpenLevel49	0.7	1
OpenLevel49	0.8	1
OpenLevel49	0.85	1
OpenLevel49	0.9	1
OpenLevel49	0.95	1
OpenLevel49	1	1
OpenLevel59	0.7	1
OpenLevel59	0.8	1
OpenLevel59	0.85	1
OpenLevel59	0.9	1
OpenLevel59	0.95	1
OpenLevel59	1	1
OpenLevel69	0.7	1
OpenLevel69	0.8	1
OpenLevel69	0.85	1
OpenLevel69	0.9	1
OpenLevel69	0.95	1
OpenLevel69	1	1
OpenLevel79	0.7	1
OpenLevel79	0.8	1
OpenLevel79	0.85	1
OpenLevel79	0.9	1
OpenLevel79	0.95	1
OpenLevel79	1	1
OpenLevel89	0.7	1
OpenLevel89	0.8	1
OpenLevel89	0.85	1
OpenLevel89	0.9	1
OpenLevel89	0.95	1
OpenLevel89	1	1
OpenLevel99	0.7	1
OpenLevel99	0.8	1
OpenLevel99	0.85	1
OpenLevel99	0.9	1
OpenLevel99	0.95	1
OpenLevel99	1	1
OpenLevel109	0.7	1
OpenLevel109	0.8	1
OpenLevel109	0.85	1
OpenLevel109	0.9	1
OpenLevel109	0.95	1
OpenLevel109	1	1
OpenLevel119	0.7	1
OpenLevel119	0.8	1
OpenLevel119	0.85	1
OpenLevel119	0.9	1
OpenLevel119	0.95	1
OpenLevel119	1	1
OpenLevel129	0.7	1
OpenLevel129	0.8	1
OpenLevel129	0.85	1
OpenLevel129	0.9	1
OpenLevel129	0.95	1
OpenLevel129	1	1
OpenLevel139	0.7	1
OpenLevel139	0.8	1
OpenLevel139	0.85	1
OpenLevel139	0.9	1
OpenLevel139	0.95	1
OpenLevel139	1	1
