nValueId	nGrowthLevel	nValue
1	1	0
1	2	20
1	3	40
1	4	60
1	5	80
1	6	100
1	7	120
1	8	140
1	9	160
1	10	180
1	11	200
1	12	220
1	13	240
1	14	260
1	15	280
1	16	300
1	17	320
1	18	340
1	19	360
1	20	380
1	21	400
2	1	0
2	2	40
2	3	80
2	4	120
2	5	160
2	6	200
2	7	240
2	8	280
2	9	320
2	10	360
2	11	400
2	12	440
2	13	480
2	14	520
2	15	560
2	16	600
2	17	640
2	18	680
2	19	720
2	20	760
2	21	800
3	1	0
3	2	75
3	3	150
3	4	225
3	5	300
3	6	375
3	7	450
3	8	525
3	9	600
3	10	675
3	11	750
3	12	825
3	13	900
3	14	975
3	15	1050
3	16	1125
3	17	1200
3	18	1275
3	19	1350
3	20	1425
3	21	1500
4	1	0
4	2	100
4	3	200
4	4	300
4	5	400
4	6	500
4	7	600
4	8	700
4	9	800
4	10	900
4	11	1000
4	12	1100
4	13	1200
4	14	1300
4	15	1400
4	16	1500
4	17	1600
4	18	1700
4	19	1800
4	20	1900
4	21	2000
5	1	0
5	2	150
5	3	300
5	4	450
5	5	600
5	6	750
5	7	900
5	8	1050
5	9	1200
5	10	1350
5	11	1500
5	12	1650
5	13	1800
5	14	1950
5	15	2100
5	16	2250
5	17	2400
5	18	2550
5	19	2700
5	20	2850
5	21	3000
6	1	0
6	2	225
6	3	450
6	4	675
6	5	900
6	6	1125
6	7	1350
6	8	1575
6	9	1800
6	10	2025
6	11	2250
6	12	2475
6	13	2700
6	14	2925
6	15	3150
6	16	3375
6	17	3600
6	18	3825
6	19	4050
6	20	4275
6	21	4500
