Level	SSS	SS	S	A	B	C
1	1200	900	720	600	480	360
2	1200	900	720	600	480	360
3	1200	900	720	600	480	360
4	1200	900	720	600	480	360
5	1200	900	720	600	480	360
6	1200	900	720	600	480	360
7	1200	900	720	600	480	360
8	1600	1200	960	800	640	480
9	2000	1500	1200	1000	800	600
10	4800	3600	2880	2400	1920	1440
11	4800	3600	2880	2400	1920	1440
12	4800	3600	2880	2400	1920	1440
13	4800	3600	2880	2400	1920	1440
14	4800	3600	2880	2400	1920	1440
15	4800	3600	2880	2400	1920	1440
16	4800	3600	2880	2400	1920	1440
17	4800	3600	2880	2400	1920	1440
18	4800	3600	2880	2400	1920	1440
19	4800	3600	2880	2400	1920	1440
20	42000	31500	25200	21000	16800	12600
21	42000	31500	25200	21000	16800	12600
22	42000	31500	25200	21000	16800	12600
23	42000	31500	25200	21000	16800	12600
24	42000	31500	25200	21000	16800	12600
25	42000	31500	25200	21000	16800	12600
26	42000	31500	25200	21000	16800	12600
27	42000	31500	25200	21000	16800	12600
28	42000	31500	25200	21000	16800	12600
29	42000	31500	25200	21000	16800	12600
30	112000	84000	67200	56000	44800	33600
31	112000	84000	67200	56000	44800	33600
32	112000	84000	67200	56000	44800	33600
33	112000	84000	67200	56000	44800	33600
34	112000	84000	67200	56000	44800	33600
35	112000	84000	67200	56000	44800	33600
36	112000	84000	67200	56000	44800	33600
37	112000	84000	67200	56000	44800	33600
38	112000	84000	67200	56000	44800	33600
39	112000	84000	67200	56000	44800	33600
40	240000	180000	144000	120000	96000	72000
41	240000	180000	144000	120000	96000	72000
42	240000	180000	144000	120000	96000	72000
43	240000	180000	144000	120000	96000	72000
44	240000	180000	144000	120000	96000	72000
45	240000	180000	144000	120000	96000	72000
46	240000	180000	144000	120000	96000	72000
47	240000	180000	144000	120000	96000	72000
48	240000	180000	144000	120000	96000	72000
49	240000	180000	144000	120000	96000	72000
50	600000	450000	360000	300000	240000	180000
51	600000	450000	360000	300000	240000	180000
52	600000	450000	360000	300000	240000	180000
53	600000	450000	360000	300000	240000	180000
54	600000	450000	360000	300000	240000	180000
55	600000	450000	360000	300000	240000	180000
56	600000	450000	360000	300000	240000	180000
57	600000	450000	360000	300000	240000	180000
58	600000	450000	360000	300000	240000	180000
59	600000	450000	360000	300000	240000	180000
60	1000000	750000	600000	500000	400000	300000
61	1000000	750000	600000	500000	400000	300000
62	1000000	750000	600000	500000	400000	300000
63	1000000	750000	600000	500000	400000	300000
64	1000000	750000	600000	500000	400000	300000
65	1000000	750000	600000	500000	400000	300000
66	1000000	750000	600000	500000	400000	300000
67	1000000	750000	600000	500000	400000	300000
68	1000000	750000	600000	500000	400000	300000
69	1000000	750000	600000	500000	400000	300000
70	2000000	1500000	1200000	1000000	800000	600000
71	2000000	1500000	1200000	1000000	800000	600000
72	2000000	1500000	1200000	1000000	800000	600000
73	2000000	1500000	1200000	1000000	800000	600000
74	2000000	1500000	1200000	1000000	800000	600000
75	2000000	1500000	1200000	1000000	800000	600000
76	2000000	1500000	1200000	1000000	800000	600000
77	2000000	1500000	1200000	1000000	800000	600000
78	2000000	1500000	1200000	1000000	800000	600000
79	2000000	1500000	1200000	1000000	800000	600000
80	4000000	3000000	2400000	2000000	1600000	1200000
81	4000000	3000000	2400000	2000000	1600000	1200000
82	4000000	3000000	2400000	2000000	1600000	1200000
83	4000000	3000000	2400000	2000000	1600000	1200000
84	4000000	3000000	2400000	2000000	1600000	1200000
85	4000000	3000000	2400000	2000000	1600000	1200000
86	4000000	3000000	2400000	2000000	1600000	1200000
87	4000000	3000000	2400000	2000000	1600000	1200000
88	4000000	3000000	2400000	2000000	1600000	1200000
89	4000000	3000000	2400000	2000000	1600000	1200000
90	8000000	6000000	4800000	4000000	3200000	2400000
91	8000000	6000000	4800000	4000000	3200000	2400000
92	8000000	6000000	4800000	4000000	3200000	2400000
93	8000000	6000000	4800000	4000000	3200000	2400000
94	8000000	6000000	4800000	4000000	3200000	2400000
95	8000000	6000000	4800000	4000000	3200000	2400000
96	8000000	6000000	4800000	4000000	3200000	2400000
97	8000000	6000000	4800000	4000000	3200000	2400000
98	8000000	6000000	4800000	4000000	3200000	2400000
99	8000000	6000000	4800000	4000000	3200000	2400000
100	8000000	6000000	4800000	4000000	3200000	2400000
