nPartnerId	Desc	nType
1	蚩尤	1
2	后羿	1
3	苏妲己	1
4	鬼谷子	1
5	项羽	1
6	秦始皇	1
7	武则天	1
8	吕洞宾	1
9	张三丰	1
10	西施	1
11	独孤剑	1
12	南宫飞云	1
13	杨影枫	1
14	玄天道人	1
15	虞姬	1
16	赵飞燕	1
17	荆轲	1
18	李广	1
19	赵云	1
20	李元霸	1
21	月眉儿	1
22	项凌天	1
23	祝子虚	1
24	长孙无梦	1
25	洛青霜	1
26	S7	1
27	S8	1
28	S9	1
29	S10	1
30	高长恭	1
31	哲别	1
32	袁承志	1
33	鳌拜	1
34	金翅鹏皇	1
35	赤睛虎皇	1
36	撼天熊皇	1
37	定海金刚	1
38	纳兰潜凛	1
39	勾册	1
40	杨熙烈	1
41	上官飞龙	1
42	叶无心	1
43	杨瑛	1
44	薛银药	1
45	天星道长	1
46	玄天武机	1
47	孟知秋	1
48	月重天	1
126	少年杨影枫	4
49	纳兰真	3
50	项鼎	1
51	柳潇庭	1
52	丁诗雨	1
53	李恬儿	1
54	张惟宜	1
55	A7	1
56	A8	1
57	A9	1
58	寒玉鹿王	1
59	大地狼王	1
60	奔焰豹王	1
61	九尾狐王	1
62	卓非凡	1
63	霹雳火	1
64	单晶晶	1
65	沐紫衣	1
66	苏墨芸	1
67	姬御天	1
68	公输铃	1
69	紫轩	1
70	蔷薇	1
71	艾黎	1
72	公孙惜花	1
73	公输羽	1
74	张仲天	1
75	A27	1
76	A28	1
77	A29	1
78	小李子	2
79	萧动尘	1
80	慕容越	1
81	徐铁心	1
82	叶雨柔	1
83	天蛊毒尸	1
84	波东哈	1
85	楚天霸	1
86	秦沐白	1
87	宁素心	1
88	墨枢	1
89	穆麟	1
90	唐无心	1
91	B14	1
92	B15	1
93	B16	1
94	B17	1
95	B18	1
96	金钱豹	1
97	黑翼猎鹰	1
98	武林恶徒	1
99	猛虎	1
100	枫林卫	1
101	猿猴	1
102	铁面捕头	1
103	红衣女童	1
104	铸剑师	1
105	猎人	1
106	红缨侍	1
107	强盗	1
108	药王谷弟子	1
109	灰狼	1
110	东瀛忍者	1
111	生使	1
112	死侍	1
113	火狐	1
114	九幽弟子	1
115	黑熊	1
116	无忧教弟子	1
117	天工匠者	1
118	傀儡士兵	1
119	机关人	1
120	C25	1
121	C26	1
122	C27	1
123	C28	1
124	C29	1
125	C30	1
