nPartnerId	Name	nUiEffectId	nAwarenessSkillId	nNeedSeveranceItem	bNeedWeapon	nCost1	nCost2	nCost3	nCost4	nCost5
1	达摩	1	3272	600	1	4	6	144	5	7
2	后羿	2	3273	300	1	17	18	19	21	20
3	苏妲己	2	3273	300	1	17	18	19	21	20
4	鬼谷子	1	3272	300	1	13	14	19	21	18
8	吕洞宾	2	3273	300	1	17	18	19	21	20
9	张三丰	1	3272	600	1	4	6	144	5	7
10	西施	2	3273	300	1	17	18	19	21	20
6	秦始皇	1	3272	300	1	17	18	19	21	22
144	完颜洪烈	1	3272	300	1	11	12	13	14	20
5	项羽	2	3273	300	1	17	18	19	21	20
7	武则天	1	3272	300	1	11	12	13	14	22
11	独孤剑	2	3273	75	1	38	41	49	51	24
12	南宫飞云	2	3273	75	1	39	40	50	58	55
13	杨影枫	2	3273	75	1	37	42	56	36	23
14	唐简	2	3273	75	1	40	39	42	41	37
17	李元霸	2	3273	75	1	46	40	24	51	23
18	赵云	2	3273	75	1	48	39	25	52	56
19	李广	2	3273	75	1	47	38	27	55	54
20	荆轲	2	3273	75	1	45	42	29	50	57
21	虞姬	2	3273	75	1	44	41	26	53	58
22	岳飞	2	3273	75	1	43	37	28	49	36
23	月眉儿	2	3273	25	0	60	59	77	78	80
24	杨瑛	2	3273	25	0	61	83	81	82	84
26	清晓师太	2	3273	25	0	63	93	59	83	89
25	祝子虚	2	3273	25	0	62	76	79	85	94
27	黄暮云	2	3273	25	0	64	86	80	81	88
28	道一真人	2	3273	25	0	65	82	84	95	90
29	端木睿	2	3273	25	0	66	86	76	92	79
36	孟知秋	2	3273	25	0	78	60	79	59	77
37	高长恭	2	3273	25	0	65	60	59	77	74
38	哲别	2	3273	25	0	64	78	61	66	75
39	秦良玉	2	3273	25	0	62	66	61	65	83
40	袁承志	2	3273	25	0	61	63	64	62	84
41	鳌拜	2	3273	25	0	63	76	79	65	80
42	韩世忠	2	3273	25	0	66	64	62	63	73
145	冰鳞蜥皇	3	3274	25	0	74	73	61	95	87
146	银钩蝎皇	3	3274	25	0	73	74	64	94	85
147	狂鬃獒皇	4	3275	25	0	73	75	62	89	93
43	赤睛虎皇	3	3274	25	0	74	73	65	92	88
44	撼天熊皇	3	3274	25	0	73	74	63	90	91
45	紫背鳄皇	4	3275	25	0	73	75	66	85	94
46	定海金刚	3	3274	25	0	75	73	61	95	87
47	金翅鹏皇	3	3274	25	0	75	74	64	94	85
48	银角犀皇	3	3274	25	0	74	75	62	89	93
49	张风	2	3273	25	0	82	83	81	95	84
50	南宫灭	2	3273	25	0	92	90	91	87	88
51	方勉	2	3273	25	0	87	76	86	91	93
52	唐影	2	3273	25	0	60	76	77	79	94
53	秋依水	2	3273	25	0	83	89	93	95	84
54	天星道长	2	3273	25	0	78	87	80	81	82
55	燕若雪	2	3273	25	0	86	88	92	89	85
56	杨熙烈	2	3273	25	0	90	91	92	87	86
57	上官飞龙	2	3273	25	0	95	94	93	82	81
58	纳兰潜凛	2	3273	25	0	80	59	60	77	78
