nType	nEventId	szInfo	Desc
1	1	你没事吧？小心一些！	ID=1表示生命值低于50%时的喊话
1	1	这些敌人倒是有些本事……	
1	2	小心！我来帮你！	ID=2表示生命值低于20%时的喊话
1	2	快退后！交给我来处理！	
1	100	这里似乎隐隐透出一股危险的味道……	ID=100表示每30秒的随机喊话
1	100	这里好像危机四伏，你要小心点！	小殷方
2	1	给我住手！不准再伤害他了！你的对手是我！	小殷方
2	2	你快走！接下来的就交给我殷方好了！	小殷方
2	100	我是不是很厉害？哎，没办法，天资高就是不一样！我才学剑一年哦！	小殷方
2	100	啧啧，是不是很想学我的剑法呀？嗯，带上烧酒烤鸡，今晚午夜后山！	小殷方
2	100	冲啊！消灭这些邪魔外道！记住我，我叫殷方！	小殷方
3	1	你怎么样？若是身体不适，不妨先休息一…莫要生气，我只是担心你…	纳兰真
3	1	你……为何要这般逞强？明明已有伤在身……	纳兰真
3	2	不要！好多血……这可如何是好……我这便为你治疗！	纳兰真
3	100	你瞧这附近的光景，倒也不错，只可惜我们并非来闲游的……	纳兰真
3	100	若是我的医术能再高明一些便好了，这样你就可以更尽情施展……	纳兰真
3	100	你要加油哦！若是你的话，将来必定能够成为武林中的大侠！	纳兰真
4	1	你、你没事吧？哼！小小伤口，就当做成为强者路上的历练吧！	少年杨影枫
4	2	你的伤很严重，此处交由我来，你先打坐养伤！	少年杨影枫
4	100	我定要继承爹爹的志向，成为武功天下第一的人！	少年杨影枫
4	100	上官飞龙…可以与我爹爹匹敌的人，不知未来我的对手是谁！	少年杨影枫
4	100	唉，这一式「烈火情天」我已练了许久，却总是气势不足。	少年杨影枫
5	1	你没受伤吧？若是坚持不住，就叫给我好了！	月眉儿
5	1	怎么样？来，再坚持坚持就好了！	月眉儿
5	2	你受的伤很重，快退下，这里交给我！	月眉儿
5	2	你受的伤不轻，若是坚持不住，便休息片刻！	月眉儿
5	100	哼，我飞龙堡纵横天下数十载，什么危险的地方没去过？	月眉儿
5	100	杀父之仇，岂可不报？然而心中之情……又如何放得下……	月眉儿
6	100	老子就是蚩尤，虽然我长得比较像别的！但我依然无敌帅一生！	蚩尤！
7	100	我可以射日！但我依然无敌帅一生！	后羿！
8	100	我美么！但我依然无敌帅一生！	苏妲己！
9	100	老夫算尽天下！但我依然无敌帅一生！	鬼谷子！
10	100	我依然无敌帅一生！	通用！
