Id	Info	Name	szGrowthType	Value	ShowTimeFrame	Series	AiType	GrowthType	QualityLevel	NpcTemplateId	BYNpcTemplateId	BaseSkillId	Skill1	Skill2	Skill3	ExtSkill1	ExtSkill2	ExtSkill3	ExtSkill4	ExtSkill5	ValueLimit	Hide	version_tx	version_vn	version_kor	version_hk	version_xm	version_en	version_th
1	SSS级同伴	蚩尤	近战	18000000		4	1	1	1	279	2175	1270	2930	2613	1278														
2	SSS级同伴	后羿	远程	18000000		5	1	1	1	280	2176	1270	2930	2614	1278														
3	SSS级同伴	苏妲己	远程	18000000		2	1	1	1	281	2177	1270	2930	2615	1278														
4	SSS级同伴	鬼谷子	远程	18000000	OpenLevel139	1	2	16	1	282		3926	2931	3266	3928														
5	SSS级同伴	项羽	近战、控制	18000000	OpenDay353	4	10	12	1	283	2179	3901	2939	3269	3902														
6	SSS级同伴	秦始皇	远程、输出	18000000	OpenDay204	5	12	5	1	284	2180	3223	2941	3270	3225														
144	SSS级同伴	完颜洪烈	远程、输出	18000000	OpenDay279	2	6	11	1	2231	2232	3281	2935	3267	3283														
7	SSS级同伴	武则天	远程、辅助	18000000	OpenLevel129	3	3	8	1	285	2181	3920	2932	3268	3921														
8	SSS级同伴	吕洞宾	近战	18000000		1	1	1	1	286	2182	1270	2930	2620	1278														
9	SSS级同伴	张三丰	远程	18000000		2	1	1	1	287	2183	1270	2930	2621	953														
10	SSS级同伴	西施	远程	18000000		3	1	1	1	288	2184	1270	2930	2622	1278														
11	SS级同伴	独孤剑	近战、输出	6000000		1	12	5	2	289	1736	2671	2941	2613	2672														
12	SS级同伴	南宫飞云	远程、控制	6000000		3	7	8	2	290	1737	2850	2936	2620	2851														
13	SS级同伴	杨影枫	近战、高闪	6000000		4	3	12	2	291	1738	2870	2932	2624	2871														
14	SS级同伴	唐简	远程、输出	6000000	OpenLevel109	2	7	9	2	292	2225	3276	2936	2623	3278														
15	SS级同伴	玄天道人	远程	6000000		5	1	10	2	293	1739	2853	2930	2622	2854							1	1	1	1	1	1	1	1
16	SS级同伴	SS6	近战	6000000		2	1	11	2	294		2870	2930	2621	2871							1	1	1	1	1	1	1	1
17	SS级同伴，历代名将	李元霸	近战、控制	6000000	OpenDay128	1	11	7	2	295	1740	3201	2940	2619	3202														
18	SS级同伴，历代名将	赵云	近战、输出	6000000	OpenDay128	2	2	3	2	296	1741	3204	2931	2615	3205														
19	SS级同伴，历代名将	李广	远程、控制	6000000	OpenDay128	4	4	4	2	297	2702	3208	2933	2616	3209														
20	SS级同伴，历代名将	荆轲	近战、暴发	6000000	OpenDay52	4	4	6	2	298	1742	1779	2933	2618	1780														
21	SS级同伴，历代名将	虞姬	远程、辅助	6000000	OpenDay52	3	13	2	2	1344	1743	2856	2942	2614	2857														
22	SS级同伴，历代名将	岳飞	远程、辅助	6000000	OpenDay52	5	5	5	2	1345	1744	1771	2934	2617	1772														
23	S级同伴	月眉儿	远程、控制	1500000		3	2	8	3	299	1458	2641	2931	2620	2642														
24	S级同伴，天王掌门	杨瑛	近战、控制	1500000		1	3	1	3	300	1459	1111	2932	2613	1115														
25	S级同伴，逍遥掌门	祝子虚	近战、控制	1500000		2	2	3	3	301	1460	1234	2931	2615	1238														
26	S级同伴，峨嵋掌门	清晓师太	远程、辅助	1500000		3	9	2	3	302	1461	1140	2938	2614	1144														
27	S级同伴，桃花掌门	黄暮云	远程、均衡	1500000		4	3	4	3	303	1462	1191	2932	2616	1195														
28	S级同伴，武当掌门	道一真人	远程、控制	1500000		5	4	5	3	304	1463	2809	2933	2617	2813														
