nQuestionId	szQuestion	szAnswer1	szAnswer2	szAnswer3	szAnswer4	szAnswer5	szAnswer6	szAnswer7	szAnswer8
1	我最喜欢下列哪个角色？	独孤剑	杨影枫	南宫飞云	张如梦	紫轩	纳兰真	月眉儿	蔷薇
2	我最喜欢以下哪个门派？	昆仑	逍遥	桃花	五毒	藏剑	武当	天王	翠烟
3	我最喜欢以下哪个同伴？	完颜洪烈	武则天	项羽	秦始皇	荆轲	赵云	唐简	独孤剑
4	我最喜欢哪个历代名将？	李广	岳飞	荆轲	李元霸	鳌拜	哲别	韩世忠	赵云
5	我会选择以下哪个野外首领作为自己的坐骑？	寒玉鹿王	大地狼王	白眉猴王	双首异兽	九尾狐王	奔焰豹王	金翅鹏皇	定海金刚
6	我最喜欢以下哪个日常活动？	英雄挑战	惩恶任务	家族传功	野外修炼	阵法试炼	武神殿	商会任务	打坐冥想
7	我最喜欢以下哪个限时活动？	门派竞技	通天塔	宋金战场	白虎堂	家族运镖	家族烤火	武林盟主	心魔幻境
8	我最喜欢以下哪个系列的外装？	浮光系列	丝路流纱	樱落长空	墨芷幽兰	青竹觅影	君子如风	白玉琅环	千叶森罗
9	我最喜欢游戏中哪个节日的活动？	新年	双旦	腊八节	国庆节	情人节	清明节	师徒节	七夕节
10	我最喜欢以下哪个地图的景色？	临安城	襄阳城	忘忧岛	锁云渊	昆虚脉藏	剑门关	祁连山	残桓铁城
11	我更钟爱以下哪条属性？	体质	力量	敏捷	灵巧	命中	闪避	会心	吸取生命
12	我最喜欢以下哪种水果？	香蕉	苹果	葡萄	火龙果	菠萝	草莓	香梨	荔枝
13	我在游戏中无事可做的时候怎么消遣时间？	挂机烤火	看看风景	各种聊天	静静发呆	默默下线	四处助人	四处挑衅	一通乱逛
14	我最喜欢游戏中的哪项福利活动？	元宝大礼	每日礼包	一本万利	签到领奖	摇钱树	离线托管	奖励找回	都喜欢
15	我在游戏中更看重以下哪个排行榜？	家族	战力	等级	装备	同伴	武林荣誉	家园	魅力
16	我最看重哪个方面的成就？	闯荡江湖	情义江湖	神兵宝甲	江湖福利	江湖历练	竞技比武	攻城夺宝	都看重
17	我最喜欢以下哪种负面效果？	受伤	眩晕	迟缓	致缠	麻痹	会心	都喜欢	减抗
18	我最喜欢下列哪个角色？	南宫灭	紫轩	纳兰真	月眉儿	蔷薇	方勉	完颜洪烈	耶律辟邪
19	我最喜欢以下哪个门派？	昆仑	丐帮	天山	峨嵋	长歌	唐门	少林	天忍
20	我最喜欢以下哪个日常活动？	凌绝峰	藏宝图	家族传功	野外修炼	山贼密窟	武神殿	商会任务	打坐冥想
21	我最喜欢以下哪个限时活动？	群英会	通天塔	历代名将	秦始皇陵	始皇降世	攻城战	家族试炼	心魔幻境
22	我最近元宝消耗在哪个方面最多？	强化	镶嵌	装备基础	家园	真元	同伴	经脉	头衔
23	我的元宝消耗在哪个途径最多？	拍卖行	摆摊	奖励找回	离线托管	摇钱树	同伴招募	珍宝阁	家族捐献
24	我的最亲密的人是什么关系？	师父	徒弟	仅是好友	结拜	侠侣	夫妻	敌人	仅同家族
25	我认为以下哪个方面能力最有用？	强化	镶嵌	装备基础	家园	真元	同伴	经脉	头衔
