nMapTemplateId	szPos
304	2750;3987|4838;7784|8968;9932|7350;4047|10436;9327|11435;13367|8787;5893|6850;8586|2403;8646
305	3876;2845|9319;3580|7819;2089|8214;8165|5482;7361|2746;8245|3422;6935|4657;5050|9295;2080
303	1919;2497|2740;1586|5346;2260|7162;3212|6576;2258|5837;6289|2890;4724|2257;5811
211	4572;1961|3410;1579|2525;1909|2109;2978|4017;3699|3093;4052
212	2877;1955|1677;3779|4724;5664|3031;5526|5548;3494|3162;3201
213	1356;427|3273;1435|1506;1639|640;2190|3184;3144|2472;4492
214	2268;4522|3409;3139|5828;3768|4872;5353|4876;6833|4293;6116
215	2296;3305|3269;1957|5549;1960|6498;2792|5893;4515|5294;5478
224	2206;1472|1499;1980|2805;2551|1460;2874|2387;4049|5194;3928
225	2383;2224|2803;3526|4770;2938|3965;3879|3491;5032|5186;5615
226	3199;2025|3932;2504|3505;4040|3805;3725|2119;5317|1982;3239
228	1974;3072|4644;2474|2819;4037|4105;3997|3178;2190|4465;1798
