nQualityLevel	nLevel	nUpGradeExp	szReturn
1	1	3600	
1	2	5400	item|8366|14
1	3	7200	item|8366|21
1	4	9000	item|8366|28
1	5	10800	item|8366|36
1	6	12600	item|8366|43
1	7	14400	item|8366|50
1	8	16200	item|8366|57
1	9	18000	item|8366|64
1	10	999999	item|8366|72
2	1	1200	
2	2	1800	item|8365|9
2	3	2400	item|8365|14
2	4	3000	item|8365|19
2	5	3600	item|8365|24
2	6	4200	item|8365|28
2	7	4800	item|8365|33
2	8	5400	item|8365|38
2	9	6000	item|8365|43
2	10	999999	item|8365|48
3	1	300	
3	2	450	item|8363|4
3	3	600	item|8363|7
3	4	750	item|8363|9
3	5	900	item|8363|12
3	6	1050	item|8363|14
3	7	1200	item|8363|16
3	8	1350	item|8363|19
3	9	1500	item|8363|21
3	10	999999	item|8363|24
4	1	100	
4	2	150	item|8361|4
4	3	200	item|8361|6
4	4	250	item|8361|8
4	5	300	item|8361|10
4	6	350	item|8361|12
4	7	400	item|8361|14
4	8	450	item|8361|16
4	9	500	item|8361|18
4	10	999999	item|8361|20
5	1	40	
5	2	60	item|8360|3
5	3	80	item|8360|4
5	4	100	item|8360|6
5	5	120	item|8360|8
5	6	140	item|8360|9
5	7	160	item|8360|11
5	8	180	item|8360|12
5	9	200	item|8360|14
5	10	999999	item|8360|16
