Type	DrawLevel	IsFog	ShowPlayerCount
Windows	2	1	20
MI 4LTE	3	1	15
HM NOTE 1S	3	0	10
HM NOTE 1LTE	3	0	10
OPPO R7	3	0	10
REDMI NOTE 2	3	0	10
MI 3	3	0	10
HM 2A	3	0	10
2014501	3	0	10
M2 NOTE	3	0	10
MI 2S	3	0	10
VIVO X5PRO D	3	0	10
MI NOTE LTE	3	1	15
VIVO Y27	3	0	10
VIVO X5M	3	0	10
VIVO Y23L	3	0	10
M1 NOTE	3	0	10
R8207	3	0	10
F103	3	0	10
VIVO X5S L	3	0	10
A31	3	0	10
GT-N7100	3	0	10
2014011	3	0	10
VIVO X5MAX+	3	0	10
2014813	3	0	10
HM NOTE 1TD	3	0	10
MI 3W	3	0	10
H60-L01	3	0	10
MX4	3	0	10
MX5	3	1	15
SM-A7000	3	0	10
VIVO Y13L	3	0	10
HM 1S	3	0	10
R7PLUS	3	0	10
GT-I9500	3	0	10
VIVO Y33	3	0	10
MI 2SC	3	0	10
R7007	3	0	10
VIVO X3L	3	0	10
VIVO X5L	3	0	10
OPPO R7S	3	0	10
M2	3	0	10
R7PLUSM	3	0	10
HUAWEI MT7-TL10	3	0	10
R8007	3	0	10
2013022	3	0	10
OPPO R7SM	3	0	10
HUAWEI G750-T01	3	0	10
CHE1-CL10	3	0	10
MI 3C	3	0	10
1107	3	0	10
HM NOTE 1LTETD	3	0	10
SM-A5000	3	0	10
MI-4C	3	0	10
REDMI NOTE 3	3	0	10
X9007	3	0	10
R2017	3	0	10
LETV X500	3	1	15
SM-G9250	3	0	10
HUAWEI MT7-CL00	3	0	10
VIVO X6D	3	0	10
CHM-TL00H	3	0	10
SM-N9006	3	1	15
HUAWEI MT7-TL00	3	0	10
CHE2-TL00M	3	0	10
R6007	3	0	10
G621-TL00	3	0	10
VIVO X3T	3	0	10
SM-A8000	3	0	10
HUAWEI P7-L07	3	0	10
CHE1-CL20	3	0	10
SM-N9008V	3	1	15
MI 4W	3	0	10
MX4 PRO	3	0	10
VIVO Y29L	3	0	10
VIVO X5V	3	0	10
GT-I9300	3	0	10
COOLPAD 8675	3	0	10
M1	3	0	10
SM-N9009	3	1	15
2014811	3	0	10
VIVO X710L	3	0	10
R8107	3	0	10
R831S	3	0	10
SM-G9008V	3	0	10
A11	3	0	10
N5117	3	0	10
OPPO A33	3	0	10
CHE2-TL00	3	0	10
SM-G7106	3	0	10
SM-G5308W	3	0	10
A51	3	0	10
ALE-TL00	3	0	10
VIVO XPLAY3S	3	1	15
C8817D	3	0	10
VIVO Y13	3	0	10
3007	3	0	10
HUAWEI RIO-AL00	3	0	10
X600	3	0	10
MI 4C	3	0	10
HM 1SC	3	0	10
MI 5	3	1	15
