nId	szName	szAtlas	szIcon	nResId
1	霞光	UI/Atlas/Item/Item/PhotoItem01.prefab	SpecialEffects01	545001
2	蒲公英	UI/Atlas/Item/Item/PhotoItem01.prefab	SpecialEffects02	545002
3	落樱	UI/Atlas/Item/Item/PhotoItem01.prefab	SpecialEffects03	545003
4	律动	UI/Atlas/Item/Item/PhotoItem01.prefab	SpecialEffects04	545004
5	倾心	UI/Atlas/Item/Item/PhotoItem01.prefab	SpecialEffects05	545005
6	泡泡	UI/Atlas/Item/Item/PhotoItem01.prefab	SpecialEffects06	545006
7	蝴蝶	UI/Atlas/Item/Item/PhotoItem01.prefab	SpecialEffects08	545007
8	云朵	UI/Atlas/Item/Item/PhotoItem01.prefab	SpecialEffects07	545008
9	萤火虫	UI/Atlas/Item/Item/PhotoItem01.prefab	SpecialEffects09	545009
10	星光	UI/Atlas/Item/Item/PhotoItem01.prefab	SpecialEffects10	545010
