Type	TitleID	Name	Achievement	ColorDesc	ColorID	GTopColorID	GBottomColorID	OutlineColorID	Timeout	ImgAltlas	ImgPrefix	EffectResID	EffecUitResID	Rank	WorldNotify	Desc	Quality	Icon
null1	1	未使用							100					1		未使用的称号ID		
null2	2	未使用							100	UI/Atlas/SkillIcon/SkillIcon.prefab	TianwangSkill_0			1		未使用的称号ID		
null3	3	未使用							100			17		1		未使用的称号ID		
null4	4	未使用												1		未使用的称号ID		
null5	5	未使用												1		未使用的称号ID		
null6	6	未使用												1		未使用的称号ID		
null7	7	未使用												1		未使用的称号ID		
null8	8	未使用												1		未使用的称号ID		
punish_1	9	惩恶任务·喽啰		白色称号	200									1		惩恶任务	1	
punish_2	10	惩恶任务·喽啰		绿色称号	200	201	202	203						1		惩恶任务	2	
punish_3	11	惩恶任务·精英		蓝色称号	200	204	205	206						1		惩恶任务	3	
punish_4	12	惩恶任务·头目		紫色称号	200	207	208	209						1		惩恶任务	4	
punish_5	13	惩恶任务·头目		橙色称号	200	213	214	215						1		惩恶任务	6	
dota	14	大杀特杀		绿色称号	200	201	202	203						1		战场称号	2	
dota	15	接近暴走		蓝色称号	200	204	205	206						2		战场称号	3	
dota	16	无人可挡		紫色称号	200	207	208	209						3		战场称号	4	
dota	17	主宰战场		粉色称号	200	210	211	212						4		战场称号	5	
dota	18	接近神了		橙色称号	200	213	214	215						5		战场称号	6	
dota	19	超神		金色称号	200	216	217	218						6		战场称号	7	
CommerceTask1	20	未成熟		白色称号	200									1		商会采集物	1	
CommerceTask2	21	药草守卫		白色称号	200									1		商会守卫	1	
CommerceTask3	22	未装满		白色称号	200									1		聚餐采集物	1	
CommerceTask4	23																	
CommerceTask5	24																	
CommerceTask6	25																	
QYMJ	26	山贼头目		蓝色称号	200	204	205	206						1		山贼密窟NPC称号	3	
BHT	27	一层头目		蓝色称号	200	204	205	206						1		白虎堂NPC称号	3	
BHT	28	二层头目		蓝色称号	200	204	205	206						1		白虎堂NPC称号	3	
BHT	29	三层头目		蓝色称号	200	204	205	206						1		白虎堂NPC称号	3	
BHT	30	四层首领		紫色称号	200	207	208	209						1		白虎堂NPC称号	4	
biaoqing_1	6843	谈笑风生	Title_Normal;Title_Pink	粉色称号	200	210	211	212	7776000					1		在社区活动—表情包设计大赛中，取得第一名获得该称号	5
biaoqing_2	6844	忍俊不禁	Title_Normal;Title_Purple	紫色称号	200	207	208	209	7776000					1		在社区活动—表情包设计大赛中，成功入围获得该称号	4
InDifferShopNpc	31	童叟无欺		粉色称号	200	210	211	212						1		心魔幻境NPC称号	5	
FactionNpcTitle1	50	天王少帮主		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle2	51	少林首座		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle20	69	万花少谷主		粉色称号	200	210	211	212								门派Npc称号	5
FactionNpcTitle21	70	杨门少将军		粉色称号	200	210	211	212								门派Npc称号	5
FactionNpcTitle3	52	藏剑少掌门		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle4	53	逍遥少掌门		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle5	54	唐门少门主		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle6	55	五毒少掌门		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle7	56	峨嵋少掌门		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle8	57	翠烟少掌门		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle9	58	天山少掌门		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle10	59	桃花少岛主		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle11	60	天忍少教主		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle12	61	丐帮传功长老		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle13	62	武当少掌门		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle14	63	昆仑少掌门		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle15	64	长歌少掌门		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle16	65	霸刀少门主		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle17	66	华山少掌门		粉色称号	200	210	211	212								门派Npc称号	5	
FactionNpcTitle18	67	明教少掌门		粉色称号	200	210	211	212								门派Npc称号	5
FactionNpcTitle19	68	段氏少主		粉色称号	200	210	211	212								门派Npc称号	5
citynpc1	100	唐门侠少		蓝色称号	200	204	205	206						1		城市npc称号	3	
citynpc2	101	江湖女侠		蓝色称号	200	204	205	206						1		城市npc称号	3	
citynpc3	102	皇城守卫		绿色称号	200	201	202	203						1		城市npc称号	2	
citynpc4	103	活动接引人		粉色称号	200	210	211	212						1		城市npc称号	5	
citynpc5	104	清丽佳人		绿色称号	200	201	202	203						1		城市npc称号	2	
citynpc6	105	战场演练		绿色称号	200	201	202	203						1		城市npc称号	2	
citynpc7	106	偷偷摸摸		绿色称号	200	201	202	203						1		城市npc称号	2	
citynpc8	107	铸剑师		蓝色称号	200	204	205	206						1		城市npc称号	3	
citynpc9	108	武林新秀		蓝色称号	200	204	205	206						1		城市npc称号	3	
citynpc10	109	商会任务		粉色称号	200	210	211	212						1		城市npc称号	5	
citynpc11	110	隐香楼老板		蓝色称号	200	204	205	206									3	
citynpc12	111	藏剑公子		蓝色称号	200	204	205	206									3	
citynpc13	112	枫叶明珠		蓝色称号	200	204	205	206									3	
citynpc14	113	悲魔剑圣		紫色称号	200	207	208	209									4	
citynpc15	114	武林盟主		紫色称号	200	207	208	209									4	
citynpc16	115	比武场接引人		粉色称号	200	210	211	212									5	
citynpc17	116	擂台报名人		粉色称号	200	210	211	212									5	
citynpc18	117	忘忧酒馆掌柜		紫色称号	200	207	208	209									4	
citynpc19	118	卖船票的小姑娘		粉色称号	200	210	211	212						1		情人节Npc称号	5	
citynpc20	119	花使		紫色称号	200	207	208	209						1		植树节Npc称号	4	
citynpc21	120	家园管理员		粉色称号	200	210	211	212								家园管理员NPC	5	
citynpc22	121	选美大会司仪		粉色称号	200	210	211	212								武林第一美女评选NPC	5	
citynpc23	122	商会少当家		蓝色称号	200	204	205	206						1			3	
citynpc24	123	桃花岛主		紫色称号	200	207	208	209								概率展示NPC	4	
citynpc25	124	婚礼商人		粉色称号	200	210	211	212								凤囍称号	5	
citynpc26	125	婚礼司仪		粉色称号	200	210	211	212								月老称号	5	
citynpc27	126	媒人		粉色称号	200	210	211	212								红娘称号	5	
citynpc28	127	义军统帅		紫色称号	200	207	208	209									4	
