nGroup	nIndex	nLevel	nAwardGold	nDay	version_tx	version_vn	version_hk	version_xm	version_en	version_kor	version_th
1	1	0	1240		1	1			1		1
1	2	30	800		1	1			1		1
1	3	35	800		1	1			1		1
1	4	40	800		1	1			1		1
1	5	45	800		1	1			1		1
1	6	50	800		1	1			1		1
1	7	55	800		1	1			1		1
1	8	60	1000		1	1			1		1
1	1	0	1000				1				
1	2	30	800				1				
1	3	35	800				1				
1	4	40	1000				1				
1	5	45	1000				1				
1	6	50	1000				1				
1	7	55	1200				1				
1	8	60	1200				1				
1	1	0	1480					1			
1	2	30	800					1			
1	3	35	800					1			
1	4	40	800					1			
1	5	45	800					1			
1	6	50	800					1			
1	7	55	800					1			
1	8	60	1000					1			
1	1	0	1340							1	
1	2	30	500							1	
1	3	35	500							1	
1	4	40	500							1	
1	5	45	800							1	
1	6	50	800							1	
1	7	55	800							1	
1	8	60	1000							1	
2	1	65	1960		1				1		1
2	2	70	980		1				1		1
2	3	75	1960		1				1		1
2	4	80	980		1				1		1
2	5	85	1960		1				1		1
2	1	65	1500				1				
2	2	70	1000				1				
2	3	75	2000				1				
2	4	80	1500				1				
2	5	85	2000				1				
2	1	65	1960					1			
2	2	70	980					1			
2	3	75	1960					1			
2	4	80	980					1			
2	5	85	1960					1			
2	1	65	1960			1					
2	2	70	980			1					
2	3	75	1560			1					
2	4	80	980			1					
2	5	85	1560			1					
2	1	65	1700							1	
2	2	70	1000							1	
2	3	75	1000							1	
2	4	80	1500							1	
2	5	85	2000							1	
3	1	90	2160		1				1		1
3	2	93	1080		1				1		1
3	3	96	2160		1				1		1
3	4	98	1080		1				1		1
3	5	100	2160		1				1		1
3	1	90	2000				1				
3	2	93	1400				1				
3	3	96	1800				1				
3	4	98	1800				1				
3	5	100	2000				1				
3	1	90	2100					1			
3	2	93	1020					1			
3	3	96	2100					1			
3	4	98	1080					1			
3	5	100	2100					1			
3	1	90	1960			1					
3	2	93	980			1					
3	3	96	1560			1					
3	4	98	980			1					
3	5	100	1560			1					
3	1	90	2180							1	
3	2	93	1000							1	
3	3	96	1000							1	
3	4	98	1500							1	
3	5	100	2000							1	
4	1	0	500	1	1		1		1	1	1
4	2	1	600	3	1		1		1	1	1
4	3	1	600	5	1		1		1	1	1
4	4	1	700	8	1		1		1	1	1
4	5	1	700	10	1		1		1	1	1
4	6	1	800	12	1		1		1	1	1
4	7	1	800	14	1		1		1	1	1
4	8	1	900	16	1		1		1	1	1
4	9	1	900	18	1		1		1	1	1
4	10	1	1000	20	1		1		1	1	1
4	11	1	1200	22	1		1		1	1	1
4	12	1	1500	24	1		1		1	1	1
4	13	1	1500	26	1		1		1	1	1
4	14	1	2000	30	1		1		1	1	1
4	1	0	800	1		1					
4	2	1	400	3		1					
4	3	1	400	5		1					
4	4	1	400	7		1					
4	5	1	400	9		1					
4	6	1	400	11		1					
4	7	1	400	13		1					
4	8	1	400	15		1					
4	9	1	400	17		1					
4	10	1	400	19		1					
4	11	1	400	21		1					
4	12	1	400	23		1					
4	13	1	400	25		1					
4	14	1	800	27		1					
4	1	0	1000	1				1			
4	2	1	600	3				1			
4	3	1	600	5				1			
4	4	1	600	7				1			
4	5	1	600	9				1			
4	6	1	600	11				1			
4	7	1	600	13				1			
4	8	1	600	15				1			
4	9	1	600	17				1			
4	10	1	600	19				1			
4	11	1	600	21				1			
4	12	1	600	23				1			
4	13	1	600	25				1			
4	14	1	800	27				1			
5	1	100	2160		1			1	1		1
5	2	103	1080		1			1	1		1
5	3	106	2160		1			1	1		1
5	4	108	1080		1			1	1		1
5	5	110	2160		1			1	1		1
5	1	100	2000				1				
5	2	103	1400				1				
5	3	106	1800				1				
5	4	108	1800				1				
5	5	110	2000				1				
5	1	100	1960			1					
5	2	103	980			1					
5	3	106	1560			1					
5	4	108	980			1					
5	5	110	1560			1					
5	1	100	2180							1	
5	2	103	1000							1	
5	3	106	1000							1	
5	4	108	1500							1	
5	5	110	2000							1	
6	1	110	2160		1		1	1	1		1
6	2	113	1080		1		1	1	1		1
6	3	116	2160		1		1	1	1		1
6	4	118	1080		1		1	1	1		1
6	5	120	2160		1		1	1	1		1
6	1	110	1960			1					
6	2	113	980			1					
6	3	116	1560			1					
6	4	118	980			1					
6	5	120	1560			1					
6	1	110	2180							1	
6	2	113	1000							1	
6	3	116	1000							1	
6	4	118	1500							1	
6	5	120	2000							1	
7	1	0	1000	1	1		1	1	1	1	1
7	2	1	600	3	1		1	1	1	1	1
7	3	1	600	5	1		1	1	1	1	1
