szGroup	nTaskCount	nAddExp	szDes
Boss	1	5	参加一次武林盟主活动
Boss	4	10	单次武林盟主活动中对盟主发起4次挑战
WhiteTiger	4	25	白虎堂中进入4层
WhiteTiger	5	25	白虎堂中进入5层
BossLeader_Boss	1	35	参加一次历代名将活动
BossLeader_Boss	3	40	单次历代名将活动中参与攻击3个名将
CommerceTask	1	10	完成一次商会任务
CommerceTask	2	30	完美完成一次商会任务
BossLeader_Leader	1	10	参加一次野外首领活动
BossLeader_Leader	3	10	单次野外首领活动中参与攻击3个首领
InDifferBattle	1	40	参加一次心魔幻境/绝地活动
InDifferBattle	2	40	心魔幻境/绝地中达到优秀及以上评价
Battle	1	25	参加一次宋金战场
Battle	2	30	参加一次宋金战场且最终排名进入前10
KinGather	1	10	参加一次家族烤火
KinGather	2	25	参加一次家族烤火且答对四道题
