nId	nHouse	nQuality	szQualityName	szName	nItem1Id	nItem2Id	nItem3Id	nRate1	nRate2	nRate3	szMoneyType	nPrice
1	7	2	2阶	T2武器(未鉴定）	1023	1613	1123	1	1	98	Contrib	7000
2	7	2	2阶	T2衣服(未鉴定）	1083	1661	1183	1	1	98	Contrib	4200
3	7	3	3阶	T3武器(未鉴定）	1024	1614	1124	1	1	98	Contrib	14000
4	7	3	3阶	T3衣服(未鉴定）	1084	1662	1184	1	1	98	Contrib	8400
5	7	4	4阶	T4武器(未鉴定）	1025	1615	1125	1	1	98	Contrib	35000
6	7	4	4阶	T4衣服(未鉴定）	1085	1663	1185	1	1	98	Contrib	21000
7	7	5	5阶	T5武器(未鉴定）	1026	1616	1126	1	1	98	Contrib	84000
8	7	5	5阶	T5衣服(未鉴定）	1086	1664	1186	1	1	98	Contrib	50400
9	7	6	6阶	T6武器(未鉴定）	1027	1617	1127	1	1	98	Contrib	105000
10	7	6	6阶	T6衣服(未鉴定）	1087	1665	1187	1	1	98	Contrib	63000
11	7	7	7阶	T7武器(未鉴定）	1028	1618	1128	1	1	98	Contrib	140000
12	7	7	7阶	T7衣服(未鉴定）	1088	1666	1188	1	1	98	Contrib	84000
13	7	8	8阶	T8武器(未鉴定）	1029	1619	1129	1	1	98	Contrib	189000
14	7	8	8阶	T8衣服(未鉴定）	1089	1667	1189	1	1	98	Contrib	113400
15	7	9	9阶	T9武器(未鉴定）	1030	3647	1130	1	1	98	Contrib	252000
16	7	9	9阶	T9衣服(未鉴定）	1090	3659	1190	1	1	98	Contrib	151200
17	7	10	10阶	T10武器(未鉴定）	1031	3648	1131	1	1	98	Contrib	315000
18	7	10	10阶	T10衣服(未鉴定）	1091	3660	1191	1	1	98	Contrib	189000
19	7	11	11阶	T11武器(未鉴定）	5441	5661	5561	1	1	98	Contrib	393750
20	7	11	11阶	T11衣服(未鉴定）	5521	5721	5621	1	1	98	Contrib	236250
21	7	12	12阶	T12武器(未鉴定）	5442	5662	5562	1	1	98	Contrib	455000
22	7	12	12阶	T12衣服(未鉴定）	5522	5722	5622	1	1	98	Contrib	273000
23	7	13	13阶	T13武器(未鉴定）	5443	5663	5563	1	1	98	Contrib	519750
24	7	13	13阶	T13衣服(未鉴定）	5523	5723	5623	1	1	98	Contrib	311850
25	7	14	14阶	T14武器(未鉴定）	5444	5664	5564	1	1	98	Contrib	597660
26	7	14	14阶	T14衣服(未鉴定）	5524	5724	5624	1	1	98	Contrib	358610
27	7	15	15阶	T15武器(未鉴定）	5445	5665	5565	1	1	98	Contrib	686000
28	7	15	15阶	T15衣服(未鉴定）	5525	5725	5625	1	1	98	Contrib	411600
29	7	16	16阶	T16武器(未鉴定）	5446	5666	5566	1	1	98	Contrib	788900
30	7	16	16阶	T16衣服(未鉴定）	5526	5726	5626	1	1	98	Contrib	473340
31	7	17	17阶	T17武器(未鉴定）	5447	5667	5567	1	1	98	Contrib	868000
32	7	17	17阶	T17衣服(未鉴定）	5527	5727	5627	1	1	98	Contrib	520800
33	7	18	18阶	T18武器(未鉴定）	5448	5668	5568	75	20	5	Contrib	138750
34	7	18	18阶	T18衣服(未鉴定）	5528	5728	5628	75	20	5	Contrib	83250
35	8	2	2阶	T2项链(未鉴定）	1033	1621	1133	75	20	5	Contrib	400
36	8	2	2阶	T2戒指(未鉴定）	1043	1629	1143	75	20	5	Contrib	400
37	8	2	2阶	T2玉佩(未鉴定）	1053	1637	1153	75	20	5	Contrib	400
38	8	2	2阶	T2护身符(未鉴定）	1063	1645	1163	75	20	5	Contrib	400
39	8	3	3阶	T3项链(未鉴定）	1034	1622	1134	75	20	5	Contrib	800
40	8	3	3阶	T3戒指(未鉴定）	1044	1630	1144	75	20	5	Contrib	800
41	8	3	3阶	T3玉佩(未鉴定）	1054	1638	1154	75	20	5	Contrib	800
42	8	3	3阶	T3护身符(未鉴定）	1064	1646	1164	75	20	5	Contrib	800
43	8	4	4阶	T4项链(未鉴定）	1035	1623	1135	75	20	5	Contrib	2000
44	8	4	4阶	T4戒指(未鉴定）	1045	1631	1145	75	20	5	Contrib	2000
45	8	4	4阶	T4玉佩(未鉴定）	1055	1639	1155	75	20	5	Contrib	2000
46	8	4	4阶	T4护身符(未鉴定）	1065	1647	1165	75	20	5	Contrib	2000
47	8	5	5阶	T5项链(未鉴定）	1036	1624	1136	75	20	5	Contrib	4800
48	8	5	5阶	T5戒指(未鉴定）	1046	1632	1146	75	20	5	Contrib	4800
49	8	5	5阶	T5玉佩(未鉴定）	1056	1640	1156	75	20	5	Contrib	4800
50	8	5	5阶	T5护身符(未鉴定）	1066	1648	1166	75	20	5	Contrib	4800
51	8	6	6阶	T6项链(未鉴定）	1037	1625	1137	75	20	5	Contrib	6000
52	8	6	6阶	T6戒指(未鉴定）	1047	1633	1147	75	20	5	Contrib	6000
53	8	6	6阶	T6玉佩(未鉴定）	1057	1641	1157	75	20	5	Contrib	6000
54	8	6	6阶	T6护身符(未鉴定）	1067	1649	1167	75	20	5	Contrib	6000
55	8	7	7阶	T7项链(未鉴定）	1038	1626	1138	75	20	5	Contrib	8000
56	8	7	7阶	T7戒指(未鉴定）	1048	1634	1148	75	20	5	Contrib	8000
57	8	7	7阶	T7玉佩(未鉴定）	1058	1642	1158	75	20	5	Contrib	8000
58	8	7	7阶	T7护身符(未鉴定）	1068	1650	1168	75	20	5	Contrib	8000
59	8	8	8阶	T8项链(未鉴定）	1039	1627	1139	75	20	5	Contrib	10800
60	8	8	8阶	T8戒指(未鉴定）	1049	1635	1149	75	20	5	Contrib	10800
61	8	8	8阶	T8玉佩(未鉴定）	1059	1643	1159	75	20	5	Contrib	10800
62	8	8	8阶	T8护身符(未鉴定）	1069	1651	1169	75	20	5	Contrib	10800
63	8	9	9阶	T9项链(未鉴定）	1040	3649	1140	75	20	5	Contrib	14400
64	8	9	9阶	T9戒指(未鉴定）	1050	3651	1150	75	20	5	Contrib	14400
65	8	9	9阶	T9玉佩(未鉴定）	1060	3653	1160	75	20	5	Contrib	14400
66	8	9	9阶	T9护身符(未鉴定）	1070	3655	1170	75	20	5	Contrib	14400
67	8	10	10阶	T10项链(未鉴定）	1041	3650	1141	75	20	5	Contrib	18000
68	8	10	10阶	T10戒指(未鉴定）	1051	3652	1151	75	20	5	Contrib	18000
69	8	10	10阶	T10玉佩(未鉴定）	1061	3654	1161	75	20	5	Contrib	18000
70	8	10	10阶	T10护身符(未鉴定）	1071	3656	1171	75	20	5	Contrib	18000
71	8	11	11阶	T11项链(未鉴定）	5471	5671	5571	75	20	5	Contrib	22500
72	8	11	11阶	T11戒指(未鉴定）	5481	5681	5581	75	20	5	Contrib	22500
73	8	11	11阶	T11玉佩(未鉴定）	5491	5691	5591	75	20	5	Contrib	22500
74	8	11	11阶	T11护身符(未鉴定）	5501	5701	5601	75	20	5	Contrib	22500
75	8	12	12阶	T12项链(未鉴定）	5472	5672	5572	75	20	5	Contrib	26000
76	8	12	12阶	T12戒指(未鉴定）	5482	5682	5582	75	20	5	Contrib	26000
77	8	12	12阶	T12玉佩(未鉴定）	5492	5692	5592	75	20	5	Contrib	26000
78	8	12	12阶	T12护身符(未鉴定）	5502	5702	5602	75	20	5	Contrib	26000
79	8	13	13阶	T13项链(未鉴定）	5473	5673	5573	75	20	5	Contrib	29700
80	8	13	13阶	T13戒指(未鉴定）	5483	5683	5583	75	20	5	Contrib	29700
81	8	13	13阶	T13玉佩(未鉴定）	5493	5693	5593	75	20	5	Contrib	29700
82	8	13	13阶	T13护身符(未鉴定）	5503	5703	5603	75	20	5	Contrib	29700
83	8	14	14阶	T14项链(未鉴定）	5474	5674	5574	75	20	5	Contrib	34150
84	8	14	14阶	T14戒指(未鉴定）	5484	5684	5584	75	20	5	Contrib	34150
85	8	14	14阶	T14玉佩(未鉴定）	5494	5694	5594	75	20	5	Contrib	34150
86	8	14	14阶	T14护身符(未鉴定）	5504	5704	5604	75	20	5	Contrib	34150
87	8	15	15阶	T15项链(未鉴定）	5475	5675	5575	75	20	5	Contrib	39200
88	8	15	15阶	T15戒指(未鉴定）	5485	5685	5585	75	20	5	Contrib	39200
89	8	15	15阶	T15玉佩(未鉴定）	5495	5695	5595	75	20	5	Contrib	39200
90	8	15	15阶	T15护身符(未鉴定）	5505	5705	5605	75	20	5	Contrib	39200
91	8	16	16阶	T16项链(未鉴定）	5476	5676	5576	75	20	5	Contrib	45080
92	8	16	16阶	T16戒指(未鉴定）	5486	5686	5586	75	20	5	Contrib	45080
93	8	16	16阶	T16玉佩(未鉴定）	5496	5696	5596	75	20	5	Contrib	45080
94	8	16	16阶	T16护身符(未鉴定）	5506	5706	5606	75	20	5	Contrib	45080
95	8	17	17阶	T17项链(未鉴定）	5477	5677	5577	75	20	5	Contrib	49600
96	8	17	17阶	T17戒指(未鉴定）	5487	5687	5587	75	20	5	Contrib	49600
