AutoName	AutoId	AutoType	CastPercent	CastSkillId	CastSkillLevel	ParentSkillId	RelativeSkillStyle	TargetStateStyle	MinPerCastTime	MaxCastCount	Param1	Param2
同伴.护主	1	16	100	2606	-1					-1		
同伴.初级反击	2	1	40	1986	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold			-1		
同伴.中级反击	3	1	40	1989	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold			-1		
同伴.高级反击	4	1	50	1992	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold			-1		
枯木逢春	5	14	50	937	-1				15*15	-1		
涅槃重生	6	14	50	939	-1				15*15	-1		
全屏中毒	7	6	100	1882	-1				30	-1		
嗜血	8	18	{1,100},{10,100}	2609	-1					-1		
镇狱破天劲	9	20	{1,100},{10,100}	2872	-1					-1		
黄沙步法	10	17	{1,50},{10,50}	2546	-1				15*10	-1		
忠贯白日	11	8	{1,100},{10,100}	1773	-1					-1		
诀别	12	5	{1,100},{10,100}	2878	-1					-1		
暗影刺	13	15	{1,100},{10,100}	1781	-1					-1		
全屏火焰光环	14	6	100	2945	-1				30	-1		
权倾天下-死亡给BUFF	15	5	{1,100},{10,100}	3012	-1					1		
权倾天下-死亡给BUF_免	16	6	{1,100},{10,100}	3013	-1				{1,15*2},{10,15*2}	10		
唤醒-死亡清除	17	5	{1,100},{10,100}	3068	-1					1		
召唤赤蝎-死亡清除	18	5	{1,100},{10,100}	3072	-1					1		
镇狱破天劲	19	20	{1,100},{10,100}	1766	-1				120	-1		
旋风陷阱	20	6	{1,100},{10,100}	3107	-1				15	-1		
天王.破釜沉舟.残血无敌回血	21	4	{1,40},{10,90},{11,95}	219	-1				{1,15*40},{10,15*40}	-1		
天王.惊雷破天.被击叠加攻击力	22	1	100	241	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		3	-1		
少林.罗汉阵.受击反伤	23	1	{1,40},{10,60},{11,60}	274	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		3	-1		
少林.金刚怒目.残血保命	24	3	{1,40},{10,90},{11,95}	281	-1				{1,15*30},{10,15*30}	-1		
少林.立地成佛.受击叠加抗性	25	1	100	279	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		3	-1		
固若金汤	26	6	{1,100},{10,100}	406	-2				1	1		
少林.罗汉金身.受击反击定身	27	13	{1,100},{10,100}	299	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		{1,15*6},{10,15*3}	-1		
激怒	28	4	100	3217	-1				{1,15*30},{10,15*30}	-1		
毒雾	29	4	100	3220	-1				{1,15*30},{10,15*30}	-1		
轮回往生	30	14	80	3255	-1				15*15	-1		
峨眉.绵里藏针.残血击退回血	31	4	{1,40},{10,90},{11,95}	318	-1				{1,15*30},{10,15*30}	-1		
六道轮回	32	14	100	5719	-1				15*15	-1		
杨门.高级.枪联弓映.切武器回血	33	24	{1,100},{10,100},{11,100}	6076	-1	5911,5922			{1,15*10},{10,15*10}	-1		
杨门.初级.啸风诀/奇门盾.忽会心与会心免伤	34	24	{1,100},{10,100},{11,100}	5959	-1	5908,5918			1	-1		
杨门.绝学.横枪跃马.受击减枪技能CD	35	1	{1,60},{10,60},{11,60}	5985	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		15*2	-1		
桃花.浴火重生1	41	4	{1,40},{10,90},{11,95}	426	-1				{1,15*30},{10,15*30}	-1		
桃花.逆转九阴.受击反击击退	42	13	100	444	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		{1,15*20},{10,10*15},{11,10*15}	-1		
桃花.月落星沉.普攻触发百分比掉血	44	2	{1,5},{10,10},{11,10}	463	-1		normal_melee,normal_remote		15	-1		
丐帮.游龙决.闪避后攻击力增加和回血	45	25	{1,100},{10,100}	4223	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		{1,15*5},{10,15*5},{11,15*5}	-1		
丐帮.金蝉脱壳	46	4	{1,40},{10,90},{11,95}	4226	-1				{1,15*30},{10,15*30}	-1		
丐帮.金蝉脱壳_子1_作废	47	6	{1,100},{10,100}	4211	-2				1	1		
丐帮.偷天换日_偷BUFF	48	25	{1,40},{10,60},{11,60}	4230	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		{1,15*10},{10,15*10},{11,15*10},{12,145}	-1		
丐帮.偷天换日_减CD	49	25	{1,40},{10,60},{11,60}	4255	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		{1,15*6},{10,15*2},{11,15*2}	-1		
逍遥.三元归一.自动叠加buff	51	6	{1,100},{10,100}	523	-1				15	-1		
逍遥.三元归一.技能击中后短时间无法再叠加	52	2	{1,100},{10,100}	524	-1		skill_melee,skill_remote,skill_sp_gold		15	-1		
逍遥.逍遥御风	53	18	100	542	-1				3	-1		
唐门.心眼.技能击中叠加buff	54	2	{1,100},{10,100}	4020	-1		skill_melee,skill_remote,skill_sp_gold			-1		
唐门.移形换影.保命隐身清技能cd	55	3	{1,40},{10,90},{11,95}	4028	-1				{1,15*30},{10,15*30}	-1		
唐门.缠身刺.初级秘籍概率对目标生成陷阱	56	2	100	4063	-1	4008,4013			{1,30*15},{10,20*15},{15,15*15},{20,15*15}	-1		
唐门.迷影纵.中级秘籍.释放后概率获得buff	57	24	{1,0},{10,0},{11,20},{15,80},{20,100},{21,100}	4046	-1	4010				-1		
唐门.追星逐电.触发定身和减抗	58	10	{1,50},{10,80},{11,85},{12,85}	4061	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		75	-1		
唐门.迷影纵.高级秘籍.受击概率刷新cd	59	1	{1,0},{15,0},{16,6},{20,30}	4057	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		75	-1		
武当.人剑合一.反击剑飞惊天	60	13	{1,10},{15,50},{20,50}	607	-1		skill_melee,skill_remote,skill_sp_gold		4	-1		
武当.太一真气	61	1	{1,100},{10,100}	618	-1				{1,15*30},{10,15*20},{11,15*19}	-1		
武当.无我无剑.中级秘籍.普攻触发剑飞	62	27	{1,0},{10,0},{11,100},{15,100}	651	-1		normal_melee		3	-1		
武当.坐忘无我.初级秘籍.盾期间每秒刷新剑飞伤害加成	63	6	100	625	-1				30	-1		
武当.玄天心法.保命护盾	64	3	{1,40},{10,90},{11,95}	613	-2				{1,15*30},{10,15*30},{11,15*30}	-1		
武当.七星诀.偷取会心和跑速	65	27	100	666	-1		skill_melee,skill_remote,skill_sp_gold		1	-1		
昆仑.混元乾坤.击中叠加buff	67	2	{1,100},{10,100}	4120	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		15	-1		
昆仑.一气三清.保命护盾	68	3	{1,40},{10,90},{11,95}	4132	-1				{1,15*30},{10,15*30}	-1		
天忍.血月之影.破隐触发buff	71	15	{1,100},{10,100}	713	-1					-1		
天忍.血月之影秘籍.破隐普攻追加生命上限伤害	72	2	{1,100},{10,100}	744	-1	714,715,716,717			1	-1		
天忍.圣火焚心.保命触发隐身	73	3	{1,40},{10,90},{11,95}	737	-1				{1,15*39},{10,15*30},{11,15*30}	-1		
血月之影-新手副本	74	15	{1,100},{10,100}	2178	-1					-1		
血月之影_S级同伴	75	15	{1,100},{10,100}	2820	-1					-1		
天忍.魔焰七杀	76	2	{1,100},{10,100}	743	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		15	-1		
天忍.破碎虚空	77	1	100	746	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold			-1		
天忍.飞鸿无迹	78	2	{1,100},{10,100}	771	-1		normal_melee,normal_remote,skill_melee,skill_remote,skill_sp_gold		{1,15*15},{10,15*6},{11,15*6}	-1		
翠烟.冰踪无影.释放时触发buff	79	27	{1,100},{10,100}	807	-2	816			1	-1		
翠烟.璇玑罗舞.初级.普攻击中叠加璇玑罗舞伤害	80	2	100	860	-1		normal_melee,normal_remote		15	-1		
翠烟.啵啵的debuff光环	81	6	100	879	-1				15	-1		
翠烟.冰肌玉骨.保命	82	4	{1,40},{10,90},{11,95}	825	-1				{1,15*30},{10,15*30}	-1		
翠烟.冰踪无影.中级秘籍.冰冻结束触发伤害	83	22	{1,100},{15,100}	869	-1	813			30	-1		
尸爆（百分比伤害）	84	5	{1,100},{10,100}	1692	-1					1		1500
无敌光环	85	6	{1,100},{10,100}	3116	-1				15	-1		
尸爆	91	5	{1,100},{10,100}	2419	-1					1		1500
唤风	92	6	{1,100},{10,100}	2050	-1				60	-1		
风护	93	6	{1,100},{10,100}	2052	-1				60	-1		
50%后回血	94	3	{1,100},{10,100}	2456	-1				15	-1		
濒死无敌	95	14	{1,100},{10,100}	2467	-1					-1		
游龙剑意	96	8	{1,100},{10,100}	2868	-1					-1		
