FightPowerDis	PlayerEffect	NpcEffect
1	10	30
2	10	30
3	10	30
4	10	30
5	10	30
6	10	30
7	10	30
8	10	30
9	10	30
10	10	30
11	10	30
12	10	30
13	10	30
14	10	30
15	10	30
16	10	30
17	10	30
18	10	30
19	10	30
20	10	30
21	10	30
22	10	30
23	10	30
24	10	30
25	10	30
26	10	30
27	10	30
28	10	30
29	10	30
30	10	30
31	10	30
32	10	30
33	10	30
34	10	30
35	10	30
36	10	30
37	10	30
38	10	30
39	10	30
40	10	30
41	10	30
42	10	30
43	10	30
44	10	30
45	10	30
46	10	30
47	10	30
48	10	30
49	10	30
50	10	30
51	10	30
52	10	30
53	10	30
54	10	30
55	10	30
56	10	30
57	10	30
58	10	30
59	10	30
60	10	30
61	10	30
62	10	30
63	10	30
64	10	30
65	10	30
66	10	30
67	10	30
68	10	30
69	10	30
70	10	30
71	10	30
72	10	30
73	10	30
74	10	30
75	10	30
76	10	30
77	10	30
78	10	30
79	10	30
80	10	30
81	10	30
82	10	30
83	10	30
84	10	30
85	10	30
86	10	30
87	10	30
88	10	30
89	10	30
90	10	30
91	10	30
92	10	30
93	10	30
94	10	30
95	10	30
96	10	30
97	10	30
98	10	30
99	10	30
100	10	30
101	10	30
102	10	30
103	10	30
104	10	30
105	10	30
106	10	30
107	10	30
108	10	30
109	10	30
110	10	30
111	10	30
112	10	30
113	10	30
114	10	30
115	10	30
116	10	30
117	10	30
118	10	30
119	10	30
120	10	30
121	10	30
122	10	30
123	10	30
124	10	30
125	10	30
126	10	30
127	10	30
128	10	30
129	10	30
130	10	30
131	10	30
132	10	30
133	10	30
134	10	30
135	10	30
136	10	30
137	10	30
138	10	30
139	10	30
140	10	30
141	10	30
142	10	30
143	10	30
144	10	30
145	10	30
146	10	30
147	10	30
148	10	30
149	10	30
150	10	30
151	10	30
152	10	30
153	10	30
154	10	30
155	10	30
156	10	30
157	10	30
158	10	30
159	10	30
160	10	30
161	10	30
162	10	30
163	10	30
164	10	30
165	10	30
166	10	30
167	10	30
168	10	30
169	10	30
170	10	30
171	10	30
172	10	30
173	10	30
174	10	30
175	10	30
176	10	30
177	10	30
178	10	30
179	10	30
180	10	30
181	10	30
182	10	30
183	10	30
184	10	30
185	10	30
186	10	30
187	10	30
188	10	30
189	10	30
190	10	30
191	10	30
192	10	30
193	10	30
194	10	30
195	10	30
196	10	30
197	10	30
198	10	30
199	10	30
200	10	30
201	10	30
202	10	30
203	10	30
204	10	30
205	10	30
206	10	30
207	10	30
208	10	30
209	10	30
210	10	30
211	10	30
212	10	30
213	10	30
214	10	30
215	10	30
216	10	30
217	10	30
218	10	30
219	10	30
220	10	30
221	10	30
222	10	30
223	10	30
224	10	30
225	10	30
226	10	30
227	10	30
228	10	30
229	10	30
230	10	30
231	10	30
232	10	30
233	10	30
234	10	30
235	10	30
236	10	30
237	10	30
238	10	30
239	10	30
240	10	30
241	10	30
242	10	30
243	10	30
244	10	30
245	10	30
246	10	30
247	10	30
248	10	30
249	10	30
250	10	30
251	10	30
252	10	30
253	10	30
254	10	30
255	10	30
256	10	30
257	10	30
258	10	30
259	10	30
260	10	30
261	10	30
262	10	30
263	10	30
264	10	30
265	10	30
266	10	30
267	10	30
268	10	30
269	10	30
270	10	30
271	10	30
272	10	30
273	10	30
274	10	30
275	10	30
276	10	30
277	10	30
278	10	30
279	10	30
280	10	30
281	10	30
282	10	30
283	10	30
284	10	30
285	10	30
286	10	30
287	10	30
288	10	30
289	10	30
290	10	30
291	10	30
292	10	30
293	10	30
294	10	30
295	10	30
296	10	30
297	10	30
298	10	30
299	10	30
300	10	30
301	10	30
302	10	30
303	10	30
304	10	30
305	10	30
306	10	30
307	10	30
308	10	30
309	10	30
310	10	30
311	10	30
312	10	30
313	10	30
314	10	30
315	10	30
316	10	30
317	10	30
318	10	30
319	10	30
320	10	30
321	10	30
322	10	30
323	10	30
324	10	30
325	10	30
326	10	30
327	10	30
328	10	30
329	10	30
330	10	30
331	10	30
332	10	30
333	10	30
334	10	30
335	10	30
336	10	30
337	10	30
338	10	30
339	10	30
340	10	30
341	10	30
342	10	30
343	10	30
344	10	30
345	10	30
346	10	30
347	10	30
348	10	30
349	10	30
350	10	30
351	10	30
352	10	30
353	10	30
354	10	30
355	10	30
356	10	30
357	10	30
358	10	30
359	10	30
360	10	30
361	10	30
362	10	30
363	10	30
364	10	30
365	10	30
366	10	30
367	10	30
368	10	30
369	10	30
370	10	30
371	10	30
372	10	30
373	10	30
374	10	30
375	10	30
376	10	30
377	10	30
378	10	30
379	10	30
380	10	30
381	10	30
382	10	30
383	10	30
384	10	30
385	10	30
386	10	30
387	10	30
388	10	30
389	10	30
390	10	30
391	10	30
392	10	30
393	10	30
394	10	30
395	10	30
396	10	30
397	10	30
398	10	30
399	10	30
400	10	30
401	10	30
402	10	30
403	10	30
404	10	30
405	10	30
406	10	30
407	10	30
408	10	30
409	10	30
410	10	30
411	10	30
412	10	30
413	10	30
414	10	30
415	10	30
416	10	30
417	10	30
418	10	30
419	10	30
420	10	30
421	10	30
422	10	30
423	10	30
424	10	30
425	10	30
426	10	30
427	10	30
428	10	30
429	10	30
430	10	30
431	10	30
432	10	30
433	10	30
434	10	30
435	10	30
436	10	30
437	10	30
438	10	30
439	10	30
440	10	30
441	10	30
442	10	30
443	10	30
444	10	30
445	10	30
446	10	30
447	10	30
448	10	30
449	10	30
450	10	30
451	10	30
452	10	30
453	10	30
454	10	30
455	10	30
